id   ,x1   ,x2   ,x3   ,x4   ,x5   ,y
1    ,-3.02,-2.68,5.87 ,9.73 ,-3.84,-5.57522710886598
2    ,8.5  ,3.35 ,-6.06,0.65 ,-3.89,69.3212482511625
3    ,6.95 ,-9.15,7.21 ,8.89 ,1.38 ,-25.6848635208607
4    ,-3.56,-7.66,2.81 ,-0.4 ,6.67 ,-45.4614429060817
5    ,5.03 ,6.98 ,-5.13,2.68 ,-8   ,-14.3277079958171
6    ,-6.48,5.04 ,0.45 ,-5.52,-9.84,23.5299320658401
7    ,-3.29,1.97 ,4.85 ,-4.55,7.37 ,3.43111847284883
8    ,-4.54,-8.77,7.28 ,-1.49,4.23 ,-46.8265232635394
9    ,-8.47,5.54 ,-2.07,1.29 ,-3.46,49.4134913114116
10   ,-0.93,8.62 ,6.1  ,-4.48,-5.66,-81.353002426818
11   ,4.27 ,9.91 ,-2.54,-3.66,-9.7 ,-85.5772446727052
12   ,-0.18,0.13 ,-3.12,6.38 ,-6.47,-0.892272076316178
13   ,1.91 ,-0.58,-2.01,3.33 ,-4.27,13.1220376990184
14   ,1.24 ,-2.66,0.99 ,-0.58,4.61 ,-5.21029598201811
15   ,7.32 ,-3.4 ,6.21 ,-4.19,-9.55,40.3921179378942
16   ,1.41 ,4.75 ,-9.65,-7.77,-9.77,-25.4276441910356
17   ,1.52 ,3.57 ,4.07 ,-1.09,-5.71,-12.8873038967401
18   ,3.17 ,-6.69,-6.19,-5.5 ,7.99 ,-43.4039225093395
19   ,2.44 ,-0.13,-3.58,-6.89,-7.39,12.5500187850937
20   ,-9.89,2.49 ,-2.5 ,-0.53,-5.79,89.9110200724453
21   ,-9.11,-8.61,-5.13,0.66 ,0.46 ,14.8268727545068
22   ,-6.79,-6.15,-7.21,3.43 ,-0.07,3.87277118362337
23   ,1.19 ,9.19 ,6.35 ,0.92 ,-8.37,-75.7867837883159
24   ,3.55 ,7.02 ,6.04 ,-1.46,0.2  ,-37.0370936454177
25   ,2.77 ,-8.41,-1.26,-4.42,-5.53,-55.5835809099346
26   ,8.31 ,-3.18,-9.63,-1.66,9.3  ,60.6183470844373
27   ,-2.35,2.92 ,3.55 ,-5.71,5.27 ,-0.92102581180036
28   ,8.91 ,-7.87,0.7  ,6.21 ,-1.28,17.9780889153376
29   ,-3.26,-2.01,-3.44,9.64 ,4.08 ,0.0881476426497096
30   ,7.31 ,6.27 ,5.83 ,-7.06,5.54 ,18.1204915872931
31   ,0.39 ,-1.03,0.44 ,-7   ,3.95 ,6.51036936822236
32   ,4.9  ,-9   ,4.4  ,9.04 ,-0.24,-55.2109308119491
33   ,7.77 ,7.35 ,2.32 ,-4.42,3.91 ,11.4977954319954
34   ,2    ,3.22 ,1.38 ,9.8  ,3.09 ,-6.08723231308311
35   ,-1.21,8.17 ,6.65 ,-8.2 ,-9.65,-65.3997706076831
36   ,4.93 ,2.71 ,-2.05,-0.21,2.29 ,19.9265091060653
37   ,4.27 ,0.2  ,1.66 ,-0.93,7.57 ,21.0543403586835
38   ,-7.96,3.88 ,-0.48,-5.17,2.33 ,57.8960965716586
39   ,-5.58,-6.33,5.78 ,-4.86,3.93 ,-17.3228576619923
40   ,7.96 ,9.53 ,-5.34,-0.78,0.78 ,-36.1393902010873
41   ,-3.94,7.49 ,3.49 ,-9.01,6.95 ,-44.4599351534024
42   ,-9.18,-2.31,-9.83,-3.98,-7.81,75.5146649403602
43   ,1.4  ,2.19 ,-4.35,-4.98,3.19 ,-5.84292635512203
44   ,-7.45,3.41 ,1.29 ,2.46 ,-2.59,46.6784555026382
45   ,6.82 ,9.12 ,2.48 ,-5   ,-6.25,-26.8199046109691
46   ,2.86 ,-3.28,0.02 ,-5.12,2.65 ,-7.18055609216094
47   ,1.94 ,-5.4 ,-0.76,9.66 ,5.84 ,-26.7130558602825
48   ,6.28 ,-2.26,-0.53,5.17 ,-7.24,43.8823086501837
49   ,-3.31,-7.18,4.44 ,8.59 ,0.44 ,-34.0905335262895
50   ,-1.41,2.55 ,-3.96,-7.43,-5.15,2.55568937373757
51   ,1.71 ,-7.94,-4.94,1.1  ,-2.84,-60.7738545098975
52   ,9.69 ,8.38 ,5.21 ,4.04 ,8.32 ,28.1207310689434
53   ,-1.76,-8.31,-9.99,1.57 ,-7.51,-72.3645265524313
54   ,-4.58,1.23 ,2.81 ,-5.77,-1.26,18.1579086663425
55   ,5.87 ,0.29 ,2.8  ,-4.16,-0.72,32.7696647522852
56   ,-3.67,-0.82,-6.21,3.25 ,-0.75,4.84161122312397
57   ,-9.18,6.54 ,1.99 ,-6.26,6.24 ,34.2212619627446
58   ,-5.61,3.19 ,5.3  ,0.25 ,-2.48,22.8967422283292
59   ,-0.38,-3.99,-5.2 ,7.51 ,-1.73,-22.8797968038142
60   ,3.87 ,4.07 ,-6.13,-3.05,-2.25,-5.84231007985026
61   ,-3.76,-6.47,-7.69,-4.97,-3.58,-31.6578307927579
62   ,-6.22,1.43 ,-9.32,7.65 ,0.05 ,31.4425400297567
63   ,6.78 ,7.93 ,-3.43,-8.3 ,8.74 ,-13.9208722167611
64   ,-4.76,-3.8 ,6.74 ,-0.23,2.16 ,12.8857263484061
65   ,9.2  ,8.96 ,-1.16,-7.45,5.62 ,3.59800050567982
66   ,8.9  ,7.25 ,9.29 ,4.7  ,9.58 ,20.3522992041335
67   ,7.35 ,5.86 ,-7.5 ,-2.07,8.73 ,29.5942358510658
68   ,-9.63,0.32 ,-6.37,3.4  ,0.02 ,89.4374830092564
69   ,7.27 ,-2.76,5.13 ,0.89 ,7.33 ,42.9472645662606
70   ,2.26 ,8.98 ,5.56 ,-3.62,2.07 ,-71.9028849330053
71   ,-3.03,6.98 ,-0.03,-2.96,7.4  ,-33.5629578913078
72   ,1.2  ,-8.48,-5.36,6.88 ,-6.47,-62.1803339049309
73   ,-9.22,0.86 ,4.25 ,-4.42,6.9  ,80.5852321891964
74   ,0.88 ,6.27 ,7.34 ,-8.29,0.57 ,-38.8791981099397
75   ,-3.03,0.88 ,7.9  ,-7.41,-2.19,1.9121891804561
76   ,9.2  ,-8.45,8.3  ,5.37 ,3.01 ,4.85999120883644
77   ,-5.93,9.79 ,9.11 ,-3.33,3.89 ,-57.3098360019371
78   ,7.32 ,7.46 ,5.93 ,-3.19,3.85 ,-9.56159056371152
79   ,8.44 ,-7.83,3.82 ,1.26 ,1.4  ,0.339752343159905
80   ,-6.02,-8.54,6.33 ,4.5  ,1.73 ,-42.7420600389585
81   ,-2.81,0.88 ,9.39 ,-8.37,2.73 ,15.1681188242331
82   ,-6.7 ,2.12 ,7.57 ,-5.66,-1.56,33.8830342521653
83   ,7.74 ,-3.76,-8.03,1.35 ,-6.86,43.1266470481455
84   ,7.83 ,-4.99,-3.26,7.19 ,8.05 ,40.1648683581978
85   ,1.74 ,4    ,-1.91,-9.03,-1.47,-18.2568121633098
86   ,9.79 ,3.49 ,4.79 ,-3.38,-0.9 ,90.145768572703
87   ,-7.36,-6.49,-2.91,-8.81,-5.71,8.28429862231761
88   ,-5.73,-3.4 ,-2.51,-3.07,-0.46,17.5701400523722
89   ,-2.81,-6.63,-8.6 ,0.24 ,6.84 ,-30.3707971488118
90   ,-4.97,-1.88,-4.04,-0.03,-7.1 ,14.2723946019039
91   ,-5.23,0.08 ,-1.53,-8.41,8.28 ,25.3002340672687
92   ,-9.44,-9   ,0.67 ,7.7  ,-4.97,12.4414216291219
93   ,2.45 ,2.75 ,-7.29,7.08 ,9.91 ,-10.7496989848465
94   ,-1.01,-4.8 ,-4.05,-5.04,-6.27,-18.6825659501344
95   ,-1.5 ,-4.87,-8.57,5.64 ,-7.29,-28.2662021477014
96   ,3.34 ,2.13 ,2.94 ,9.39 ,0.15 ,12.4718424589455
