age	workclass	fnlwgt	education	education-num	marital-status	occupation	relationship	race	sex	capital-gain	capital-loss	hours-per-week	native-country	target
39.0	7	77516.0	9	13.0	4	1	1	4	1	2174.0	0.0	40.0	39	1
50.0	6	83311.0	9	13.0	2	4	0	4	1	0.0	0.0	13.0	39	1
38.0	4	215646.0	11	9.0	0	6	1	4	1	0.0	0.0	40.0	39	1
53.0	4	234721.0	1	7.0	2	6	0	2	1	0.0	0.0	40.0	39	1
28.0	4	338409.0	9	13.0	2	10	5	2	0	0.0	0.0	40.0	5	1
37.0	4	284582.0	12	14.0	2	4	5	4	0	0.0	0.0	40.0	39	1
49.0	4	160187.0	6	5.0	3	8	1	2	0	0.0	0.0	16.0	23	1
52.0	6	209642.0	11	9.0	2	4	0	4	1	0.0	0.0	45.0	39	0
31.0	4	45781.0	12	14.0	4	10	1	4	0	14084.0	0.0	50.0	39	0
42.0	4	159449.0	9	13.0	2	4	0	4	1	5178.0	0.0	40.0	39	0
37.0	4	280464.0	15	10.0	2	4	0	2	1	0.0	0.0	80.0	39	0
30.0	7	141297.0	9	13.0	2	10	0	1	1	0.0	0.0	40.0	19	0
23.0	4	122272.0	9	13.0	4	1	3	4	0	0.0	0.0	30.0	39	1
32.0	4	205019.0	7	12.0	4	12	1	2	1	0.0	0.0	50.0	39	1
40.0	4	121772.0	8	11.0	2	3	0	1	1	0.0	0.0	40.0	0	0
34.0	4	245487.0	5	4.0	2	14	0	0	1	0.0	0.0	45.0	26	1
25.0	6	176756.0	11	9.0	4	5	3	4	1	0.0	0.0	35.0	39	1
32.0	4	186824.0	11	9.0	4	7	4	4	1	0.0	0.0	40.0	39	1
38.0	4	28887.0	1	7.0	2	12	0	4	1	0.0	0.0	50.0	39	1
43.0	6	292175.0	12	14.0	0	4	4	4	0	0.0	0.0	45.0	39	0
40.0	4	193524.0	10	16.0	2	10	0	4	1	0.0	0.0	60.0	39	0
54.0	4	302146.0	11	9.0	5	8	4	2	0	0.0	0.0	20.0	39	1
35.0	1	76845.0	6	5.0	2	5	0	2	1	0.0	0.0	40.0	39	1
43.0	4	117037.0	1	7.0	2	14	0	4	1	0.0	2042.0	40.0	39	1
59.0	4	109015.0	11	9.0	0	13	4	4	0	0.0	0.0	40.0	39	1
56.0	2	216851.0	9	13.0	2	13	0	4	1	0.0	0.0	40.0	39	0
19.0	4	168294.0	11	9.0	4	3	3	4	1	0.0	0.0	40.0	39	1
54.0	0	180211.0	15	10.0	2	0	0	1	1	0.0	0.0	60.0	35	0
39.0	4	367260.0	11	9.0	0	4	1	4	1	0.0	0.0	80.0	39	1
49.0	4	193366.0	11	9.0	2	3	0	4	1	0.0	0.0	40.0	39	1
23.0	2	190709.0	7	12.0	4	11	1	4	1	0.0	0.0	52.0	39	1
20.0	4	266015.0	15	10.0	4	12	3	2	1	0.0	0.0	44.0	39	1
45.0	4	386940.0	9	13.0	0	4	3	4	1	0.0	1408.0	40.0	39	1
30.0	1	59951.0	15	10.0	2	1	3	4	1	0.0	0.0	40.0	39	1
22.0	7	311512.0	15	10.0	2	8	0	2	1	0.0	0.0	15.0	39	1
48.0	4	242406.0	1	7.0	4	7	4	4	1	0.0	0.0	40.0	33	1
21.0	4	197200.0	15	10.0	4	7	3	4	1	0.0	0.0	40.0	39	1
19.0	4	544091.0	11	9.0	1	1	5	4	0	0.0	0.0	25.0	39	1
31.0	4	84154.0	15	10.0	2	12	0	4	1	0.0	0.0	38.0	0	0
48.0	6	265477.0	7	12.0	2	10	0	4	1	0.0	0.0	40.0	39	1
31.0	4	507875.0	6	5.0	2	7	0	4	1	0.0	0.0	43.0	39	1
53.0	6	88506.0	9	13.0	2	10	0	4	1	0.0	0.0	40.0	39	1
24.0	4	172987.0	9	13.0	2	13	0	4	1	0.0	0.0	50.0	39	1
49.0	4	94638.0	11	9.0	5	1	4	4	0	0.0	0.0	40.0	39	1
25.0	4	289980.0	11	9.0	4	6	1	4	1	0.0	0.0	35.0	39	1
57.0	1	337895.0	9	13.0	2	10	0	2	1	0.0	0.0	40.0	39	0
53.0	4	144361.0	11	9.0	2	7	0	4	1	0.0	0.0	38.0	39	1
44.0	4	128354.0	12	14.0	0	4	4	4	0	0.0	0.0	40.0	39	1
41.0	7	101603.0	8	11.0	2	3	0	4	1	0.0	0.0	40.0	39	1
29.0	4	271466.0	8	11.0	4	10	1	4	1	0.0	0.0	43.0	39	1
25.0	4	32275.0	15	10.0	2	4	5	3	0	0.0	0.0	40.0	39	1
