R	Age	S	Ed	Ex0	Ex1	LF	M	N	NW	U1	U2	W	target
79.0999984741211	151.0	1.0	91.0	58.0	56.0	510.0	950.0	33.0	301.0	108.0	41.0	394.0	261.0
163.5	143.0	0.0	113.0	103.0	95.0	583.0	1012.0	13.0	102.0	96.0	36.0	557.0	194.0
57.79999923706055	142.0	1.0	89.0	45.0	44.0	533.0	969.0	18.0	219.0	94.0	33.0	318.0	250.0
196.89999389648438	136.0	0.0	121.0	149.0	141.0	577.0	994.0	157.0	80.0	102.0	39.0	673.0	167.0
123.4000015258789	141.0	0.0	121.0	109.0	101.0	591.0	985.0	18.0	30.0	91.0	20.0	578.0	174.0
68.19999694824219	121.0	0.0	110.0	118.0	115.0	547.0	964.0	25.0	44.0	84.0	29.0	689.0	126.0
96.30000305175781	127.0	1.0	111.0	82.0	79.0	519.0	982.0	4.0	139.0	97.0	38.0	620.0	168.0
155.5	131.0	1.0	109.0	115.0	109.0	542.0	969.0	50.0	179.0	79.0	35.0	472.0	206.0
85.5999984741211	157.0	1.0	90.0	65.0	62.0	553.0	955.0	39.0	286.0	81.0	28.0	421.0	239.0
70.5	140.0	0.0	118.0	71.0	68.0	632.0	1029.0	7.0	15.0	100.0	24.0	526.0	174.0
167.39999389648438	124.0	0.0	105.0	121.0	116.0	580.0	966.0	101.0	106.0	77.0	35.0	657.0	170.0
84.9000015258789	134.0	0.0	108.0	75.0	71.0	595.0	972.0	47.0	59.0	83.0	31.0	580.0	172.0
51.099998474121094	128.0	0.0	113.0	67.0	60.0	624.0	972.0	28.0	10.0	77.0	25.0	507.0	206.0
66.4000015258789	135.0	0.0	117.0	62.0	61.0	595.0	986.0	22.0	46.0	77.0	27.0	529.0	190.0
79.80000305175781	152.0	1.0	87.0	57.0	53.0	530.0	986.0	30.0	72.0	92.0	43.0	405.0	264.0
94.5999984741211	142.0	1.0	88.0	81.0	77.0	497.0	956.0	33.0	321.0	116.0	47.0	427.0	247.0
53.900001525878906	143.0	0.0	110.0	66.0	63.0	537.0	977.0	10.0	6.0	114.0	35.0	487.0	166.0
92.9000015258789	135.0	1.0	104.0	123.0	115.0	537.0	978.0	31.0	170.0	89.0	34.0	631.0	165.0
75.0	130.0	0.0	116.0	128.0	128.0	536.0	934.0	51.0	24.0	78.0	34.0	627.0	135.0
122.5	125.0	0.0	108.0	113.0	105.0	567.0	985.0	78.0	94.0	130.0	58.0	626.0	166.0
74.19999694824219	126.0	0.0	108.0	74.0	67.0	602.0	984.0	34.0	12.0	102.0	33.0	557.0	195.0
43.900001525878906	157.0	1.0	89.0	47.0	44.0	512.0	962.0	22.0	423.0	97.0	34.0	288.0	276.0
121.5999984741211	132.0	0.0	96.0	87.0	83.0	564.0	953.0	43.0	92.0	83.0	32.0	513.0	227.0
96.80000305175781	131.0	0.0	116.0	78.0	73.0	574.0	1038.0	7.0	36.0	142.0	42.0	540.0	176.0
52.29999923706055	130.0	0.0	116.0	63.0	57.0	641.0	984.0	14.0	26.0	70.0	21.0	486.0	196.0
199.3000030517578	131.0	0.0	121.0	160.0	143.0	631.0	1071.0	3.0	77.0	102.0	41.0	674.0	152.0
34.20000076293945	135.0	0.0	109.0	69.0	71.0	540.0	965.0	6.0	4.0	80.0	22.0	564.0	139.0
121.5999984741211	152.0	0.0	112.0	82.0	76.0	571.0	1018.0	10.0	79.0	103.0	28.0	537.0	215.0
104.30000305175781	119.0	0.0	107.0	166.0	157.0	521.0	938.0	168.0	89.0	92.0	36.0	637.0	154.0
69.5999984741211	166.0	1.0	89.0	58.0	54.0	521.0	973.0	46.0	254.0	72.0	26.0	396.0	237.0
37.29999923706055	140.0	0.0	93.0	55.0	54.0	535.0	1045.0	6.0	20.0	135.0	40.0	453.0	200.0
75.4000015258789	125.0	0.0	109.0	90.0	81.0	586.0	964.0	97.0	82.0	105.0	43.0	617.0	163.0
107.19999694824219	147.0	1.0	104.0	63.0	64.0	560.0	972.0	23.0	95.0	76.0	24.0	462.0	233.0
92.30000305175781	126.0	0.0	118.0	97.0	97.0	542.0	990.0	18.0	21.0	102.0	35.0	589.0	166.0
65.30000305175781	123.0	0.0	102.0	97.0	87.0	526.0	948.0	113.0	76.0	124.0	50.0	572.0	158.0
127.19999694824219	150.0	0.0	100.0	109.0	98.0	531.0	964.0	9.0	24.0	87.0	38.0	559.0	153.0
83.0999984741211	177.0	1.0	87.0	58.0	56.0	638.0	974.0	24.0	349.0	76.0	28.0	382.0	254.0
56.599998474121094	133.0	0.0	104.0	51.0	47.0	599.0	1024.0	7.0	40.0	99.0	27.0	425.0	225.0
82.5999984741211	149.0	1.0	88.0	61.0	54.0	515.0	953.0	36.0	165.0	86.0	35.0	395.0	251.0
115.0999984741211	145.0	1.0	104.0	82.0	74.0	560.0	981.0	96.0	126.0	88.0	31.0	488.0	228.0
88.0	148.0	0.0	122.0	72.0	66.0	601.0	998.0	9.0	19.0	84.0	20.0	590.0	144.0
54.20000076293945	141.0	0.0	109.0	56.0	54.0	523.0	968.0	4.0	2.0	107.0	37.0	489.0	170.0
82.30000305175781	162.0	1.0	99.0	75.0	70.0	522.0	996.0	40.0	208.0	73.0	27.0	496.0	224.0
103.0	136.0	0.0	121.0	95.0	96.0	574.0	1012.0	29.0	36.0	111.0	37.0	622.0	162.0
45.5	139.0	1.0	88.0	46.0	41.0	480.0	968.0	19.0	49.0	135.0	53.0	457.0	249.0
50.79999923706055	126.0	0.0	104.0	106.0	97.0	599.0	989.0	40.0	24.0	78.0	25.0	593.0	171.0
84.9000015258789	130.0	0.0	121.0	90.0	91.0	623.0	1049.0	3.0	22.0	113.0	40.0	588.0	160.0
