datetime,value,series_id
2000-06-02,5704.0,Weekly U.S. Field Production of Crude Oil  (Thousand Barrels per Day)
2000-06-09,5804.0,Weekly U.S. Field Production of Crude Oil  (Thousand Barrels per Day)
2000-06-16,5791.0,Weekly U.S. Field Production of Crude Oil  (Thousand Barrels per Day)
2000-06-23,5726.0,Weekly U.S. Field Production of Crude Oil  (Thousand Barrels per Day)
2000-06-30,5732.0,Weekly U.S. Field Production of Crude Oil  (Thousand Barrels per Day)
2000-07-07,5766.0,Weekly U.S. Field Production of Crude Oil  (Thousand Barrels per Day)
2000-07-14,5788.0,Weekly U.S. Field Production of Crude Oil  (Thousand Barrels per Day)
2000-07-21,5769.0,Weekly U.S. Field Production of Crude Oil  (Thousand Barrels per Day)
2000-07-28,5764.0,Weekly U.S. Field Production of Crude Oil  (Thousand Barrels per Day)
2000-08-04,5778.0,Weekly U.S. Field Production of Crude Oil  (Thousand Barrels per Day)
2000-08-11,5745.0,Weekly U.S. Field Production of Crude Oil  (Thousand Barrels per Day)
2000-08-18,5773.0,Weekly U.S. Field Production of Crude Oil  (Thousand Barrels per Day)
2000-08-25,5782.0,Weekly U.S. Field Production of Crude Oil  (Thousand Barrels per Day)
2000-09-01,5783.0,Weekly U.S. Field Production of Crude Oil  (Thousand Barrels per Day)
2000-09-08,5802.0,Weekly U.S. Field Production of Crude Oil  (Thousand Barrels per Day)
2000-09-15,5803.0,Weekly U.S. Field Production of Crude Oil  (Thousand Barrels per Day)
2000-09-22,5680.0,Weekly U.S. Field Production of Crude Oil  (Thousand Barrels per Day)
2000-09-29,5862.0,Weekly U.S. Field Production of Crude Oil  (Thousand Barrels per Day)
2000-10-06,5867.0,Weekly U.S. Field Production of Crude Oil  (Thousand Barrels per Day)
2000-10-13,5864.0,Weekly U.S. Field Production of Crude Oil  (Thousand Barrels per Day)
2000-10-20,5880.0,Weekly U.S. Field Production of Crude Oil  (Thousand Barrels per Day)
2000-10-27,5894.0,Weekly U.S. Field Production of Crude Oil  (Thousand Barrels per Day)
2000-11-03,5903.0,Weekly U.S. Field Production of Crude Oil  (Thousand Barrels per Day)
2000-11-10,5889.0,Weekly U.S. Field Production of Crude Oil  (Thousand Barrels per Day)
2000-11-17,5854.0,Weekly U.S. Field Production of Crude Oil  (Thousand Barrels per Day)
2000-11-24,5883.0,Weekly U.S. Field Production of Crude Oil  (Thousand Barrels per Day)
2000-12-01,5925.0,Weekly U.S. Field Production of Crude Oil  (Thousand Barrels per Day)
2000-12-08,5903.0,Weekly U.S. Field Production of Crude Oil  (Thousand Barrels per Day)
2000-12-15,5897.0,Weekly U.S. Field Production of Crude Oil  (Thousand Barrels per Day)
2000-12-22,5875.0,Weekly U.S. Field Production of Crude Oil  (Thousand Barrels per Day)
2000-12-29,5903.0,Weekly U.S. Field Production of Crude Oil  (Thousand Barrels per Day)
2001-01-05,5944.0,Weekly U.S. Field Production of Crude Oil  (Thousand Barrels per Day)
2001-01-12,5949.0,Weekly U.S. Field Production of Crude Oil  (Thousand Barrels per Day)
2001-01-19,5912.0,Weekly U.S. Field Production of Crude Oil  (Thousand Barrels per Day)
2001-01-26,5935.0,Weekly U.S. Field Production of Crude Oil  (Thousand Barrels per Day)
2001-02-02,5929.0,Weekly U.S. Field Production of Crude Oil  (Thousand Barrels per Day)
2001-02-09,5866.0,Weekly U.S. Field Production of Crude Oil  (Thousand Barrels per Day)
