name,task,source
2dplanes,regression,https://www.openml.org/d/215
30mlday,regression,https://www.openml.org/d/43090
adult,classification,https://www.openml.org/d/1590
ailerons,classification,https://www.openml.org/d/734
airlines,classification,https://www.openml.org/d/1169
aloi,regression,https://www.openml.org/d/1592
bank-marketing,classification,https://www.openml.org/d/1461
bike-sharing-demand,regression,https://www.openml.org/d/42713
black-friday,regression,https://www.openml.org/d/41540
brazilian-houses,regression,https://www.openml.org/d/42688
credit-card-fraud-detection,classification,https://www.openml.org/d/42175
delays-zurich-transport,regression,https://www.openml.org/d/42495
diamonds,regression,https://www.openml.org/d/42225
electricity,classification,https://www.openml.org/d/151
elevators,classification,https://www.openml.org/d/846
eye-movements,classification,https://www.openml.org/d/1044
fried,regression,https://www.openml.org/d/564
gas-drift,classification,https://www.openml.org/d/1476
glass,classification,https://www.kaggle.com/uciml/glass
higgs,classification,https://www.openml.org/d/23512
houses,classification,https://www.openml.org/d/823
house-sales,regression,https://www.openml.org/d/42731
insurance,regression,https://www.kaggle.com/mirichoi0218/insurance
letter,classification,https://www.openml.org/d/977
magic-telescope,classification,https://www.openml.org/d/1120
mammography,classification,https://www.openml.org/d/310
miami2016,regression,https://www.openml.org/d/43093
online-news-popularity,regression,https://www.openml.org/d/42724
nomao,classification,https://www.openml.org/d/1486
nursery,classification,https://www.openml.org/d/959
pokerhand,classification,https://www.openml.org/d/155
pol,regression,https://www.openml.org/d/201
road-safety,classification,https://www.openml.org/d/43069
sarcos,regression,https://www.openml.org/d/43172
sulfur,regression,https://www.openml.org/d/23515
superconduct,regression,https://www.openml.org/d/43174
workers-compensation,regression,https://www.openml.org/d/42876
yolanda,regression,https://www.openml.org/d/42705
