ID,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,target
0,33,entrepreneur,married,secondary,no,3140,yes,yes,cellular,21,nov,7,5,-1,0,unknown,0.0
1,28,services,single,secondary,no,168,no,no,cellular,1,jun,347,3,140,2,success,1.0
2,45,blue-collar,single,secondary,no,91,no,yes,cellular,18,nov,149,1,127,2,failure,0.0
3,32,technician,divorced,secondary,no,0,no,no,cellular,19,aug,103,4,-1,0,unknown,0.0
4,54,management,married,tertiary,no,2226,yes,no,unknown,9,jun,514,3,-1,0,unknown,0.0
5,34,admin.,married,tertiary,no,79,yes,no,cellular,8,nov,120,2,95,6,success,0.0
6,29,admin.,single,secondary,no,1117,yes,no,unknown,8,may,77,2,-1,0,unknown,0.0
7,53,blue-collar,married,primary,no,358,yes,no,unknown,3,jun,384,1,-1,0,unknown,0.0
8,36,technician,married,tertiary,no,491,yes,no,unknown,8,may,103,3,-1,0,unknown,0.0
9,48,blue-collar,married,secondary,no,-19,no,yes,unknown,4,jul,270,1,-1,0,unknown,0.0
10,28,blue-collar,married,unknown,no,52,yes,no,unknown,13,may,226,1,-1,0,unknown,0.0
11,37,management,married,tertiary,no,7974,yes,no,cellular,30,oct,176,5,158,7,other,0.0
12,55,management,married,secondary,no,51,no,no,cellular,8,jul,102,1,-1,0,unknown,0.0
13,32,services,single,secondary,no,2459,yes,yes,unknown,23,may,162,1,-1,0,unknown,0.0
14,57,blue-collar,married,secondary,no,14093,no,no,cellular,11,aug,231,5,-1,0,unknown,0.0
15,49,admin.,divorced,secondary,no,2169,yes,no,unknown,30,jun,54,3,-1,0,unknown,0.0
16,35,technician,married,secondary,no,1,yes,yes,unknown,21,may,85,1,-1,0,unknown,0.0
17,64,management,married,tertiary,no,5112,no,no,telephone,19,oct,898,7,137,11,other,1.0
18,30,entrepreneur,single,primary,no,0,yes,yes,unknown,27,may,1051,1,-1,0,unknown,1.0
19,40,self-employed,divorced,secondary,no,172,no,no,cellular,29,jan,421,1,-1,0,unknown,0.0
20,44,entrepreneur,divorced,tertiary,no,134,yes,no,cellular,12,may,78,5,-1,0,unknown,0.0
21,27,services,single,secondary,no,3791,yes,no,unknown,28,may,231,1,-1,0,unknown,0.0
22,35,services,single,primary,no,790,no,no,cellular,8,jul,221,1,-1,0,unknown,0.0
23,24,blue-collar,married,secondary,no,-220,yes,no,cellular,17,apr,401,1,15,1,failure,0.0
24,33,management,single,tertiary,no,171,yes,no,cellular,17,jul,71,1,-1,0,unknown,0.0
25,34,entrepreneur,single,tertiary,no,1068,yes,no,cellular,18,may,46,6,378,2,failure,0.0
26,48,services,divorced,secondary,no,403,yes,no,unknown,14,may,364,1,-1,0,unknown,0.0
27,33,management,single,tertiary,no,541,yes,yes,cellular,19,nov,140,1,182,1,failure,0.0
28,39,housemaid,married,secondary,no,1372,yes,yes,cellular,5,may,206,1,355,1,failure,0.0
29,41,technician,divorced,secondary,no,225,yes,yes,unknown,13,may,139,1,-1,0,unknown,0.0
30,47,management,divorced,tertiary,no,17964,yes,no,unknown,3,jun,165,2,-1,0,unknown,0.0
31,36,management,married,tertiary,no,82,no,no,cellular,2,feb,124,1,178,4,success,0.0
32,33,management,married,tertiary,no,0,yes,no,cellular,14,apr,535,3,328,1,failure,1.0
33,27,technician,single,secondary,no,487,yes,no,cellular,23,jul,319,1,-1,0,unknown,0.0
34,36,management,single,tertiary,no,243,yes,no,cellular,7,may,160,2,360,3,failure,0.0
35,26,services,single,secondary,no,1445,no,no,telephone,23,oct,171,1,-1,0,unknown,1.0
36,52,management,married,unknown,no,339,no,no,telephone,5,feb,124,7,-1,0,unknown,0.0
37,38,blue-collar,single,secondary,no,4860,yes,no,cellular,7,may,130,1,-1,0,unknown,0.0
38,38,unemployed,married,secondary,no,565,yes,no,unknown,20,may,153,2,-1,0,unknown,0.0
39,31,admin.,single,secondary,no,131,yes,no,cellular,15,jun,151,1,-1,0,unknown,1.0
40,55,technician,married,secondary,no,9774,yes,no,cellular,20,nov,227,1,-1,0,unknown,0.0
41,57,management,married,tertiary,no,224,yes,no,cellular,24,jul,180,4,-1,0,unknown,0.0
42,42,services,single,unknown,no,974,no,no,cellular,30,jul,73,2,-1,0,unknown,0.0
43,61,retired,married,secondary,no,11,no,no,cellular,29,sep,232,1,92,3,success,1.0
44,35,management,single,tertiary,no,303,yes,yes,cellular,28,jul,85,9,-1,0,unknown,0.0
45,27,student,married,secondary,no,119,yes,no,cellular,16,jul,781,2,-1,0,unknown,1.0
46,30,blue-collar,married,secondary,no,1131,yes,yes,unknown,27,jun,148,5,-1,0,unknown,0.0
47,30,technician,single,secondary,no,237,no,no,cellular,9,feb,112,2,-1,0,unknown,0.0
48,40,admin.,married,secondary,no,0,no,no,unknown,16,jun,368,12,-1,0,unknown,0.0
49,43,admin.,single,secondary,no,250,yes,no,cellular,4,feb,390,2,-1,0,unknown,0.0
50,49,services,married,primary,no,1830,yes,no,cellular,13,aug,261,1,179,1,success,1.0
51,35,technician,married,secondary,no,294,yes,no,cellular,9,mar,301,1,90,4,success,1.0
52,51,management,married,secondary,no,1161,yes,no,unknown,5,may,717,1,-1,0,unknown,0.0
53,46,services,married,primary,no,43,yes,no,unknown,3,jun,86,5,-1,0,unknown,0.0
54,39,blue-collar,married,secondary,no,11854,yes,no,cellular,15,may,15,9,-1,0,unknown,0.0
55,34,technician,single,secondary,no,1174,no,no,cellular,25,aug,136,17,-1,0,unknown,0.0
56,37,blue-collar,married,tertiary,no,359,no,yes,cellular,7,aug,3422,2,-1,0,unknown,0.0
57,31,technician,married,secondary,no,1951,yes,no,cellular,21,jul,519,2,-1,0,unknown,0.0
58,37,management,married,tertiary,no,58,yes,no,unknown,5,may,98,2,-1,0,unknown,0.0
59,31,blue-collar,single,secondary,no,11639,yes,no,cellular,7,may,1191,1,-1,0,unknown,0.0
60,37,management,divorced,tertiary,no,0,yes,no,cellular,6,aug,99,5,-1,0,unknown,0.0
61,51,entrepreneur,married,primary,no,805,yes,no,cellular,8,aug,132,4,-1,0,unknown,0.0
62,58,management,married,tertiary,no,0,no,no,cellular,30,jul,120,2,-1,0,unknown,0.0
63,29,technician,single,secondary,no,401,yes,no,cellular,5,feb,127,2,-1,0,unknown,0.0
64,45,management,married,tertiary,no,2671,no,no,cellular,14,aug,94,4,-1,0,unknown,1.0
65,54,blue-collar,married,primary,no,0,no,no,cellular,18,aug,144,2,-1,0,unknown,0.0
66,33,entrepreneur,married,tertiary,no,4465,yes,no,cellular,20,nov,161,1,183,2,failure,0.0
67,54,blue-collar,married,primary,no,258,no,no,telephone,25,may,86,1,88,1,failure,0.0
68,42,management,single,tertiary,no,4264,yes,no,unknown,28,may,882,1,-1,0,unknown,0.0
69,30,unemployed,single,secondary,no,79,no,yes,cellular,5,feb,528,2,196,1,failure,0.0
70,26,services,single,tertiary,no,130,yes,no,cellular,14,may,24,7,302,1,failure,0.0
71,40,management,married,tertiary,no,-117,yes,no,cellular,17,jul,770,2,-1,0,unknown,0.0
72,63,retired,married,primary,no,48,no,no,cellular,9,jun,251,1,-1,0,unknown,1.0
73,51,management,married,tertiary,no,812,no,no,telephone,2,jul,248,3,-1,0,unknown,0.0
74,27,blue-collar,single,primary,no,3342,yes,no,cellular,30,apr,761,2,330,4,failure,0.0
75,47,management,married,tertiary,no,2261,no,no,cellular,31,jul,87,2,-1,0,unknown,0.0
76,39,unknown,single,secondary,no,914,no,no,unknown,5,jun,20,1,-1,0,unknown,0.0
77,28,blue-collar,married,secondary,no,214,yes,yes,cellular,24,jul,332,3,-1,0,unknown,0.0
78,34,admin.,married,secondary,no,19,yes,yes,cellular,13,oct,98,1,-1,0,unknown,0.0
79,43,blue-collar,married,secondary,no,1617,yes,no,cellular,7,apr,239,1,-1,0,unknown,0.0
80,54,housemaid,married,secondary,no,736,yes,no,cellular,16,apr,268,1,331,1,failure,0.0
81,47,self-employed,divorced,secondary,no,8515,yes,no,unknown,20,nov,14,7,112,4,other,0.0
82,51,admin.,married,secondary,no,79,no,no,cellular,13,aug,89,2,-1,0,unknown,0.0
83,32,management,single,tertiary,no,631,no,no,cellular,26,aug,145,5,-1,0,unknown,0.0
84,44,blue-collar,married,secondary,no,-182,yes,yes,cellular,14,may,10,10,-1,0,unknown,0.0
85,32,management,single,tertiary,no,623,no,no,cellular,6,jul,335,3,194,2,failure,1.0
86,74,retired,married,secondary,no,3771,no,no,telephone,16,apr,159,1,-1,0,unknown,0.0
87,43,blue-collar,married,primary,no,778,yes,yes,unknown,15,may,284,5,-1,0,unknown,0.0
88,31,technician,divorced,secondary,no,0,yes,no,telephone,18,nov,194,2,-1,0,unknown,0.0
89,47,management,married,unknown,no,4189,yes,no,cellular,19,nov,489,3,-1,0,unknown,1.0
90,26,technician,single,tertiary,no,3411,no,no,cellular,18,feb,236,1,183,2,success,0.0
91,53,blue-collar,married,secondary,no,1653,no,no,unknown,17,jun,88,2,-1,0,unknown,0.0
92,25,admin.,single,secondary,no,0,no,yes,cellular,8,jul,238,3,-1,0,unknown,0.0
93,36,technician,single,secondary,no,1228,yes,no,cellular,14,aug,153,2,102,3,success,0.0
94,27,entrepreneur,single,tertiary,no,512,yes,yes,unknown,3,jun,220,1,-1,0,unknown,0.0
95,34,management,married,tertiary,no,519,no,no,cellular,11,aug,57,3,-1,0,unknown,0.0
96,42,blue-collar,married,primary,no,199,yes,no,cellular,2,feb,272,1,-1,0,unknown,0.0
97,50,blue-collar,married,secondary,no,378,yes,no,cellular,28,jan,155,1,-1,0,unknown,0.0
98,83,retired,married,tertiary,no,6236,no,no,cellular,2,feb,283,2,-1,0,unknown,0.0
99,40,blue-collar,married,secondary,no,217,yes,no,unknown,6,may,195,1,-1,0,unknown,0.0
100,33,management,divorced,tertiary,no,387,no,no,cellular,6,feb,17,5,-1,0,unknown,0.0
101,34,unemployed,single,secondary,no,233,yes,no,cellular,8,may,11,8,365,4,failure,0.0
102,73,retired,married,secondary,no,2850,no,no,cellular,19,apr,184,2,185,3,failure,0.0
103,48,management,divorced,tertiary,no,-478,yes,no,cellular,17,nov,87,5,167,6,failure,0.0
104,19,student,single,secondary,no,526,no,no,cellular,1,jul,174,1,199,3,failure,0.0
105,39,services,married,secondary,no,150,no,no,unknown,12,jun,243,2,-1,0,unknown,0.0
106,48,services,single,unknown,no,5095,yes,no,unknown,16,jun,71,1,-1,0,unknown,0.0
107,37,housemaid,married,unknown,no,3075,no,no,unknown,20,jun,29,3,-1,0,unknown,0.0
