ID,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,target
0,0.696,0.041,0.658,0.707,0.916,0.517,0.507,0.852,0.975,0.337,11.619
1,0.126,0.364,0.766,0.38,0.281,0.585,0.419,0.847,0.965,0.36,8.626
2,0.058,0.958,0.095,0.993,0.755,0.34,0.12,0.228,0.219,0.509,18.289
3,0.302,0.804,0.177,0.285,0.399,0.473,0.843,0.025,0.701,0.903,15.221
4,0.647,0.434,0.48,0.02,0.139,0.099,0.047,0.391,0.412,0.913,7.266
5,0.87,0.981,0.969,0.07,0.806,0.392,0.207,0.209,0.067,0.825,15.394
6,0.174,0.599,0.967,0.604,0.036,0.488,0.812,0.931,0.956,0.979,14.014
7,0.649,0.752,0.805,0.147,0.581,0.027,0.627,0.335,0.173,0.696,15.663
8,0.136,0.667,0.594,0.566,0.984,0.718,0.507,0.11,0.141,0.599,14.574
9,0.969,0.969,0.556,0.828,0.265,0.722,0.339,0.14,0.89,0.027,10.867
10,0.046,0.316,0.987,0.718,0.501,0.778,0.17,0.625,0.166,0.211,15.477
11,0.241,0.63,0.02,1.0,0.151,0.664,0.881,0.725,0.067,0.122,20.235
12,0.294,0.915,0.996,0.076,0.845,0.534,0.703,0.927,0.785,0.163,17.944
13,0.878,0.951,0.418,0.416,0.577,0.072,0.252,0.159,0.535,0.976,12.117
14,0.079,0.023,0.466,0.645,0.345,0.324,0.703,0.23,0.158,0.864,9.944
15,0.714,0.847,0.82,0.448,0.81,0.905,0.797,0.172,0.966,0.949,20.844
16,0.374,0.826,0.36,0.312,0.84,0.311,0.566,0.952,0.276,0.26,15.93
17,0.211,0.761,0.581,0.097,0.966,0.634,0.383,0.746,0.532,0.606,11.27
18,0.859,0.225,0.742,0.787,0.642,0.53,0.934,0.636,0.714,0.866,17.197
19,0.352,0.59,0.872,0.101,0.026,0.747,0.61,0.112,0.374,0.834,11.679
20,0.42,0.847,0.877,0.864,0.602,0.113,0.359,0.43,0.218,0.358,23.745
21,0.638,0.88,0.884,0.97,0.818,0.888,0.58,0.773,0.295,0.668,27.575
22,0.409,0.388,0.469,0.413,0.544,0.911,0.971,0.743,0.265,0.995,11.924
23,0.663,0.209,0.236,0.922,0.771,0.555,0.462,0.935,0.42,0.888,18.127
24,0.829,0.29,0.178,0.142,0.411,0.892,0.509,0.568,0.977,0.543,13.026
25,0.273,0.078,0.021,0.737,0.824,0.524,0.571,0.485,0.26,0.092,16.165
26,0.959,0.487,0.999,0.771,0.53,0.951,0.553,0.752,0.791,0.658,26.264
27,0.085,0.373,0.055,0.923,0.25,0.417,0.72,0.776,0.187,0.853,15.063
28,0.564,0.145,0.952,0.332,0.546,0.202,0.947,0.08,0.782,0.904,13.076
29,0.893,0.067,0.338,0.181,0.484,0.541,0.768,0.071,0.475,0.833,6.749
30,0.221,0.747,0.14,0.943,0.073,0.516,0.494,0.395,0.39,0.016,16.321
31,0.004,0.441,0.941,0.582,0.475,0.623,0.941,0.212,0.744,0.227,12.53
32,0.916,0.664,0.462,0.352,0.364,0.051,0.865,0.371,0.385,0.186,15.756
33,0.994,0.276,0.47,0.771,0.897,0.968,0.629,0.542,0.128,0.139,20.144
34,0.471,0.812,0.124,0.994,0.561,0.592,0.681,0.837,0.211,0.396,24.823
35,0.868,0.352,0.269,0.764,0.129,0.236,0.453,0.569,0.969,0.991,18.043
36,0.412,0.606,0.966,0.59,0.974,0.458,0.635,0.162,0.738,0.128,23.285
37,0.626,0.788,0.657,0.624,0.773,0.146,0.438,0.944,0.876,0.335,21.028
38,0.768,0.0,0.949,0.405,0.788,0.156,0.307,0.264,0.511,0.426,10.953
39,0.843,0.681,0.033,0.383,0.478,0.774,0.823,0.12,0.76,0.472,21.048
40,0.232,0.189,0.772,0.738,0.273,0.405,0.856,0.768,0.767,0.873,12.064
41,0.403,0.996,0.752,0.48,0.004,0.361,0.482,0.555,0.999,0.127,15.452
42,0.977,0.301,0.314,0.933,0.083,0.473,0.373,0.075,0.287,0.281,18.355
43,0.016,0.183,0.673,0.539,0.221,0.949,0.347,0.119,0.479,0.448,7.608
44,0.488,0.049,0.943,0.464,0.839,0.08,0.766,0.539,0.543,0.951,13.28
45,0.741,0.234,0.789,0.089,0.639,0.102,0.013,0.684,0.372,0.751,11.656
46,0.495,0.742,0.831,0.371,0.726,0.423,0.675,0.582,0.557,0.11,19.504
47,0.966,0.741,0.483,0.413,0.212,0.533,0.697,0.981,0.186,0.373,14.642
48,0.201,0.661,0.817,0.904,0.175,0.365,0.016,0.688,0.445,0.823,16.718
49,0.61,0.629,0.07,0.849,0.914,0.51,0.352,0.819,0.38,0.853,25.235
50,0.858,0.239,0.816,0.122,0.46,0.872,0.042,0.715,0.673,0.141,10.961
51,0.947,0.278,0.223,0.503,0.581,0.127,0.403,0.995,0.263,0.765,16.937
52,0.372,0.694,0.634,0.531,0.328,0.949,0.694,0.74,0.967,0.767,12.332
53,0.378,0.399,0.32,0.353,0.037,0.085,0.445,0.16,0.555,0.314,9.028
54,0.348,0.259,0.678,0.306,0.189,0.972,0.521,0.721,0.858,0.015,8.331
55,0.541,0.437,0.769,0.821,0.689,0.798,0.861,0.291,0.216,0.718,19.567
56,0.712,0.743,0.19,0.496,0.62,0.39,0.374,0.945,0.097,0.896,18.82
57,0.716,0.121,0.45,0.392,0.051,0.542,0.317,0.623,0.167,0.798,7.148
58,0.157,0.075,0.619,0.269,0.88,0.546,0.957,0.53,0.442,0.648,7.702
59,0.699,0.021,0.439,0.726,0.48,0.058,0.357,0.355,0.308,0.618,10.39
60,0.168,0.924,0.768,0.69,0.069,0.511,0.012,0.992,0.196,0.466,14.252
61,0.448,0.472,0.285,0.333,0.054,0.027,0.2,0.028,0.569,0.292,9.747
62,0.583,0.45,0.102,0.298,0.387,0.776,0.254,0.122,0.116,0.49,15.983
63,0.827,0.798,0.106,0.658,0.924,0.916,0.788,0.236,0.673,0.251,23.648
64,0.343,0.72,0.988,0.605,0.279,0.242,0.672,0.556,0.356,0.37,20.969
65,0.4,0.58,0.727,0.776,0.909,0.752,0.784,0.078,0.69,0.612,19.936
66,0.505,0.746,0.826,0.417,0.566,0.559,0.07,0.429,0.047,0.101,17.667
67,0.572,0.673,0.009,0.268,0.298,0.883,0.929,0.911,0.312,0.602,19.568
68,0.015,0.049,0.828,0.956,0.988,0.84,0.294,0.439,0.068,0.595,17.379
69,0.995,0.506,0.529,0.642,0.727,0.836,0.668,0.913,0.649,0.45,18.229
70,0.645,0.717,0.848,0.106,0.671,0.571,0.882,0.655,0.829,0.825,16.649
71,0.252,0.912,0.747,0.653,0.683,0.669,0.302,0.867,0.597,0.568,17.728
72,0.882,0.768,0.173,0.552,0.926,0.07,0.994,0.603,0.25,0.55,19.959
73,0.415,0.592,0.044,0.448,0.835,0.245,0.79,0.468,0.138,0.268,20.377
74,0.661,0.755,0.527,0.63,0.494,0.149,0.113,0.645,0.11,0.187,18.86
75,0.664,0.357,0.426,0.157,0.427,0.868,0.173,0.15,0.618,0.042,11.945
76,0.557,0.701,0.152,0.564,0.23,0.992,0.284,0.215,0.945,0.736,20.115
77,0.786,0.714,0.402,0.335,0.283,0.332,0.708,0.812,0.041,0.678,14.997
78,0.246,0.942,0.194,0.916,0.373,0.623,0.559,0.594,0.917,0.428,20.169
79,0.922,0.929,0.914,0.123,0.09,0.797,0.874,0.326,0.414,0.527,8.886
80,0.659,0.552,0.351,0.274,0.149,0.918,0.607,0.661,0.898,0.664,13.353
81,0.941,0.558,0.346,0.276,0.342,0.176,0.155,0.375,0.906,0.421,15.222
82,0.948,0.998,0.245,0.304,0.601,0.571,0.067,0.031,0.671,0.016,11.162
83,0.301,0.847,0.219,0.283,0.801,0.235,0.315,0.166,0.49,0.541,17.088
84,0.998,0.004,0.904,0.776,0.418,0.128,0.481,0.368,0.776,0.519,13.225
85,0.303,0.232,0.271,0.19,0.642,0.615,0.941,0.561,0.615,0.257,9.456
86,0.449,0.928,0.503,0.196,0.046,0.747,0.676,0.554,0.483,0.656,12.818
87,0.397,0.535,0.239,0.02,0.036,0.681,0.046,0.026,0.25,0.788,9.248
88,0.622,0.2,0.807,0.44,0.437,0.555,0.678,0.007,0.772,0.175,14.493
89,0.954,0.637,0.625,0.742,0.421,0.462,0.013,0.032,0.465,0.343,18.51
90,0.057,0.454,0.797,0.837,0.435,0.783,0.914,0.922,0.056,0.601,14.721
91,0.413,0.501,0.417,0.006,0.453,0.488,0.221,0.81,0.398,0.691,8.07
92,0.47,0.866,0.825,0.298,0.971,0.506,0.995,0.332,0.328,0.466,19.901
93,0.721,0.543,0.851,0.709,0.206,0.192,0.894,0.439,0.552,0.607,21.106
94,0.673,0.622,0.721,0.219,0.251,0.478,0.735,0.988,0.75,0.581,12.508
95,0.603,0.424,0.587,0.784,0.202,0.235,0.11,0.964,0.716,0.8,15.584
96,0.915,0.142,0.559,0.721,0.252,0.118,0.37,0.027,0.735,0.22,12.724
