datetime,diesel_fuel_kWh,wind_power_kWh,diesel_time_h,wind_time_h,velocity_max_msec,velocity_mean_msec,tmp_grad
2019-05-01,642.0,209.0,20.0,14.0,12.86,3.91,9.70717228683048
2019-05-02,657.0,197.0,19.0,11.0,13.2,3.8,-2.0
2019-05-03,766.0,50.0,24.0,6.0,7.8,2.57,9.971857957023605
2019-05-04,683.0,44.0,22.0,5.0,7.1,2.12,0.0
2019-05-05,725.0,106.0,22.0,10.0,8.32,3.42,9.015293638264763
2019-05-06,536.0,228.0,13.0,17.0,9.46,4.12,11.137360015949954
2019-05-07,428.0,496.0,13.0,18.0,13.68,5.37,0.0
2019-05-08,389.0,423.0,13.0,19.0,11.52,5.28,-3.0
2019-05-09,353.0,331.0,14.0,14.0,14.31,4.62,0.0
2019-05-10,306.0,724.0,10.0,17.0,13.85,6.21,1.0
2019-05-11,643.0,153.0,22.0,7.0,9.56,3.32,1.0
2019-05-12,721.0,12.0,24.0,1.0,4.31,1.47,1.0
2019-05-13,284.0,633.0,10.0,17.0,14.95,5.78,2.0
2019-05-14,756.0,69.0,24.0,4.0,9.25,2.24,1.0
2019-05-15,695.0,88.0,24.0,6.0,11.64,3.11,2.0
2019-05-16,491.0,222.0,20.0,10.0,8.47,4.36,1.0
2019-05-17,366.0,648.0,12.0,18.0,16.47,6.91,2.0
2019-05-18,215.0,772.0,7.0,19.0,16.52,6.33,2.0
2019-05-19,185.0,746.0,6.0,18.0,24.15,9.46,2.0
2019-05-20,468.0,330.0,13.0,15.0,23.35,5.94,3.0
2019-05-21,306.0,1072.0,8.0,19.0,20.05,8.17,0.0
2019-05-22,328.0,778.0,10.0,17.0,19.89,7.59,3.0
2019-05-23,426.0,891.0,14.0,14.0,17.46,7.84,2.0
2019-05-24,413.0,897.0,13.0,14.0,14.41,9.33,3.0
2019-05-25,395.0,1002.0,10.0,16.0,18.6,11.52,2.0
2019-05-26,204.0,946.0,6.0,21.0,14.52,10.08,0.0
2019-05-27,232.0,937.0,8.0,20.0,17.94,9.12,2.0
2019-05-28,135.0,978.0,3.0,24.0,16.95,10.84,1.0
2019-05-29,84.0,1079.0,2.0,24.0,17.54,12.95,2.0
2019-05-30,122.0,839.0,3.0,24.0,16.26,9.78,2.0
2019-05-31,117.0,791.0,4.0,24.0,14.85,8.06,2.0
2019-06-01,370.0,564.0,12.0,14.0,16.03,11.6,3.0
2019-06-02,377.0,561.0,11.0,16.0,12.42,7.3,2.0
2019-06-03,474.0,397.0,12.0,19.0,7.59,5.31,2.0
2019-06-04,674.0,249.0,22.0,5.0,4.49,2.57,3.0
2019-06-05,521.0,324.0,17.0,10.0,11.84,8.02,2.0
2019-06-06,433.0,389.0,15.0,15.0,9.34,5.01,2.0
2019-06-07,387.0,497.0,12.0,18.0,11.92,6.22,2.0
2019-06-08,54.0,1038.0,2.0,24.0,14.56,12.21,4.0
2019-06-09,0.0,989.0,0.0,24.0,14.95,10.63,2.0
2019-06-10,265.0,629.0,8.0,19.0,14.51,9.84,3.0
2019-06-11,231.0,610.0,8.0,18.0,14.14,10.3,2.0
