,pipeline_type,init_metric,final_metric,tuning_time,iter_num,dataset
0,linear,0.976,0.981,74.38150459999815,20,class_cnae-9.csv
1,linear,0.976,0.981,70.48593819999951,20,class_cnae-9.csv
2,linear,0.976,0.981,67.55109190000076,20,class_cnae-9.csv
3,linear,0.976,0.981,67.54236780000065,20,class_cnae-9.csv
4,linear,0.976,0.981,67.55915619999723,20,class_cnae-9.csv
5,linear,0.976,0.981,67.79269829999976,20,class_cnae-9.csv
6,linear,0.976,0.981,67.57841460000054,20,class_cnae-9.csv
7,linear,0.976,0.981,67.53603369999837,20,class_cnae-9.csv
8,linear,0.976,0.981,67.68709260000105,20,class_cnae-9.csv
9,linear,0.976,0.981,67.58150499999829,20,class_cnae-9.csv
10,linear,0.976,0.981,67.57945649999965,20,class_cnae-9.csv
11,linear,0.976,0.981,67.54603800000041,20,class_cnae-9.csv
12,linear,0.976,0.981,67.58950499999992,20,class_cnae-9.csv
13,linear,0.976,0.981,67.75040420000005,20,class_cnae-9.csv
14,linear,0.976,0.981,67.7191167000019,20,class_cnae-9.csv
15,linear,0.976,0.981,67.69867279999744,20,class_cnae-9.csv
16,linear,0.976,0.981,67.79764779999823,20,class_cnae-9.csv
17,linear,0.976,0.981,67.73848450000514,20,class_cnae-9.csv
18,linear,0.976,0.981,67.87413989999914,20,class_cnae-9.csv
19,linear,0.976,0.981,67.82960720000119,20,class_cnae-9.csv
20,linear,0.976,0.981,67.84249160000036,20,class_cnae-9.csv
21,linear,0.976,0.981,67.84771680000267,20,class_cnae-9.csv
22,linear,0.976,0.981,67.78339189999679,20,class_cnae-9.csv
23,linear,0.976,0.981,67.78931419999572,20,class_cnae-9.csv
24,linear,0.976,0.981,67.76045000000158,20,class_cnae-9.csv
25,linear,0.976,0.981,68.01169440000376,20,class_cnae-9.csv
26,linear,0.976,0.981,67.73466129999724,20,class_cnae-9.csv
27,linear,0.976,0.981,67.8984591000044,20,class_cnae-9.csv
28,linear,0.976,0.981,67.80407060000289,20,class_cnae-9.csv
29,linear,0.976,0.981,67.92019849999633,20,class_cnae-9.csv
30,branched,0.981,0.986,69.16032989999803,20,class_cnae-9.csv
31,branched,0.981,0.986,69.08880969999882,20,class_cnae-9.csv
32,branched,0.981,0.986,69.01750539999921,20,class_cnae-9.csv
33,branched,0.981,0.986,69.20582999999897,20,class_cnae-9.csv
34,branched,0.981,0.986,69.03666019999946,20,class_cnae-9.csv
35,branched,0.981,0.986,69.01133679999475,20,class_cnae-9.csv
36,branched,0.981,0.986,69.12731920000078,20,class_cnae-9.csv
37,branched,0.981,0.986,69.16547399999399,20,class_cnae-9.csv
38,branched,0.981,0.986,69.24759949999861,20,class_cnae-9.csv
39,branched,0.981,0.986,69.22461810000095,20,class_cnae-9.csv
40,branched,0.981,0.986,69.10039990000223,20,class_cnae-9.csv
41,branched,0.981,0.986,69.11419569999998,20,class_cnae-9.csv
42,branched,0.981,0.986,69.0387774999981,20,class_cnae-9.csv
43,branched,0.981,0.986,69.07067800000368,20,class_cnae-9.csv
44,branched,0.981,0.986,68.98441889999958,20,class_cnae-9.csv
45,branched,0.981,0.986,69.06271080000442,20,class_cnae-9.csv
46,branched,0.981,0.986,69.10706599999685,20,class_cnae-9.csv
47,branched,0.981,0.986,69.31358590000309,20,class_cnae-9.csv
48,branched,0.981,0.986,68.88636930000212,20,class_cnae-9.csv
49,branched,0.981,0.986,69.22312589999638,20,class_cnae-9.csv
50,branched,0.981,0.986,69.04906660000415,20,class_cnae-9.csv
51,branched,0.981,0.986,69.15247010000166,20,class_cnae-9.csv
52,branched,0.981,0.986,69.0109092000057,20,class_cnae-9.csv
53,branched,0.981,0.986,69.19960720000381,20,class_cnae-9.csv
54,branched,0.981,0.986,69.0376932999934,20,class_cnae-9.csv
55,branched,0.981,0.986,69.36791649999941,20,class_cnae-9.csv
56,branched,0.981,0.986,69.11078399999678,20,class_cnae-9.csv
57,branched,0.981,0.986,69.16117099999974,20,class_cnae-9.csv
58,branched,0.981,0.986,69.14922669999942,20,class_cnae-9.csv
59,branched,0.981,0.986,69.18008849999751,20,class_cnae-9.csv
60,complex,0.994,0.994,103.86466320000181,20,class_cnae-9.csv
61,complex,0.994,0.994,103.83293109999795,20,class_cnae-9.csv
62,complex,0.994,0.994,103.82649870000023,20,class_cnae-9.csv
63,complex,0.994,0.994,103.81498780000402,20,class_cnae-9.csv
64,complex,0.994,0.994,103.89353719999781,20,class_cnae-9.csv
65,complex,0.994,0.994,103.99244940000062,20,class_cnae-9.csv
66,complex,0.994,0.994,104.17626420000306,20,class_cnae-9.csv
67,complex,0.994,0.994,103.94068690000131,20,class_cnae-9.csv
68,complex,0.994,0.994,104.0373397000003,20,class_cnae-9.csv
69,complex,0.994,0.994,103.80667079999694,20,class_cnae-9.csv
70,complex,0.994,0.994,104.01695820000168,20,class_cnae-9.csv
71,complex,0.994,0.994,105.03980009999941,20,class_cnae-9.csv
72,complex,0.994,0.994,104.04982269999891,20,class_cnae-9.csv
73,complex,0.994,0.994,103.75976210000226,20,class_cnae-9.csv
74,complex,0.994,0.994,103.88810180000291,20,class_cnae-9.csv
75,complex,0.994,0.994,103.798727100002,20,class_cnae-9.csv
76,complex,0.994,0.994,103.45124889999715,20,class_cnae-9.csv
77,complex,0.994,0.994,103.69678589999967,20,class_cnae-9.csv
78,complex,0.994,0.994,103.75165520000155,20,class_cnae-9.csv
79,complex,0.994,0.994,103.64651720000256,20,class_cnae-9.csv
80,complex,0.994,0.994,103.88999740000145,20,class_cnae-9.csv
81,complex,0.994,0.994,103.88590229999681,20,class_cnae-9.csv
82,complex,0.994,0.994,103.65096489999996,20,class_cnae-9.csv
83,complex,0.994,0.994,103.49936100000195,20,class_cnae-9.csv
84,complex,0.994,0.994,103.62693389999913,20,class_cnae-9.csv
85,complex,0.994,0.994,103.62557989999914,20,class_cnae-9.csv
86,complex,0.994,0.994,103.81800810000277,20,class_cnae-9.csv
87,complex,0.994,0.994,104.05181160000211,20,class_cnae-9.csv
88,complex,0.994,0.994,103.71453499999916,20,class_cnae-9.csv
89,complex,0.994,0.994,103.49407039999642,20,class_cnae-9.csv
