,pipeline_type,init_metric,final_metric,tuning_time,iter_num,dataset
0,linear,0.845,0.892,36.186762399971485,100,class_volkert_small.csv
1,linear,0.845,0.906,37.64218500000425,100,class_volkert_small.csv
2,linear,0.845,0.906,39.01564459997462,100,class_volkert_small.csv
3,linear,0.845,0.897,45.7547880000202,100,class_volkert_small.csv
4,linear,0.845,0.898,40.35717009997461,100,class_volkert_small.csv
5,linear,0.845,0.903,40.91210290003801,100,class_volkert_small.csv
6,linear,0.845,0.901,40.60488960001385,100,class_volkert_small.csv
7,linear,0.845,0.888,40.55311899998924,100,class_volkert_small.csv
8,linear,0.845,0.897,40.825295499991626,100,class_volkert_small.csv
9,linear,0.845,0.889,40.26040379999904,100,class_volkert_small.csv
10,linear,0.845,0.898,45.19797290000133,100,class_volkert_small.csv
11,linear,0.845,0.896,46.40528700000141,100,class_volkert_small.csv
12,linear,0.845,0.897,38.57435520004947,100,class_volkert_small.csv
13,linear,0.845,0.898,42.181337300047744,100,class_volkert_small.csv
14,linear,0.845,0.897,47.69179419998545,100,class_volkert_small.csv
15,linear,0.845,0.903,49.953962000028696,100,class_volkert_small.csv
16,linear,0.845,0.904,44.437127300014254,100,class_volkert_small.csv
17,linear,0.845,0.903,41.08835610002279,100,class_volkert_small.csv
18,linear,0.845,0.896,38.114035000035074,100,class_volkert_small.csv
19,linear,0.845,0.901,40.29089679999743,100,class_volkert_small.csv
20,linear,0.845,0.902,43.0259874999756,100,class_volkert_small.csv
21,linear,0.845,0.903,39.470486900012475,100,class_volkert_small.csv
22,linear,0.845,0.902,39.879171699984,100,class_volkert_small.csv
23,linear,0.845,0.903,40.34317359997658,100,class_volkert_small.csv
24,linear,0.845,0.892,43.16953020001529,100,class_volkert_small.csv
25,linear,0.845,0.902,39.44224270002451,100,class_volkert_small.csv
26,linear,0.845,0.905,41.41026650002459,100,class_volkert_small.csv
27,linear,0.845,0.888,39.732291399966925,100,class_volkert_small.csv
28,linear,0.845,0.899,43.727050699992105,100,class_volkert_small.csv
29,linear,0.845,0.898,40.67008640000131,100,class_volkert_small.csv
30,branched,0.729,0.896,48.50831200001994,100,class_volkert_small.csv
31,branched,0.729,0.896,56.48627279995708,100,class_volkert_small.csv
32,branched,0.729,0.901,49.57453090004856,100,class_volkert_small.csv
33,branched,0.729,0.9,59.522245300002396,100,class_volkert_small.csv
34,branched,0.729,0.898,53.99372520000907,100,class_volkert_small.csv
35,branched,0.729,0.902,52.97814439999638,100,class_volkert_small.csv
36,branched,0.729,0.9,46.6710802000016,100,class_volkert_small.csv
37,branched,0.729,0.9,55.49756419996265,100,class_volkert_small.csv
38,branched,0.729,0.903,53.738439699984156,100,class_volkert_small.csv
39,branched,0.729,0.902,45.98294539999915,100,class_volkert_small.csv
40,branched,0.729,0.893,62.73194249998778,100,class_volkert_small.csv
41,branched,0.729,0.896,49.01247620000504,100,class_volkert_small.csv
42,branched,0.729,0.894,48.592667300021276,100,class_volkert_small.csv
43,branched,0.729,0.902,51.289648000034504,100,class_volkert_small.csv
44,branched,0.729,0.9,54.18838429998141,100,class_volkert_small.csv
45,branched,0.729,0.9,57.360910499992315,100,class_volkert_small.csv
46,branched,0.729,0.901,54.465687899966724,100,class_volkert_small.csv
47,branched,0.729,0.897,50.60036179999588,100,class_volkert_small.csv
48,branched,0.729,0.9,50.21673360001296,100,class_volkert_small.csv
49,branched,0.729,0.897,51.51361500000348,100,class_volkert_small.csv
50,branched,0.729,0.903,41.91494630003581,100,class_volkert_small.csv
51,branched,0.729,0.898,45.922596300020814,100,class_volkert_small.csv
52,branched,0.729,0.897,48.581677499983925,100,class_volkert_small.csv
53,branched,0.729,0.899,52.13189830002375,100,class_volkert_small.csv
54,branched,0.729,0.899,57.915550200035796,100,class_volkert_small.csv
55,branched,0.729,0.901,48.84431139996741,100,class_volkert_small.csv
56,branched,0.729,0.9,51.3693550999742,100,class_volkert_small.csv
57,branched,0.729,0.897,62.72394869994605,100,class_volkert_small.csv
58,branched,0.729,0.893,53.49560650001513,100,class_volkert_small.csv
59,branched,0.729,0.899,58.007559499994386,100,class_volkert_small.csv
60,complex,0.79,0.808,582.2925068999757,100,class_volkert_small.csv
61,complex,0.79,0.822,390.57921050000004,100,class_volkert_small.csv
62,complex,0.79,0.84,259.2026225000154,100,class_volkert_small.csv
63,complex,0.79,0.827,297.4733963999897,100,class_volkert_small.csv
64,complex,0.79,0.79,533.0338662999566,100,class_volkert_small.csv
65,complex,0.79,0.79,315.0397165999748,100,class_volkert_small.csv
66,complex,0.79,0.797,538.497940100031,100,class_volkert_small.csv
67,complex,0.79,0.824,344.30972270003986,100,class_volkert_small.csv
68,complex,0.79,0.832,386.4151108000078,100,class_volkert_small.csv
69,complex,0.79,0.791,427.2629203000106,100,class_volkert_small.csv
70,complex,0.79,0.808,443.03134900005534,100,class_volkert_small.csv
71,complex,0.79,0.831,321.3965924999793,100,class_volkert_small.csv
72,complex,0.79,0.827,413.88776279997546,100,class_volkert_small.csv
73,complex,0.79,0.848,557.5234155000071,100,class_volkert_small.csv
74,complex,0.79,0.82,577.9924139999785,100,class_volkert_small.csv
75,complex,0.79,0.831,769.5329810999683,100,class_volkert_small.csv
76,complex,0.79,0.826,354.7942117000348,100,class_volkert_small.csv
77,complex,0.79,0.838,685.3591487999656,100,class_volkert_small.csv
78,complex,0.79,0.832,555.5753288000124,100,class_volkert_small.csv
79,complex,0.79,0.845,656.3426738000126,100,class_volkert_small.csv
80,complex,0.79,0.823,624.1384058999829,100,class_volkert_small.csv
81,complex,0.79,0.8,531.6194412999903,100,class_volkert_small.csv
82,complex,0.79,0.803,619.7106046000263,100,class_volkert_small.csv
83,complex,0.79,0.825,431.99758779996773,100,class_volkert_small.csv
84,complex,0.79,0.832,326.93300170003204,100,class_volkert_small.csv
85,complex,0.79,0.821,479.88964479998685,100,class_volkert_small.csv
86,complex,0.79,0.838,353.2650162000209,100,class_volkert_small.csv
87,complex,0.79,0.868,469.38818300003186,100,class_volkert_small.csv
88,complex,0.79,0.854,209.90983999997843,100,class_volkert_small.csv
89,complex,0.79,0.827,545.3130441999529,100,class_volkert_small.csv
