,pipeline_type,init_metric,final_metric,tuning_time,iter_num,dataset
0,linear,0.845,0.906,1202.256689300004,100000,class_volkert_small.csv
1,linear,0.845,0.905,1196.4175277000177,100000,class_volkert_small.csv
2,linear,0.845,0.906,1194.170886899985,100000,class_volkert_small.csv
3,linear,0.845,0.906,1199.9119111999753,100000,class_volkert_small.csv
4,linear,0.845,0.906,1195.8361742999987,100000,class_volkert_small.csv
5,linear,0.845,0.906,1199.1957742000232,100000,class_volkert_small.csv
6,linear,0.845,0.906,1200.7339591000346,100000,class_volkert_small.csv
7,linear,0.845,0.906,1196.1370432999684,100000,class_volkert_small.csv
8,linear,0.845,0.906,1204.5621541999863,100000,class_volkert_small.csv
9,linear,0.845,0.906,1193.2089626999805,100000,class_volkert_small.csv
10,linear,0.845,0.906,1195.5941779999994,100000,class_volkert_small.csv
11,linear,0.845,0.906,1198.8593157000141,100000,class_volkert_small.csv
12,linear,0.845,0.906,1200.1517912000418,100000,class_volkert_small.csv
13,linear,0.845,0.905,1193.917432599992,100000,class_volkert_small.csv
14,linear,0.845,0.906,1197.4684662999935,100000,class_volkert_small.csv
15,linear,0.845,0.906,1199.0322320999694,100000,class_volkert_small.csv
16,linear,0.845,0.906,1199.40209410002,100000,class_volkert_small.csv
17,linear,0.845,0.906,1197.3116825000034,100000,class_volkert_small.csv
18,linear,0.845,0.906,1194.4526313000242,100000,class_volkert_small.csv
19,linear,0.845,0.906,1200.6655826000497,100000,class_volkert_small.csv
20,linear,0.845,0.906,1196.3685537999845,100000,class_volkert_small.csv
21,linear,0.845,0.905,1193.439702899952,100000,class_volkert_small.csv
22,linear,0.845,0.906,1203.0882368999883,100000,class_volkert_small.csv
23,linear,0.845,0.906,1202.7860766999656,100000,class_volkert_small.csv
24,linear,0.845,0.906,1195.4743139999919,100000,class_volkert_small.csv
25,linear,0.845,0.906,1195.6283715000027,100000,class_volkert_small.csv
26,linear,0.845,0.906,1197.1641120000277,100000,class_volkert_small.csv
27,linear,0.845,0.906,1200.5554757000064,100000,class_volkert_small.csv
28,linear,0.845,0.906,1193.3666576000396,100000,class_volkert_small.csv
