,pipeline_type,init_metric,final_metric,tuning_time,iter_num,dataset
0,linear,0.688,0.711,33.61360739998054,20,class_Amazon_employee_access.csv
1,linear,0.688,0.688,42.32726749998983,20,class_Amazon_employee_access.csv
2,linear,0.688,0.688,47.18490170000587,20,class_Amazon_employee_access.csv
3,linear,0.688,0.712,28.596484699985012,20,class_Amazon_employee_access.csv
4,linear,0.688,0.707,33.549208600015845,20,class_Amazon_employee_access.csv
5,linear,0.688,0.688,47.72700819995953,20,class_Amazon_employee_access.csv
6,linear,0.688,0.708,29.928812700032722,20,class_Amazon_employee_access.csv
7,linear,0.688,0.712,33.99821469996823,20,class_Amazon_employee_access.csv
8,linear,0.688,0.688,34.62495409999974,20,class_Amazon_employee_access.csv
9,linear,0.688,0.688,40.20979159994749,20,class_Amazon_employee_access.csv
10,linear,0.688,0.708,30.91550709999865,20,class_Amazon_employee_access.csv
11,linear,0.688,0.712,29.511381099990103,20,class_Amazon_employee_access.csv
12,linear,0.688,0.688,39.75164779997431,20,class_Amazon_employee_access.csv
13,linear,0.688,0.688,36.05768720002379,20,class_Amazon_employee_access.csv
14,linear,0.688,0.688,34.10218159999931,20,class_Amazon_employee_access.csv
15,linear,0.688,0.691,30.36564970004838,20,class_Amazon_employee_access.csv
16,linear,0.688,0.712,30.161825399962254,20,class_Amazon_employee_access.csv
17,linear,0.688,0.688,35.75182549998863,20,class_Amazon_employee_access.csv
18,linear,0.688,0.688,34.856862999964505,20,class_Amazon_employee_access.csv
19,linear,0.688,0.707,31.11139799997909,20,class_Amazon_employee_access.csv
20,linear,0.688,0.688,38.2833668999956,20,class_Amazon_employee_access.csv
21,linear,0.688,0.707,28.167601499997545,20,class_Amazon_employee_access.csv
22,linear,0.688,0.692,30.541895300033502,20,class_Amazon_employee_access.csv
23,linear,0.688,0.688,31.2965547000058,20,class_Amazon_employee_access.csv
24,linear,0.688,0.688,33.66301910002949,20,class_Amazon_employee_access.csv
25,linear,0.688,0.692,30.937209700001404,20,class_Amazon_employee_access.csv
26,linear,0.688,0.688,35.45846840000013,20,class_Amazon_employee_access.csv
27,linear,0.688,0.713,32.475038999982644,20,class_Amazon_employee_access.csv
28,linear,0.688,0.688,31.128536999982316,20,class_Amazon_employee_access.csv
29,linear,0.688,0.688,41.509982699994,20,class_Amazon_employee_access.csv
30,branched,0.677,0.677,37.28859140002169,20,class_Amazon_employee_access.csv
31,branched,0.677,0.755,35.781286699988414,20,class_Amazon_employee_access.csv
32,branched,0.677,0.725,40.4528051999514,20,class_Amazon_employee_access.csv
33,branched,0.677,0.729,43.80935400002636,20,class_Amazon_employee_access.csv
34,branched,0.677,0.75,36.981529899989255,20,class_Amazon_employee_access.csv
35,branched,0.677,0.677,25.583997800014913,20,class_Amazon_employee_access.csv
36,branched,0.677,0.755,35.14230249996763,20,class_Amazon_employee_access.csv
37,branched,0.677,0.74,38.64701120002428,20,class_Amazon_employee_access.csv
38,branched,0.677,0.753,33.27293289999943,20,class_Amazon_employee_access.csv
39,branched,0.677,0.767,36.408854499983136,20,class_Amazon_employee_access.csv
40,branched,0.677,0.738,43.50120009999955,20,class_Amazon_employee_access.csv
41,branched,0.677,0.677,29.968440999975428,20,class_Amazon_employee_access.csv
42,branched,0.677,0.768,36.39147380000213,20,class_Amazon_employee_access.csv
43,branched,0.677,0.767,40.480242200021166,20,class_Amazon_employee_access.csv
44,branched,0.677,0.767,41.67169380001724,20,class_Amazon_employee_access.csv
45,branched,0.677,0.73,31.02901960001327,20,class_Amazon_employee_access.csv
46,branched,0.677,0.725,30.688299699977506,20,class_Amazon_employee_access.csv
47,branched,0.677,0.725,42.18496220000088,20,class_Amazon_employee_access.csv
48,branched,0.677,0.749,34.23839280003449,20,class_Amazon_employee_access.csv
49,branched,0.677,0.751,41.55417279998073,20,class_Amazon_employee_access.csv
50,branched,0.677,0.733,39.874115799961146,20,class_Amazon_employee_access.csv
51,branched,0.677,0.743,41.184774000023026,20,class_Amazon_employee_access.csv
52,branched,0.677,0.715,34.42896089999704,20,class_Amazon_employee_access.csv
53,branched,0.677,0.677,30.33316089998698,20,class_Amazon_employee_access.csv
54,branched,0.677,0.713,32.74239759996999,20,class_Amazon_employee_access.csv
