,pipeline_type,init_metric,final_metric,tuning_time,iter_num,dataset
0,linear,0.976,0.982,17.188108599977568,20,class_cnae-9.csv
1,linear,0.976,0.978,16.406606000033207,20,class_cnae-9.csv
2,linear,0.976,0.987,17.42183169996133,20,class_cnae-9.csv
3,linear,0.976,0.981,17.205438399978448,20,class_cnae-9.csv
4,linear,0.976,0.988,17.178985799953807,20,class_cnae-9.csv
5,linear,0.976,0.985,17.193169800040778,20,class_cnae-9.csv
6,linear,0.976,0.979,17.889468500041403,20,class_cnae-9.csv
7,linear,0.976,0.987,17.11998970003333,20,class_cnae-9.csv
8,linear,0.976,0.986,16.834668900002725,20,class_cnae-9.csv
9,linear,0.976,0.984,16.875205899996217,20,class_cnae-9.csv
10,linear,0.976,0.977,18.539180500025395,20,class_cnae-9.csv
11,linear,0.976,0.985,17.28533070004778,20,class_cnae-9.csv
12,linear,0.976,0.987,16.738194400037173,20,class_cnae-9.csv
13,linear,0.976,0.987,16.556450099975336,20,class_cnae-9.csv
14,linear,0.976,0.981,17.14707460004138,20,class_cnae-9.csv
15,linear,0.976,0.978,16.76848940004129,20,class_cnae-9.csv
16,linear,0.976,0.985,17.242589400033467,20,class_cnae-9.csv
17,linear,0.976,0.988,16.66977279999992,20,class_cnae-9.csv
18,linear,0.976,0.985,16.53400280000642,20,class_cnae-9.csv
19,linear,0.976,0.985,17.399824400024954,20,class_cnae-9.csv
20,linear,0.976,0.987,18.498827400035225,20,class_cnae-9.csv
21,linear,0.976,0.985,18.001330700004473,20,class_cnae-9.csv
22,linear,0.976,0.984,17.446066699980292,20,class_cnae-9.csv
23,linear,0.976,0.982,17.321534999995492,20,class_cnae-9.csv
24,linear,0.976,0.983,17.64813139999751,20,class_cnae-9.csv
25,linear,0.976,0.988,17.1160931000486,20,class_cnae-9.csv
26,linear,0.976,0.985,17.067011400009505,20,class_cnae-9.csv
27,linear,0.976,0.985,17.37404000002425,20,class_cnae-9.csv
28,linear,0.976,0.986,16.97559679998085,20,class_cnae-9.csv
29,linear,0.976,0.989,17.424640899989754,20,class_cnae-9.csv
30,branched,0.981,0.989,18.550134999968577,20,class_cnae-9.csv
31,branched,0.981,0.989,17.849943700013682,20,class_cnae-9.csv
32,branched,0.981,0.983,17.423130199953448,20,class_cnae-9.csv
33,branched,0.981,0.986,17.92377300001681,20,class_cnae-9.csv
34,branched,0.981,0.99,17.69739290000871,20,class_cnae-9.csv
35,branched,0.981,0.989,16.67320080002537,20,class_cnae-9.csv
36,branched,0.981,0.989,16.762126800022088,20,class_cnae-9.csv
37,branched,0.981,0.987,17.00527810002677,20,class_cnae-9.csv
38,branched,0.981,0.987,16.96185779996449,20,class_cnae-9.csv
39,branched,0.981,0.989,17.175744500011206,20,class_cnae-9.csv
40,branched,0.981,0.982,16.885023200011346,20,class_cnae-9.csv
41,branched,0.981,0.988,16.952391700004227,20,class_cnae-9.csv
42,branched,0.981,0.984,16.933218600053806,20,class_cnae-9.csv
43,branched,0.981,0.981,16.544982100022025,20,class_cnae-9.csv
44,branched,0.981,0.991,16.755325299978722,20,class_cnae-9.csv
45,branched,0.981,0.983,17.17237230000319,20,class_cnae-9.csv
46,branched,0.981,0.986,16.882847799977753,20,class_cnae-9.csv
47,branched,0.981,0.991,17.221784200053662,20,class_cnae-9.csv
48,branched,0.981,0.986,16.768222699989565,20,class_cnae-9.csv
49,branched,0.981,0.989,17.44259809999494,20,class_cnae-9.csv
50,branched,0.981,0.987,17.301577500009444,20,class_cnae-9.csv
51,branched,0.981,0.988,16.688868600002024,20,class_cnae-9.csv
52,branched,0.981,0.987,17.36103929998353,20,class_cnae-9.csv
53,branched,0.981,0.988,17.193052999966312,20,class_cnae-9.csv
54,branched,0.981,0.986,17.242835200042464,20,class_cnae-9.csv
55,branched,0.981,0.986,16.80325100000482,20,class_cnae-9.csv
56,branched,0.981,0.987,16.822711399989203,20,class_cnae-9.csv
57,branched,0.981,0.983,17.74934060004307,20,class_cnae-9.csv
58,branched,0.981,0.988,17.195204099989496,20,class_cnae-9.csv
59,branched,0.981,0.988,17.390726900019217,20,class_cnae-9.csv
60,complex,0.994,0.994,28.775515699991956,20,class_cnae-9.csv
61,complex,0.994,0.994,27.738389700010885,20,class_cnae-9.csv
62,complex,0.994,0.994,28.104581399995368,20,class_cnae-9.csv
63,complex,0.994,0.994,30.60712830000557,20,class_cnae-9.csv
64,complex,0.994,0.994,28.25825180002721,20,class_cnae-9.csv
65,complex,0.994,0.994,27.727378999989014,20,class_cnae-9.csv
66,complex,0.994,0.994,31.862796999979764,20,class_cnae-9.csv
67,complex,0.994,0.994,29.15770209999755,20,class_cnae-9.csv
68,complex,0.994,0.994,26.667289399949368,20,class_cnae-9.csv
69,complex,0.994,0.994,26.85883099999046,20,class_cnae-9.csv
70,complex,0.994,0.994,28.540722600009758,20,class_cnae-9.csv
71,complex,0.994,0.994,25.742162699985784,20,class_cnae-9.csv
72,complex,0.994,0.994,27.77113350003492,20,class_cnae-9.csv
73,complex,0.994,0.994,27.18302749999566,20,class_cnae-9.csv
74,complex,0.994,0.994,27.12829209998017,20,class_cnae-9.csv
75,complex,0.994,0.994,29.472224199969787,20,class_cnae-9.csv
76,complex,0.994,0.994,25.93315850000363,20,class_cnae-9.csv
77,complex,0.994,0.994,28.32591479999246,20,class_cnae-9.csv
78,complex,0.994,0.994,29.56296820001444,20,class_cnae-9.csv
79,complex,0.994,0.994,29.943746800010558,20,class_cnae-9.csv
80,complex,0.994,0.994,27.999922399991192,20,class_cnae-9.csv
81,complex,0.994,0.994,31.05415300000459,20,class_cnae-9.csv
82,complex,0.994,0.994,30.115058200026397,20,class_cnae-9.csv
83,complex,0.994,0.994,30.945230400015134,20,class_cnae-9.csv
84,complex,0.994,0.994,27.752211500017438,20,class_cnae-9.csv
85,complex,0.994,0.994,29.871131899999455,20,class_cnae-9.csv
86,complex,0.994,0.994,28.614784799981862,20,class_cnae-9.csv
87,complex,0.994,0.994,27.57887699996354,20,class_cnae-9.csv
