idx,value
2016-10-07,6307.0
2016-10-08,91026.59000000001
2016-10-09,2446.15
2016-10-10,86538.95
2016-10-11,570745.1699999999
2016-10-12,153498.51
2016-10-13,217178.50999999998
2016-10-14,442943.4199999999
2016-10-15,593624.2799999999
2016-10-16,459863.05000000005
2016-10-17,344623.36
2016-10-18,542720.27
2016-10-19,1198039.6199999999
2016-10-20,1402208.54
2016-10-21,1707974.9699999997
2016-10-22,1370209.4599999995
2016-10-23,1273279.7999999993
2016-10-24,1467653.9899999995
2016-10-25,3353212.0899999994
2016-10-26,3179099.17
2016-10-27,3624179.0100000002
2016-10-28,3206299.2600000007
2016-10-29,3221478.6500000004
2016-10-30,2121049.31
2016-10-31,2796155.5
2016-11-01,4291986.16
2016-11-02,4104210.5900000012
2016-11-03,3816424.1299999994
2016-11-04,4277327.859999999
2016-11-05,1610016.7299999995
2016-11-06,1357661.58
2016-11-07,4045621.5700000008
2016-11-08,4888183.45
2016-11-09,5187814.989999998
2016-11-10,4973072.92
2016-11-11,6113760.179999999
2016-11-12,3293721.0399999996
2016-11-13,2151793.9199999995
2016-11-14,3951080.6200000015
2016-11-15,6552428.220000002
2016-11-16,5711310.639999997
2016-11-17,4785588.130000001
2016-11-18,5934714.6
2016-11-19,5454624.809999996
2016-11-20,3095208.82
2016-11-21,4417249.3599999985
2016-11-22,4297481.249999997
2016-11-23,6210495.57
2016-11-24,6223454.519999998
2016-11-25,8261562.650000001
2016-11-26,6302677.049999999
2016-11-27,3948478.6199999987
2016-11-28,4077594.9800000014
2016-11-29,6028113.430000002
2016-11-30,8255942.749999997
2016-12-01,9306308.389999999
2016-12-02,8342338.889999997
2016-12-03,7341822.91
2016-12-04,4983535.129999998
2016-12-05,6738497.960000003
2016-12-06,8645662.08
2016-12-07,9435572.01000001
2016-12-08,6610210.300000001
2016-12-09,7069520.129999998
2016-12-10,6529119.179999996
2016-12-11,3925593.0500000007
2016-12-12,7647327.680000005
2016-12-13,7856341.829999996
2016-12-14,9040384.680000005
2016-12-15,12309999.15
2016-12-16,10833090.070000006
2016-12-17,15466140.319999997
2016-12-18,6317259.340000003
2016-12-19,6396059.01
2016-12-20,8253793.290000004
2016-12-21,11196182.959999999
2016-12-22,12183910.509999998
2016-12-23,10369501.38000001
