     ,f1   ,f2   ,f3   ,f4   ,f5   ,f6   ,f7   ,f8   ,f9   ,f10,f11,f12,f13  ,f14  ,f15  ,f16  ,f17  ,f18  ,f19 ,f20 ,f21  ,f22  ,f23 ,f24 ,f25 ,f26 ,f27 ,f28 ,f29 ,f30 ,f31 ,f32 ,f33 ,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,target
9839 ,110.0,100.0,100.0,100.0,15.0 ,131.0,77.0 ,71.0 ,94.0 ,0.0,0.0,0.0,0.0  ,0.0  ,0.0  ,0.0  ,1.0  ,0.0  ,0.0 ,5.0 ,51.0 ,1.0  ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9680 ,110.0,100.0,100.0,100.0,39.0 ,105.0,76.0 ,71.0 ,94.0 ,0.0,0.0,0.0,0.0  ,0.0  ,0.0  ,7.0  ,3.0  ,0.0  ,24.0,23.0,0.0  ,0.0  ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7093 ,110.0,100.0,100.0,100.0,115.0,77.0 ,78.0 ,75.0 ,94.0 ,0.0,0.0,0.0,44.0 ,65.0 ,0.0  ,0.0  ,0.0  ,0.0  ,0.0 ,0.0 ,0.0  ,0.0  ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,4.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11293,110.0,100.0,100.0,100.0,89.0 ,77.0 ,115.0,88.0 ,94.0 ,0.0,0.0,0.0,0.0  ,0.0  ,0.0  ,17.0 ,65.0 ,0.0  ,0.0 ,0.0 ,0.0  ,0.0  ,0.0 ,0.0 ,1.0 ,38.0,4.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820  ,110.0,100.0,100.0,100.0,93.0 ,98.0 ,76.0 ,71.0 ,94.0 ,0.0,0.0,0.0,0.0  ,0.0  ,0.0  ,5.0  ,41.0 ,34.0 ,28.0,0.0 ,0.0  ,0.0  ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1643 ,110.0,100.0,100.0,100.0,66.0 ,78.0 ,76.0 ,71.0 ,94.0 ,0.0,0.0,0.0,1.0  ,35.0 ,14.0 ,0.0  ,5.0  ,4.0  ,0.0 ,0.0 ,0.0  ,0.0  ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
7219 ,110.0,100.0,100.0,100.0,130.0,77.0 ,84.0 ,73.0 ,94.0 ,0.0,0.0,0.0,46.0 ,47.0 ,32.0 ,0.0  ,0.0  ,0.0  ,0.0 ,0.0 ,0.0  ,0.0  ,0.0 ,0.0 ,1.0 ,7.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12121,110.0,100.0,100.0,100.0,15.0 ,88.0 ,135.0,116.0,94.0 ,0.0,0.0,0.0,0.0  ,0.0  ,1.0  ,1.0  ,0.0  ,0.0  ,0.0 ,0.0 ,0.0  ,7.0  ,12.0,0.0 ,0.0 ,15.0,54.0,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2631 ,110.0,100.0,100.0,100.0,137.0,90.0 ,76.0 ,71.0 ,94.0 ,0.0,0.0,0.0,0.0  ,0.0  ,79.0 ,6.0  ,14.0 ,40.0 ,7.0 ,0.0 ,0.0  ,0.0  ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107  ,110.0,100.0,100.0,100.0,60.0 ,116.0,76.0 ,71.0 ,94.0 ,0.0,0.0,0.0,28.0 ,18.0 ,0.0  ,0.0  ,0.0  ,0.0  ,0.0 ,15.0,29.0 ,0.0  ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0
