ID,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,Y
Sugar Babies,0,1,1,0,0,0,1,0,1,0.6473643,0.76700002,0
Sugar Daddy,1,0,0,0,1,0,1,0,0,0.41800001,0.32499999,0
Super Bubble,0,1,0,0,0,0,0,0,0,0.162,0.116,0
Swedish Fish,0,1,0,0,0,0,0,0,1,0.60399997,0.755,1
Tootsie Pop,1,0,0,0,0,0,0,0,0,0.87656,0.5654,1
Tootsie Roll Juniors,1,0,0,0,0,0,0,0,0,0.31299999,0.51099998,0
Tootsie Roll Midgies,1,0,0,0,0,0,0,0,1,0.17399999,0.011,0
Tootsie Roll Snack Bars,1,0,0,0,0,0,0,1,0,0.465,0.32499999,1
Trolli Sour Bites,0,1,0,0,0,0,0,0,1,0.31299999,0.255,0
Twix,0,1,0,0,0,0,0,0,0,0.73543,0.86634,1
Twizzlers,0,1,0,0,0,0,0,0,0,0.22,0.116,0
Warheads,0,1,0,0,0,0,1,0,0,0.093000002,0.116,0
Welchs Fruit Snacks,0,1,0,0,0,0,0,0,1,0.31299999,0.31299999,0
Werthers Original Caramel,1,0,1,0,0,0,1,0,0,0.186,0.26699999,0
Whoppers,1,0,0,0,0,0,0,0,1,0.87199998,0.84799999,1
