date,temperature,with_gap
1982-01-02,-12.4,-12.4
1982-01-03,-19.6,-19.6
1982-01-04,-20.4,-20.4
1982-01-05,-16.1,-16.1
1982-01-06,-14.9,-14.9
1982-01-07,-19.8,-19.8
1982-01-08,-17.7,-17.7
1982-01-09,-25.6,-25.6
1982-01-10,-17.8,-17.8
1982-01-11,-7.8,-7.8
1982-01-12,-16.1,-16.1
1982-01-13,-17.3,-17.3
1982-01-14,-4.4,-4.4
1982-01-15,0.3,0.3
1982-01-16,-4.1,-4.1
1982-01-17,-3.5,-3.5
1982-01-18,-4.0,-4.0
1982-01-19,-4.6,-4.6
1982-01-20,-4.4,-4.4
1982-01-21,-2.6,-2.6
1982-01-22,-4.8,-4.8
1982-01-23,-5.6,-5.6
1982-01-24,-9.9,-9.9
1982-01-25,-6.4,-6.4
1982-01-26,-14.6,-14.6
1982-01-27,-7.1,-7.1
1982-01-28,-15.3,-15.3
1982-01-29,-10.8,-10.8
1982-01-30,-9.3,-9.3
1982-01-31,-5.0,-5.0
1982-02-01,-6.3,-6.3
1982-02-02,-8.1,-8.1
1982-02-03,-6.4,-6.4
1982-02-04,-2.7,-2.7
1982-02-05,-6.0,-6.0
1982-02-06,-16.9,-16.9
1982-02-07,-18.3,-18.3
1982-02-08,-19.0,-19.0
1982-02-09,-16.9,-16.9
1982-02-10,-9.8,-9.8
1982-02-11,-1.6,-1.6
1982-02-12,1.0,1.0
1982-02-13,0.3,0.3
1982-02-14,-1.7,-1.7
1982-02-15,-0.4,-0.4
1982-02-16,-2.1,-2.1
1982-02-17,-2.6,-2.6
1982-02-18,-8.6,-8.6
1982-02-19,-7.5,-7.5
1982-02-20,-7.2,-7.2
1982-02-21,-5.5,-5.5
1982-02-22,-5.3,-5.3
1982-02-23,-5.0,-5.0
1982-02-24,-5.8,-5.8
1982-02-25,-3.6,-3.6
1982-02-26,-4.3,-4.3
1982-02-27,-10.5,-10.5
1982-02-28,-9.0,-9.0
1982-03-01,-3.8,-3.8
1982-03-02,0.9,0.9
1982-03-03,1.2,1.2
1982-03-04,2.2,2.2
1982-03-05,1.5,1.5
1982-03-06,-2.9,-2.9
1982-03-07,-6.0,-6.0
1982-03-08,-0.7,-0.7
1982-03-09,-4.5,-4.5
1982-03-10,-4.1,-4.1
1982-03-11,-4.2,-4.2
1982-03-12,-4.7,-4.7
1982-03-13,0.6,0.6
1982-03-14,0.6,0.6
