experience,job_description,job_desig,job_type,key_skills,location,salary
6-10 yrs,"Must be knowledgeable and experienced in relational database concepts,Oracle Apps database architecture ...",Oracle EBS Technical Consultant,,"Oracle SQL, PLSQL, PL, Oracle Forms, Oracle Reports, Oracle Workflow...","Bengaluru, Chennai",6to10
8-12 yrs,- Experience in building scalable and highly available distributed systems;- Hands-on experience in web ...,Staff Software Engineer - Object Oriented Analysis & Design,,"Javascript, HTML, JQuery, Web Development, Play Framework, MVC, Rest...",Bengaluru,10to15
3-8 yrs,,Servicenow Developer,,"SNOW, Servicenow, Servicenow Developer","Hyderabad, Pune",0to3
3-6 yrs,     Our software engineers at Fiserv bring an open and creative mindset to a global team developing ...,"Software Development Engineering, Analyst",,"QTP, Flex, LAN, Application support, Performance testing, Eclipse...",Pune,6to10
5-10 yrs,- More than 5 years experience in Hypermesh for Finite Element model setup for large assemblies ...,NVH Engineer - Nastran/ Ls-dyna,,"HyperMesh, LS - DYNA, NASTRAN, Abaqus, Fatigue, Durability, NVH, FEA...","Mumbai, Bengaluru, Hyderabad, Pune, Delhi",10to15
4-9 yrs,"- Experience in digital, always-on systems like real-time credit evaluations, e-commerce, digital ...",Manager - Portfolio Analytics - NBFC - Iit/nit/bits,Analytics,"Manager - Portfolio Analytics, Portfolio Analytics, Analytics...","Chennai, Pune",15to25
5-7 yrs,5-7 years of experience;Should understand technology well;Should ideally have a good pedigree;Some ...,Head Delivery-providers,Analytics,"Project Management, Client Interfacing, Client Management, Data Analytics...",Delhi NCR,3to6
0-0 yrs,,Fresher Analytics ( Hiring for Analyst | Data Research Team )-mnc-kpo,Analytics,"Analysis, research, analyst, research analyst, research associate, research...","Delhi NCR, Faridabad, Ghaziabad, Greater Noida, Gurgaon, Noida",0to3
6-11 yrs,We are looking to hire a hands-on expert with extensive experience in online marketing including SEO ...,Team Leader Operations - Digital Marketing,,"SEO, Digital Marketing, Search Engine Marketing, Google AdWords, SEM...","Mumbai, Mumbai Suburbs",6to10
1-6 yrs,,Senior Manager Collections@ Two Wheeler Finance -female Preferred,,"recovery, team handling, data analysis, team leader, collection...",Thane,0to3
2-7 yrs,,Analytics Specialist,Analytics,"Analytics, Data analysis, Data mining, SQL, Trend analysis...","Gurgaon, Mumbai",6to10
5-9 yrs,- Have good time management skills and should be able to meet the expected deliverables;;- Extensive ...,Data Science & Machine Learning Role - Python/sql/r/etl/scala,,"Data Science, SCALA, Machine Learning, Java, Python, SQL, R, Pig...",Gurgaon,15to25
9-14 yrs,- Must have experience in designing and architecting large scale distributed applications;- Must have ...,Big Data Architect/specialist - Java/hadoop,,"Java, J2Ee, Spring Framework, Hadoop, Mapreduce, Spark, HBase, Big Data...","Bengaluru, Delhi NCR",25to50
11-15 yrs,"- Deep experience in Data platform designing, architecting, implementation & operations standards ...",Big Data Architect - Data Analytics/data Modeling,Analytics,"POC, Data Analytics, Big Data, Data Modeling, Data Management...",Bengaluru,15to25
8-12 yrs,,Manager-electronics Commodity,,"process monitoring, cost reduction initiatives, vendor contracts...",Delhi NCR,15to25
0-3 yrs,Should be focused on quality and error free reports;You will be required to use the database and the ...,Analyst - Background Verification (Day Shift),,"background verification, backend, back office, back office operations...",Kolkata(Salt Lake),0to3
8-13 yrs,"9+ YEARS OF EXPERIENCE IN SOFTWARE DEVELOPMENT ;- EXPERIENCE WITH SPARK, SPARK-STREAMING, SPARK-ML, ...",Big Data Solution Architect  - Automobiles - Chennai,analytics,"spark, big data analytics, data analysis, software development",Chennai,25to50
2-3 yrs,,Executive - Social Media,,"Digital Marketing, Content Strategy, Digital Media, Sales, Twitter...",Mumbai(Lower Parel),0to3
0-5 yrs,- should possess excellent communication skills and should be able to speak English fluently and also ...,Executive - Audit Finance and Accounts,,"finance, auditing, accounting, financial reporting, financial analysis...","Bengaluru, Chennai, Kochi",0to3
4-8 yrs,4-8 years experience in Analytics or DMP technical sales;The Solution Consultant must be able to ...,Urgently Hiring For Solution Consultant - Adobe Analytics Cloud,Analytics,"Product Sales, Product Marketing, Product Management, Sales Training, Sales...","Delhi NCR, Mumbai, Gurgaon",3to6
5-10 yrs,5+ years of credit experience with credit scoring systems preferred;Have considerable experience with ...,"Credit Manager - Home Loans l Kakinada, Karimnagar, Amalapuram",,"Credit Management, Home Loans, Credit Manager, Credit Analyst...","Kakinada, Karimnagar",3to6
3-8 yrs,Should have strong client handling experience;Should have strong client handling experience;Should have ...,Assistant Manager Recruitment and Client Management,,"Head Hunting, Recruitment, Screening, Leadership Hiring, HR...",Delhi NCR(Old Rajender Nagar),0to3
2-6 yrs,Anyone who is having relevant experience can ...,Sales Associate,,"Event Sales, Space Selling, Ad Sales, Project Sales, Sales Planning, Target...",Hyderabad,0to3
