"","GoodStudent","Age","SocioEcon","RiskAversion","VehicleYear","ThisCarDam","RuggedAuto","Accident","MakeModel","DrivQuality","Mileage","Antilock","DrivingSkill","SeniorTrain","ThisCarCost","Theft","CarValue","HomeBase","AntiTheft","PropCost","OtherCarCost","OtherCar","MedCost","Cushioning","Airbag","ILiCost","DrivHist"
"1","False","Adult","Prole","Cautious","Older","None","EggShell","None","Economy","Normal","TwentyThou","False","Normal","False","Thousand","False","FiveThou","Rural","True","Thousand","Thousand","False","Thousand","Poor","False","Thousand","Zero"
"2","False","Senior","Prole","Cautious","Older","Severe","EggShell","Moderate","Economy","Poor","TwentyThou","False","SubStandard","True","TenThou","False","FiveThou","Rural","True","TenThou","Thousand","False","TenThou","Poor","False","Thousand","Many"
"3","False","Adolescent","Prole","Adventurous","Older","None","Football","None","FamilySedan","Poor","TwentyThou","False","SubStandard","False","Thousand","False","TwentyThou","City","False","Thousand","Thousand","False","Thousand","Fair","False","Thousand","Many"
"4","False","Adolescent","Prole","Normal","Older","None","EggShell","None","Economy","Normal","FiftyThou","False","Normal","False","Thousand","False","FiveThou","City","False","TenThou","Thousand","True","Thousand","Poor","False","Thousand","Zero"
"5","False","Senior","Prole","Normal","Older","None","EggShell","None","SportsCar","Normal","FiveThou","False","Normal","False","Thousand","False","TwentyThou","City","False","Thousand","Thousand","True","Thousand","Poor","False","Thousand","Zero"
"6","False","Senior","Middle","Cautious","Current","None","Football","None","FamilySedan","Excellent","FiftyThou","True","Expert","True","Thousand","False","TwentyThou","Secure","True","Thousand","Thousand","True","Thousand","Good","True","Thousand","Zero"
"7","False","Adolescent","Middle","Normal","Older","None","EggShell","None","SportsCar","Normal","FiftyThou","False","Normal","False","Thousand","False","TenThou","Suburb","True","TenThou","Thousand","True","Thousand","Poor","False","Thousand","Zero"
"8","False","Adult","Middle","Normal","Older","None","Tank","None","FamilySedan","Normal","FiftyThou","False","Normal","False","Thousand","False","FiveThou","Suburb","True","TenThou","Thousand","True","Thousand","Excellent","False","Thousand","Zero"
"9","False","Adolescent","Prole","Adventurous","Older","Mild","EggShell","Mild","SportsCar","Poor","TwentyThou","True","SubStandard","False","Thousand","False","TwentyThou","City","False","Thousand","Thousand","True","Thousand","Poor","False","Thousand","Many"
"10","False","Senior","UpperMiddle","Normal","Current","None","Football","None","Luxury","Normal","FiftyThou","True","Normal","True","Thousand","False","FiftyThou","Suburb","True","Thousand","Thousand","True","Thousand","Good","True","Thousand","Zero"
"11","False","Adolescent","Prole","Normal","Older","Moderate","Football","Moderate","Economy","Poor","TwentyThou","False","SubStandard","False","TenThou","False","FiveThou","City","False","HundredThou","TenThou","False","Thousand","Good","False","Thousand","Many"
"12","True","Adolescent","Middle","Normal","Older","Mild","Football","Mild","FamilySedan","Normal","FiftyThou","False","Normal","False","Thousand","False","FiveThou","Suburb","False","Thousand","Thousand","True","Thousand","Poor","False","Thousand","Zero"
"13","False","Adolescent","Prole","Adventurous","Older","Severe","Football","Severe","FamilySedan","Poor","FiftyThou","False","SubStandard","False","TenThou","False","TenThou","City","False","TenThou","TenThou","False","HundredThou","Fair","False","Thousand","Many"
"14","False","Adult","UpperMiddle","Normal","Current","None","Tank","None","FamilySedan","Normal","FiftyThou","False","Normal","False","Thousand","False","TenThou","Secure","True","TenThou","Thousand","True","Thousand","Excellent","True","Thousand","Zero"
"15","False","Adult","Prole","Adventurous","Older","None","EggShell","None","Economy","Normal","FiftyThou","False","Normal","False","Thousand","False","FiveThou","Rural","False","TenThou","Thousand","False","Thousand","Poor","False","Thousand","Zero"
"16","False","Adult","Middle","Normal","Current","None","Football","None","FamilySedan","Normal","FiftyThou","True","Normal","False","Thousand","False","TwentyThou","Suburb","False","Thousand","Thousand","True","Thousand","Good","True","Thousand","Many"
"17","False","Adult","Middle","Normal","Current","None","Football","None","FamilySedan","Normal","TwentyThou","True","Normal","False","Thousand","False","TwentyThou","Secure","False","TenThou","Thousand","True","Thousand","Good","True","Thousand","Zero"
"18","False","Senior","UpperMiddle","Normal","Current","Mild","Football","Mild","FamilySedan","Poor","TwentyThou","True","SubStandard","False","Thousand","False","TwentyThou","Secure","True","TenThou","Thousand","True","Thousand","Good","True","Thousand","Many"
"19","False","Senior","Prole","Cautious","Older","None","Football","None","Economy","Excellent","TwentyThou","False","Normal","True","Thousand","False","TenThou","Rural","True","TenThou","Thousand","False","Thousand","Good","True","Thousand","Zero"
"20","False","Adolescent","Middle","Normal","Older","None","Tank","Moderate","FamilySedan","Poor","Domino","False","SubStandard","False","Thousand","False","FiveThou","Suburb","False","HundredThou","TenThou","True","Thousand","Good","False","Thousand","Many"
"21","False","Adult","Middle","Normal","Current","None","Football","None","FamilySedan","Normal","Domino","False","Normal","False","Thousand","False","TwentyThou","Suburb","False","Thousand","Thousand","True","Thousand","Good","True","Thousand","Zero"
