,country,points,price,province,variety
0,US,96,235.0,California,Cabernet Sauvignon
1,US,96,65.0,Oregon,Pinot Noir
2,US,95,65.0,Oregon,Pinot Noir
3,US,95,60.0,California,Pinot Noir
4,US,95,48.0,Oregon,Pinot Noir
5,US,95,48.0,Oregon,Pinot Noir
6,US,95,185.0,Oregon,Pinot Noir
7,US,95,90.0,Oregon,Chardonnay
8,US,95,325.0,California,Cabernet Sauvignon
9,US,95,75.0,California,Pinot Noir
10,US,95,60.0,California,Chardonnay
11,US,95,45.0,California,Pinot Noir
12,New Zealand,94,57.0,Kumeu,Chardonnay
13,US,94,62.0,Oregon,Pinot Noir
14,US,94,105.0,Oregon,Pinot Noir
15,US,94,60.0,California,Pinot Noir
16,US,90,37.0,California,Chardonnay
17,US,90,42.0,Washington,Chardonnay
18,Italy,90,29.0,Tuscany,Red Blend
19,Italy,90,39.0,Tuscany,Red Blend
20,Italy,90,30.0,Tuscany,Red Blend
21,US,90,60.0,California,Cabernet Sauvignon
22,US,90,40.0,Washington,Cabernet Sauvignon
23,France,90,68.0,Burgundy,Chardonnay
24,France,90,28.0,Loire Valley,Pinot Noir
25,US,90,18.0,California,Chardonnay
26,US,90,69.0,Washington,Cabernet Sauvignon
27,US,90,25.0,New York,Riesling
28,Italy,90,60.0,Tuscany,Red Blend
29,Australia,91,36.0,Victoria,Pinot Noir
30,France,91,45.0,Burgundy,Chardonnay
31,France,91,38.0,Burgundy,Chardonnay
32,US,91,85.0,California,Cabernet Sauvignon
33,US,91,50.0,Oregon,Pinot Noir
34,US,91,60.0,California,Cabernet Sauvignon
35,US,91,85.0,California,Cabernet Sauvignon
36,US,91,45.0,California,Pinot Noir
37,US,91,54.0,Oregon,Pinot Noir
38,France,91,85.0,Champagne,Chardonnay
39,US,91,28.0,California,Cabernet Sauvignon
40,US,91,42.0,Oregon,Pinot Noir
41,Israel,91,25.0,Upper Galilee,Cabernet Sauvignon
42,France,91,45.0,Burgundy,Chardonnay
43,US,91,22.0,California,Cabernet Sauvignon
44,US,91,65.0,California,Pinot Noir
45,US,86,10.0,California,Cabernet Sauvignon
46,US,86,13.0,California,Chardonnay
47,US,86,18.0,California,Chardonnay
48,US,86,36.0,California,Cabernet Sauvignon
49,US,86,50.0,California,Cabernet Sauvignon
50,US,86,10.0,California,Chardonnay
51,US,86,45.0,California,Chardonnay
52,US,86,125.0,California,Cabernet Sauvignon
53,US,86,25.0,New York,Riesling
54,US,91,59.0,California,Pinot Noir
55,US,91,49.0,California,Pinot Noir
56,US,91,93.0,California,Chardonnay
57,US,91,32.0,California,Pinot Noir
58,US,91,20.0,California,Pinot Noir
59,US,90,50.0,California,Cabernet Sauvignon
60,US,90,45.0,California,Chardonnay
61,US,90,16.0,California,Chardonnay
62,US,90,30.0,California,Cabernet Sauvignon
63,US,90,26.0,Oregon,Chardonnay
64,US,90,55.0,California,Pinot Noir
65,US,89,50.0,Oregon,Pinot Noir
66,Chile,89,19.0,Colchagua Valley,Red Blend
67,US,89,35.0,Oregon,Pinot Noir
68,US,89,36.0,Oregon,Pinot Noir
69,Italy,89,25.0,Tuscany,Red Blend
70,Italy,89,22.0,Tuscany,Red Blend
71,US,89,25.0,California,Chardonnay
72,US,89,42.0,California,Pinot Noir
73,US,89,49.0,California,Pinot Noir
74,Italy,89,57.0,Tuscany,Red Blend
75,US,89,29.0,California,Cabernet Sauvignon
76,Chile,89,61.0,Maule Valley,Red Blend
77,US,88,25.0,California,Chardonnay
78,US,88,49.0,California,Pinot Noir
79,Spain,87,22.0,Catalonia,Red Blend
80,US,87,10.0,California,Chardonnay
81,US,87,18.0,New York,Chardonnay
82,US,87,14.0,New York,Riesling
83,US,87,14.0,New York,Riesling
84,US,87,36.0,Washington,Cabernet Sauvignon
85,France,93,39.0,Alsace,Riesling
86,France,93,65.0,Alsace,Riesling
87,France,93,42.0,Alsace,Riesling
88,France,93,61.0,Alsace,Riesling
89,France,93,48.0,Alsace,Riesling
90,US,93,80.0,Washington,Cabernet Sauvignon
91,US,93,48.0,Washington,Cabernet Sauvignon
92,US,93,200.0,California,Cabernet Sauvignon
93,US,93,62.0,Washington,Cabernet Sauvignon
94,France,92,35.0,Alsace,Riesling
95,France,92,48.0,Alsace,Riesling
96,France,92,55.0,Alsace,Riesling
97,US,88,28.0,California,Chardonnay
98,US,88,36.0,Oregon,Pinot Noir
99,US,88,24.0,California,Chardonnay
100,US,88,60.0,Oregon,Pinot Noir
101,US,88,54.0,California,Pinot Noir
102,US,88,61.0,California,Pinot Noir
103,US,88,39.0,California,Red Blend
104,US,88,18.0,California,Chardonnay
105,Argentina,88,15.0,Mendoza Province,Cabernet Sauvignon
106,France,92,92.0,Burgundy,Pinot Noir
107,France,92,94.0,Burgundy,Chardonnay
108,US,92,58.0,California,Chardonnay
109,US,92,32.0,California,Pinot Noir
110,US,92,43.0,California,Pinot Noir
111,US,92,100.0,California,Cabernet Sauvignon
112,France,91,60.0,Burgundy,Chardonnay
113,France,91,40.0,Burgundy,Chardonnay
114,US,91,60.0,Oregon,Pinot Noir
115,France,91,100.0,Burgundy,Pinot Noir
116,US,91,20.0,California,Pinot Noir
117,US,91,38.0,California,Pinot Noir
118,US,94,30.0,California,Riesling
119,Italy,94,85.0,Veneto,Red Blend
120,US,94,30.0,California,Riesling
121,US,94,65.0,California,Pinot Noir
122,New Zealand,94,57.0,Kumeu,Chardonnay
123,US,94,90.0,Oregon,Pinot Noir
124,US,94,85.0,California,Pinot Noir
125,US,94,70.0,California,Pinot Noir
126,US,94,70.0,Oregon,Pinot Noir
127,US,94,60.0,California,Pinot Noir
128,US,94,155.0,California,Cabernet Sauvignon
129,US,94,48.0,Oregon,Pinot Noir
130,US,94,95.0,California,Cabernet Sauvignon
131,US,94,49.0,Oregon,Pinot Noir
132,US,94,95.0,California,Cabernet Sauvignon
133,Argentina,94,50.0,Mendoza Province,Cabernet Sauvignon
134,US,94,63.0,Oregon,Chardonnay
135,Germany,91,23.0,Mosel,Riesling
136,US,91,50.0,California,Cabernet Sauvignon
137,US,91,30.0,Oregon,Pinot Noir
138,US,91,60.0,California,Cabernet Sauvignon
139,US,91,55.0,California,Pinot Noir
140,US,91,48.0,California,Chardonnay
141,US,91,40.0,California,Chardonnay
142,US,91,50.0,California,Chardonnay
143,US,91,48.0,Oregon,Pinot Noir
144,France,91,54.0,Champagne,Chardonnay
145,Israel,91,40.0,Golan Heights,Cabernet Sauvignon
146,US,91,40.0,California,Chardonnay
147,US,91,42.0,Oregon,Pinot Noir
148,US,90,41.0,California,Red Blend
149,France,90,33.0,Alsace,Pinot Noir
150,France,90,70.0,Burgundy,Pinot Noir
151,US,90,19.0,Oregon,Pinot Noir
152,US,90,45.0,Oregon,Pinot Noir
153,France,90,80.0,Burgundy,Pinot Noir
154,Germany,90,31.0,Mosel,Riesling
155,US,90,15.0,California,Cabernet Sauvignon
156,US,90,15.0,California,Cabernet Sauvignon
157,US,90,80.0,California,Red Blend
158,US,90,50.0,California,Cabernet Sauvignon
159,US,90,28.0,California,Cabernet Sauvignon
160,US,90,40.0,California,Cabernet Sauvignon
161,US,90,50.0,California,Chardonnay
162,US,90,75.0,California,Cabernet Sauvignon
163,US,90,75.0,California,Cabernet Sauvignon
164,US,90,60.0,California,Chardonnay
165,US,90,22.0,California,Chardonnay
166,US,90,30.0,California,Chardonnay
167,US,90,35.0,California,Cabernet Sauvignon
168,Italy,90,32.0,Tuscany,Red Blend
169,US,87,36.0,Washington,Cabernet Sauvignon
170,US,87,30.0,California,Chardonnay
171,US,87,20.0,California,Cabernet Sauvignon
172,US,87,23.0,Idaho,Cabernet Sauvignon
173,US,87,20.0,California,Cabernet Sauvignon
174,US,87,22.0,Idaho,Chardonnay
175,Italy,87,17.0,Tuscany,Red Blend
176,US,87,17.0,Idaho,Riesling
177,Spain,87,28.0,Catalonia,Red Blend
178,US,86,26.0,California,Chardonnay
179,US,86,31.0,California,Cabernet Sauvignon
