,Text_ID,Product_Description,Product_Type,Sentiment
5743,2333,#techcrunch #google This Post Has Nothing to do with #SXSW: EditorÛªs Note: This is a guest po... {link} #facebook @mention,9,2
3042,3448,Data is the new oil. (Companies like Google and Facebook have monopoly and terms of service to be wary of) - @mention #sxsw,3,1
4359,720,"my sister is throwing the Google sxsw party tonigh Come!! {link} Bands, food, art, ice cream, nifty interactive #sxsw",3,3
5685,2328,"Clear +succinct visions make for great UX (think Apple, Google, Intuit)-we've seemed to forget the 'heart' of caring/purpose #sxsw #rhjr_ux5",9,2
2078,4955,40% of Google Maps use is mobile marissamayer #sxsw,9,3
6269,4476,"Grouped{in} guy: &quot;Do you have an iPhone, iPad, or iPod touch?&quot; Me: &quot;All of those.&quot; (I had the decency to blush, at least.) #sxsw",9,2
4442,2534,@mention did you snag an iPad 2 yesterday? thoughts so far? #SXSW,9,2
4849,2573,One lone dude awaits iPad 2 at AppleÛªs #SXSW store: Apple likely expected a bigger crowd forming at its South by ... {link},9,2
1043,2092,iPhone sharing???? #sxsw #shareable,9,2
3404,1566,@mention @mention Apple to open temporary store Friday in the Scarbrough Building at 6th and Congress #SxSW {link},9,2
3647,8837,I just saw someone filming the #sxsw trade show floor w a teeny hand held steady cam for his iPhone. #jealous,8,3
1848,753,Google to launch Circles social network at #sxsw? {link},9,2
4258,6978,RT @mention YayRT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by #Mashable {link},9,2
5371,165,Anyone at #sxsw want an iPad 2? I'm in line and will pick one up for someone willing to pay me 50 for me to grab 1 for you?,9,2
2718,8157,"Current #SXSW plan= paper notepad (#viztalk), iPhone and iPad. No keyboard computer (netbook or laptop). Going ultralite.",9,2
6227,2913,What happened to the Taxi Magic iPhone app? Now all I can do is call the cabs via it #sxsw,7,1
1822,3949,@mention jealous! I love both apple stores and #sxsw!,2,3
3225,5781,RT @mention Going to #SXSW? Checkin with friends while youÛªre in Austin with these location-based apps. {link} #iPhone,9,2
586,6945,RT @mention Win a #sony Xperia Play #android phone at #SXSW (tuesday 3/15) details here: {link},0,3
4578,532,SXSW Geek Games: Compete To Gain VIP Status &amp; Win Big Prizes: We all know... {link} #mashable #geek_games #sxsw #Cyber #iPhone,9,2
920,4279,Google's Marissa Mayer: &quot;The mobile phone is a cursor that connects the physical and digital worlds.&quot; #sxsw,3,3
69,7362,"I have a pen and paper, an iPhone, &amp;  iPad at my immediate use for this session on media analytics. Now just need to not hit the #sxsw wall.",9,2
2318,6848,"RT @mention via @mention Still a big line outside of Apple's pop-up shop, 3 days after iPad's debut. #sxsw",2,3
3065,6070,RT @mention I'd pay an iPad 2 to the person who gets the most Zaarly referrals by March 12th.  #winning #sxsw {link},9,2
5704,2118,"Guy just asked Google's Mayer: it can take a year to remove deadly routes from Google Maps, such as through Death Valley #SXSW",5,1
1146,3681,Poor Austin. RT @mention iPad 2 launch coincides with Fri afternoon of #SXSW. Apple store employees in Austin may begin weeping now.,9,2
701,3742,Do you think it will be sucessful? @mention Google Possibly Launching New Social Network. #SXSW {link} ...,9,2
1165,7123,Waiting for a #SXSW session to start: Touching Stories - Designing Digital Magazines for the iPad,9,2
5652,7916,Apple gets to the core of #SXSW with it's pop up experiential shops #XM #Events {link},2,3
6274,3515,@mention How can any self-respecting Apple fanboy attend THE interactive event of the year without an #iPad2? #SXSWi #SXSW,6,3
27,3787,RT: @mention RT @mention Traveling to #sxsw with your ipad 1 is so 3/10/2011,9,2
267,6111,"RT @mention If you're at #sxsw, meet our author, and a host of Android devs, Sat. at 12:30pm, Hilton room 615AB.",9,2
5641,4800,RT RT @mention The iPad 2 Takes Over #SXSW [VIDEO] {link} RT @mention The iP... {link} #Vegas #News,6,3
4259,5978,RT @mention Heard about Apple's pop-up store in downtown Austin? Pics are already on Gowalla: {link} #sxsw [Pop-POP!],9,2
47,4313,True RT @mention From tablet/phone/laptop evidence at #SxSW they might as well call this country the United States of Apple. #sxswsa,9,2
5138,1555,@mention @mention @mention This is the press release for the iPad apps I am helping launch at #SXSW {link} #sxswi,9,2
5003,1312,How about we...chase sweet &amp; salty w/sweet tea vodka @mention the Google party? #SXSW (@mention GSD&amp;M) [pic]: {link},9,2
1448,3234,I'm loving the Apple pop-up in downtown office. But how long will it last after #SXSW for us locals? {link} {link},2,3
4738,2888,I'll be helping @mention at 12:30 for the Twitter for Good at #sxsw at Icenhaur's. Come and join us  {link},9,2
1587,7225,At the #yourmom iPad design talk. #SXSW,9,2
4346,4853,Excited to know more about Google Circles. Lucky folks at SXSW to be the first to see? Possible launch today: {link} #sxsw,5,3
2887,2731,Yay!  Love the iPad 2!  Perfectly portable for all of the travel we've been doing!  Thanks #sxsw pop-up store!,6,3
1867,5787,RT @mention Going to #SXSW? The new iPhone guide to #Austin by @mention is free March 9-15. Hard to beat free. #lp #mobile,7,3
6325,5651,RT @mention D/L @mention come to the UJ* booth in ACC hall 2! Snap pics &amp; send em to us #FightThePaddle! {link} #SXSW,9,2
2605,4819,Big ups to @mention for his AWESOME #Austin for newbies map: {link} #SXSW,9,2
179,4080,Love Google Analytics! Thanks to the followers at #SXSW who took the time to check out my new post!,5,3
2219,3727,It's amazing that the Apple Pop-Up Austin Store was executed so quickly. 1 week {link} via @mention #SXSW,2,3
260,998,The #sxsw Pepsi Max Marketing Street Team has shown up to the PopUp Apple Store line handing out drinks &amp; Tshirts. {link},9,2
4263,1159,ÛÏ@mention The iPad 2 Takes Over #SXSW [VIDEO]: {link} via MashableÛ,9,2
6332,1458,OH SNAP!!!!  At an 80s party hosted by Google! #sxsw,9,3
6063,6561,"RT @mention RT @mention Hey Austin, know a little about #iPhone or #Android, love music &amp; wanna make $20/hour during #SXSW?  Please let me know.",9,2
2407,2753,I love the waves!!!!!! {link} iPad Webber #japan #sxsw,9,3
5170,186,Currently 150 people in line at the &quot;Pop Up Apple Store&quot; #sxsw,9,2
5923,7459,iOS app approval disrupts the continuous dev flow.  Android has been the preferred platform to fine tune and experiment #sxsw #groupchatapps,0,3
1911,7777,Or Droid RT @mention Has spontaniety in life been replaced by technology? When your iPhone battery dies you go home. Great ?  #sxsw,8,1
3615,7646,#sxflip breaking(?) iPhone version of Flipboard is ther next product #sxsw yay!,7,3
4009,8713,RT never use mine on the go RT @mention &quot;You're probably using your iPad on the go.&quot; #disagree #SXSW #uxdes,9,0
370,2451,I'm headed down to #SXSW to hear a talk on integrated social network dynamics and team synergy.  I've got my iPad ready to go.,6,3
2811,7711,Great Intro to #saveustechies #sxsw: VIDEO: the Surui Carbon Project from Google Earth Engine {link},5,3
5187,8073,Google possibly  launching a social media service - again... #sxsw {link},5,1
