,Cloudy,Sprinkler,Rain,Wet_Grass
0,0,0,0,0
1,1,0,1,1
2,0,1,0,1
3,1,1,1,1
4,1,1,1,1
5,1,0,1,1
6,1,0,1,1
7,1,0,1,1
8,1,1,1,1
9,1,0,1,0
10,0,0,0,0
11,0,1,0,1
12,1,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,1,0,1
16,1,1,1,1
17,0,0,0,0
18,1,0,1,1
19,0,1,0,1
20,1,0,1,1
21,0,1,0,1
22,1,0,1,1
23,1,0,0,0
24,1,0,1,1
25,0,1,0,1
26,1,0,1,1
27,0,0,0,0
28,1,0,1,1
29,0,1,0,1
30,0,1,1,1
31,0,1,0,1
32,1,0,1,1
33,1,0,1,1
34,0,1,1,1
35,1,1,1,1
36,0,0,0,0
37,1,0,1,1
38,0,0,1,1
39,1,0,1,1
40,1,0,1,1
41,1,0,1,1
42,0,0,0,0
43,1,1,1,1
44,1,0,1,1
45,0,1,1,1
46,1,0,1,0
47,0,1,1,1
48,1,0,1,1
49,1,0,1,1
50,1,0,0,0
51,1,0,1,1
52,1,0,1,1
53,1,0,1,1
54,0,1,0,1
55,1,0,1,1
56,1,0,1,1
57,1,0,1,1
58,1,0,1,1
59,1,0,1,1
60,1,1,0,1
61,1,1,1,1
62,0,0,0,0
63,0,0,1,1
64,0,0,0,0
65,1,0,1,1
66,1,1,1,1
67,1,0,1,1
68,0,0,0,0
69,0,0,0,0
70,0,1,0,0
71,1,1,1,1
72,1,0,1,1
73,1,0,0,0
74,1,0,1,1
75,1,0,0,0
76,1,0,1,0
77,0,0,0,0
78,0,1,1,1
79,1,0,1,1
80,0,1,1,1
81,1,0,1,1
82,1,0,0,0
83,0,0,0,0
84,0,0,0,0
85,0,0,0,0
86,0,1,0,1
87,0,1,1,1
88,1,0,1,1
89,0,1,0,1
90,1,0,1,1
91,0,1,0,1
92,1,0,1,1
93,0,1,1,1
94,0,0,0,0
95,1,0,1,1
96,1,0,0,0
97,0,1,1,1
98,1,0,1,1
99,0,1,0,1
100,0,1,0,1
101,1,0,1,1
102,1,0,1,1
103,0,0,0,0
104,0,1,0,1
105,0,0,0,0
106,1,0,1,1
107,1,0,0,0
108,1,1,0,0
109,1,0,1,1
110,1,0,1,1
111,1,0,0,0
112,1,1,1,1
113,0,1,0,1
114,0,1,1,1
115,0,1,0,1
116,0,1,0,1
117,1,0,1,0
118,1,0,1,1
119,0,0,1,1
120,1,0,1,1
121,1,1,1,1
122,0,1,0,0
123,0,0,1,0
124,0,1,0,1
125,1,0,1,1
126,0,1,0,1
127,0,1,0,1
128,0,1,0,0
129,1,0,0,0
130,1,1,0,1
131,1,0,1,1
132,1,1,1,1
133,0,1,0,1
134,1,0,1,1
135,0,0,0,0
136,0,1,0,1
137,0,0,0,0
138,1,0,1,0
139,1,0,1,1
140,1,0,0,0
141,1,0,1,1
142,1,0,1,1
143,1,0,0,0
144,0,0,0,0
145,1,0,1,1
146,0,0,0,0
147,0,0,0,0
148,1,0,1,1
149,0,0,0,0
150,0,1,0,1
151,1,0,1,1
152,0,1,0,1
153,1,0,0,0
