month,summ
09-Jan,832.0
09-Feb,893.0
09-Mar,1001.0
09-Apr,1053.0
09-May,1323.0
09-Jun,1402.0
09-Jul,1609.0
09-Aug,1568.0
09-Sep,1697.0
09-Oct,2047.0
09-Nov,2325.0
09-Dec,2223.0
10-Jan,2731.0
10-Feb,2727.0
10-Mar,3094.0
10-Apr,2930.0
10-May,3146.0
10-Jun,3363.0
10-Jul,3834.0
10-Aug,3789.0
10-Sep,3504.0
10-Oct,3912.0
10-Nov,4005.0
10-Dec,3830.0
11-Jan,4511.0
11-Feb,4999.0
11-Mar,6380.0
11-Apr,5844.0
11-May,5778.0
11-Jun,5815.0
11-Jul,6049.0
11-Aug,6341.0
11-Sep,6057.0
11-Oct,6582.0
11-Nov,7025.0
11-Dec,6469.0
12-Jan,7817.0
12-Feb,8492.0
12-Mar,9248.0
12-Apr,9201.0
12-May,9487.0
12-Jun,9743.0
12-Jul,10740.0
12-Aug,10691.0
12-Sep,9887.0
12-Oct,11672.0
12-Nov,12433.0
12-Dec,10857.0
13-Jan,12707.0
13-Feb,13196.0
13-Mar,15071.0
13-Apr,15861.0
13-May,15519.0
13-Jun,14813.0
13-Jul,16799.0
13-Aug,15593.0
13-Sep,15539.0
13-Oct,18532.0
13-Nov,19062.0
13-Dec,16663.0
14-Jan,19694.0
14-Feb,20495.0
14-Mar,23254.0
14-Apr,22260.0
14-May,19575.0
14-Jun,18287.0
14-Jul,20063.0
14-Aug,18230.0
14-Sep,18207.0
14-Oct,20215.0
14-Nov,20232.0
14-Dec,18236.0
15-Jan,20079.0
15-Feb,21533.0
15-Mar,24878.0
15-Apr,25197.0
15-May,24538.0
15-Jun,24959.0
15-Jul,26593.0
15-Aug,23846.0
15-Sep,22977.0
15-Oct,26069.0
15-Nov,26313.0
15-Dec,24289.0
16-Jan,26417.0
16-Feb,28298.0
16-Mar,30868.0
16-Apr,30497.0
16-May,29583.0
16-Jun,29248.0
16-Jul,28949.0
16-Aug,29094.0
16-Sep,27264.0
16-Oct,30091.0
16-Nov,31105.0
16-Dec,28144.0
17-Jan,31374.0
17-Feb,32864.0
17-Mar,39182.0
17-Apr,35676.0
17-May,36774.0
17-Jun,36785.0
17-Jul,38375.0
17-Aug,39124.0
17-Sep,36749.0
17-Oct,40688.0
17-Nov,41186.0
17-Dec,34851.0
18-Jan,35977.0
18-Feb,36249.0
18-Mar,41234.0
18-Apr,39262.0
18-May,40344.0
18-Jun,38210.0
18-Jul,40525.0
18-Aug,39924.0
18-Sep,35722.0
18-Oct,40195.0
18-Nov,39582.0
18-Dec,34297.0
19-Jan,38264.0
19-Feb,39082.0
19-Mar,44171.0
19-Apr,44661.0
19-May,42438.0
19-Jun,38411.0
19-Jul,44378.0
19-Aug,45344.0
19-Sep,43098.0
19-Oct,52061.0
19-Nov,51469.0
19-Dec,44654.0
