feature_1,feature_2,class,concentration
1.2,0.01,a_category,2.2
1.4,0.02,a_category,5.2
9.1,0.03,b_category,0.01
9.3,0.04,b_category,0.02
2.2,0.05,a_category,5.1
1.0,0.06,a_category,6.1
8.9,0.07,b_category,0.1
9.2,0.08,b_category,0.05
0.2,0.09,a_category,8.1
0.5,0.1,a_category,7.9
9.6,0.11,b_category,0.03
9.8,0.12,b_category,0.04
1.0,0.13,a_category,5.3
1.1,0.14,a_category,6.8
9.9,0.15,b_category,0.2
9.7,0.16,b_category,0.05
0.9,0.17,a_category,4.1
1.5,0.18,a_category,5.5
8.9,0.19,b_category,0.02
8.5,0.2,b_category,0.09
0.8,0.21,a_category,4.5
0.7,0.22,a_category,2.5
9.2,0.23,b_category,0.05
9.5,0.24,b_category,0.1
