date,85_15,65_40,65_60,94_60,35_60,50_40,80_70,95_53,110_70,65_50,40_50
2006-01-01,0.76189995,0.49339998,0.0727,0.72059995,0.057699997,0.81409997,0.8675,0.8171,0.91339993,0.099199995,0.1242
2006-01-02,0.77809995,0.39809996,0.1266,0.8107,0.0725,0.78099996,0.89199996,0.84819996,0.9265999,0.13419999,0.1414
2006-01-03,0.78549993,0.4534,0.1844,0.85109997,0.0591,0.8279,0.87759995,0.88759995,0.91449994,0.1204,0.1096
2006-01-04,0.80139995,0.6193,0.31949997,0.89009994,0.077199996,0.8763,0.8765,0.89619994,0.88759995,0.1249,0.1359
2006-01-05,0.7950999,0.7708,0.6342,0.9354999,0.065699995,0.8825,0.91029996,0.9204999,0.9147999,0.28599998,0.1369
2006-01-06,0.8099,0.8069999,0.6882,0.9474,0.0298,0.8849,0.90959996,0.9575,0.9407,0.3986,0.1375
2006-01-07,0.817,0.8964,0.84529996,0.94909996,0.0587,0.9385,0.9328,0.9582,0.9403,0.6904,0.2052
2006-01-08,0.83169997,0.91789997,0.804,0.94769996,0.0804,0.9372999,0.9372,0.97309995,0.9504,0.67019993,0.30349997
2006-01-09,0.81839997,0.9365,0.7929999,0.95549995,0.07879999,0.9618,0.94369996,0.98109996,0.96129996,0.73309994,0.38189998
2006-01-10,0.8304,0.95059997,0.7997999,0.9596,0.075399995,0.9636,0.9496,0.98779994,0.96549994,0.79399997,0.36009997
2006-01-11,0.8382,0.92019993,0.8062999,0.959,0.0668,0.90959996,0.9475,0.98539996,0.96079993,0.8475999,0.42509997
2006-01-12,0.83049995,0.87689996,0.8071,0.9297,0.0673,0.84559995,0.90009993,0.9736,0.9536,0.8379,0.44239998
2006-01-13,0.82519996,0.7014,0.876,0.89379996,0.065,0.8372,0.90709996,0.9568,0.95339996,0.71019995,0.62469995
2006-01-14,0.85059994,0.7411,0.90479994,0.8961,0.0372,0.83949995,0.91419995,0.95659995,0.96059996,0.741,0.71919996
2006-01-15,0.84599996,0.81589997,0.90009993,0.92469996,0.038599998,0.8729,0.9257999,0.9578,0.96959996,0.83489996,0.7211999
2006-01-16,0.8135,0.8683999,0.91739994,0.9307,0.052999996,0.8703,0.9301999,0.96,0.97379994,0.9079,0.78749996
2006-01-17,0.8175,0.889,0.9372,0.92849994,0.07219999,0.8828,0.9357,0.96779996,0.9779999,0.92599994,0.83659995
2006-01-18,0.8303,0.90749997,0.96439993,0.942,0.08939999,0.8947,0.9393999,0.95739996,0.98849994,0.9546,0.8325
2006-01-19,0.84949994,0.9318,0.97659993,0.9304999,0.0733,0.9125999,0.94089997,0.9657999,0.98399997,0.97229993,0.8665999
2006-01-20,0.8236,0.94229996,0.9850999,0.9305999,0.0922,0.9323999,0.9489,0.95799994,0.98349994,0.9943999,0.9086999
2006-01-21,0.84749997,0.9424,0.9890999,0.9381,0.090399995,0.94229996,0.97569996,0.94769996,0.9593,0.9999,0.8647
2006-01-22,0.84879994,0.9337999,0.98499995,0.95589995,0.10819999,0.94519997,0.9804999,0.94879997,0.94619995,0.9999,0.8925
2006-01-23,0.8871,0.9354999,0.9825999,0.9443,0.12439999,0.9496,0.97739995,0.9472,0.9747,0.9990999,0.8858
2006-01-24,0.8929,0.9343,0.9765,0.9386,0.1301,0.9461,0.96889997,0.95339996,0.9858999,0.994,0.8600999
2006-01-25,0.85519993,0.9361999,0.99069995,0.9329,0.1387,0.94619995,0.9607,0.96559995,0.9869999,0.98649997,0.7986999
2006-01-26,0.89309996,0.9596,0.9997999,0.9661,0.19199999,0.97379994,0.97489995,0.9790999,0.9886999,0.9975,0.7836
2006-01-27,0.84339994,0.96999997,0.9999,0.97269994,0.216,0.97609997,0.9743999,0.97629994,0.9951999,0.9988,0.78629994
2006-01-28,0.89949995,0.98069996,0.9981,0.92529994,0.2185,0.98129994,0.9682999,0.97449994,0.98639995,1.0,0.8124
2006-01-29,0.8644999,0.97409993,0.9975999,0.8654999,0.3075,0.97969997,0.9675999,0.96119994,0.9822999,1.0,0.82019997
2006-01-30,0.85109997,0.97279996,0.9986,0.90709996,0.3843,0.95019996,0.9779999,0.9611,0.96239996,0.9993999,0.79699993
2006-01-31,0.84189993,0.94479996,0.9999,0.90269995,0.3893,0.9568,0.98219997,0.94839996,0.9465,1.0,0.83189994
2006-02-01,0.84699994,0.95809996,1.0,0.88699996,0.5294,0.9564,0.98469996,0.9399,0.9485,1.0,0.86039996
2006-02-02,0.84029996,0.9386999,1.0,0.88,0.67239994,0.9147999,0.9879999,0.9329,0.9402,1.0,0.84589994
2006-02-03,0.89879996,0.97159994,1.0,0.9402,0.76199996,0.9115,0.9925,0.92419994,0.9536,1.0,0.85739994
2006-02-04,0.8833,0.9868999,1.0,0.83529997,0.7786,0.92039996,0.9836999,0.89689994,0.96509993,1.0,0.84989995
2006-02-05,0.8764,0.9907999,0.9946,0.8436,0.7904999,0.9165,0.9932,0.89439994,0.9772999,0.9985,0.8708999
2006-02-06,0.88259995,0.9811999,0.9989,0.8618999,0.7529,0.9275999,0.999,0.9282999,0.96549994,0.9996,0.87839997
