idx,value
2009-01-01,832.0
2009-02-01,893.0
2009-03-01,1001.0
2009-04-01,1053.0
2009-05-01,1323.0
2009-06-01,1402.0
2009-07-01,1609.0
2009-08-01,1568.0
2009-09-01,1697.0
2009-10-01,2047.0
2009-11-01,2325.0
2009-12-01,2223.0
2010-01-01,2731.0
2010-02-01,2727.0
2010-03-01,3094.0
2010-04-01,2930.0
2010-05-01,3146.0
2010-06-01,3363.0
2010-07-01,3834.0
2010-08-01,3789.0
2010-09-01,3504.0
2010-10-01,3912.0
2010-11-01,4005.0
2010-12-01,3830.0
2011-01-01,4511.0
2011-02-01,4999.0
2011-03-01,6380.0
2011-04-01,5844.0
2011-05-01,5778.0
2011-06-01,5815.0
2011-07-01,6049.0
2011-08-01,6341.0
2011-09-01,6057.0
2011-10-01,6582.0
2011-11-01,7025.0
2011-12-01,6469.0
2012-01-01,7817.0
2012-02-01,8492.0
2012-03-01,9248.0
2012-04-01,9201.0
2012-05-01,9487.0
2012-06-01,9743.0
2012-07-01,10740.0
2012-08-01,10691.0
2012-09-01,9887.0
2012-10-01,11672.0
2012-11-01,12433.0
2012-12-01,10857.0
2013-01-01,12707.0
2013-02-01,13196.0
2013-03-01,15071.0
2013-04-01,15861.0
2013-05-01,15519.0
2013-06-01,14813.0
2013-07-01,16799.0
2013-08-01,15593.0
2013-09-01,15539.0
2013-10-01,18532.0
2013-11-01,19062.0
2013-12-01,16663.0
2014-01-01,19694.0
2014-02-01,20495.0
2014-03-01,23254.0
2014-04-01,22260.0
2014-05-01,19575.0
2014-06-01,18287.0
2014-07-01,20063.0
2014-08-01,18230.0
2014-09-01,18207.0
2014-10-01,20215.0
2014-11-01,20232.0
2014-12-01,18236.0
2015-01-01,20079.0
2015-02-01,21533.0
2015-03-01,24878.0
2015-04-01,25197.0
2015-05-01,24538.0
2015-06-01,24959.0
2015-07-01,26593.0
2015-08-01,23846.0
2015-09-01,22977.0
2015-10-01,26069.0
2015-11-01,26313.0
2015-12-01,24289.0
2016-01-01,26417.0
2016-02-01,28298.0
2016-03-01,30868.0
2016-04-01,30497.0
2016-05-01,29583.0
2016-06-01,29248.0
2016-07-01,28949.0
2016-08-01,29094.0
2016-09-01,27264.0
2016-10-01,30091.0
2016-11-01,31105.0
2016-12-01,28144.0
2017-01-01,31374.0
2017-02-01,32864.0
2017-03-01,39182.0
2017-04-01,35676.0
2017-05-01,36774.0
2017-06-01,36785.0
2017-07-01,38375.0
2017-08-01,39124.0
2017-09-01,36749.0
2017-10-01,40688.0
2017-11-01,41186.0
2017-12-01,34851.0
2018-01-01,35977.0
2018-02-01,36249.0
2018-03-01,41234.0
2018-04-01,39262.0
2018-05-01,40344.0
2018-06-01,38210.0
2018-07-01,40525.0
2018-08-01,39924.0
2018-09-01,35722.0
2018-10-01,40195.0
2018-11-01,39582.0
2018-12-01,34297.0
2019-01-01,38264.0
2019-02-01,39082.0
2019-03-01,44171.0
2019-04-01,44661.0
2019-05-01,42438.0
2019-06-01,38411.0
2019-07-01,44378.0
2019-08-01,45344.0
2019-09-01,43098.0
2019-10-01,52061.0
2019-11-01,51469.0
2019-12-01,44654.0
