dates,sea_level
2002-01-01,-0.9429926872253418
2002-01-02,-0.9429926872253418
2002-01-03,-0.954142689704895
2002-01-04,-0.9316319823265076
2002-01-05,-0.9160447716712952
2002-01-06,-0.8916307091712952
2002-01-07,-0.8964553475379944
2002-01-08,-0.9142791032791138
2002-01-09,-0.921499490737915
2002-01-10,-0.9327292442321776
2002-01-11,-0.9493585228919984
2002-01-12,-0.9571446776390076
2002-01-13,-0.9608805179595948
2002-01-14,-0.9565894603729248
2002-01-15,-0.9416098594665528
2002-01-16,-0.9313281774520874
2002-01-17,-0.9184276461601256
2002-01-18,-0.9084551930427552
2002-01-19,-0.9069065451622008
2002-01-20,-0.9134851694107056
2002-01-21,-0.9217643737792968
2002-01-22,-0.9240221977233888
2002-01-23,-0.9273910522460938
2002-01-24,-0.930252969264984
2002-01-25,-0.946106493473053
2002-01-26,-0.9557129740715028
2002-01-27,-0.9656663537025452
2002-01-28,-0.9633460044860841
2002-01-29,-0.9538406133651732
2002-01-30,-0.9471346139907836
2002-01-31,-0.944098174571991
2002-02-01,-0.9305382370948792
2002-02-02,-0.9165371656417848
2002-02-03,-0.901318609714508
2002-02-04,-0.8862147927284241
2002-02-05,-0.8829151391983032
2002-02-06,-0.9079208970069884
2002-02-07,-0.9242291450500488
2002-02-08,-0.9452993273735046
2002-02-09,-0.9616104960441588
2002-02-10,-0.9714179635047911
2002-02-11,-0.9783591032028198
2002-02-12,-0.9816978573799132
2002-02-13,-0.9765748977661132
2002-02-14,-0.9620172381401062
2002-02-15,-0.9624047279357909
2002-02-16,-0.9642127156257628
2002-02-17,-0.9703628420829772
2002-02-18,-0.973661243915558
2002-02-19,-0.9891703128814696
2002-02-20,-1.0090749263763428
2002-02-21,-1.0277814865112305
2002-02-22,-1.0444536209106443
2002-02-23,-1.058260798454285
2002-02-24,-1.0622918605804443
2002-02-25,-1.0710498094558716
2002-02-26,-1.0886133909225464
2002-02-27,-1.0656964778900146
2002-02-28,-1.0391105413436892
2002-03-01,-1.0224173069000244
2002-03-02,-1.0262686014175415
2002-03-03,-1.0344069004058838
2002-03-04,-1.038522481918335
2002-03-05,-1.0383641719818115
2002-03-06,-1.0410933494567869
2002-03-07,-1.0480496883392334
2002-03-08,-1.0465540885925293
2002-03-09,-1.0502113103866575
2002-03-10,-1.0568735599517822
2002-03-11,-1.0579121112823486
2002-03-12,-1.057029128074646
2002-03-13,-1.0554084777832031
2002-03-14,-1.0465437173843384
2002-03-15,-1.047026515007019
2002-03-16,-1.0353996753692627
2002-03-17,-1.0221620798110962
2002-03-18,-1.0104005336761477
2002-03-19,-0.991733968257904
2002-03-20,-0.9842551946640016
2002-03-21,-0.98194020986557
2002-03-22,-0.979094386100769
2002-03-23,-0.9712001085281372
2002-03-24,-0.9616426825523376
2002-03-25,-0.9574533700942992
2002-03-26,-0.9622688293457032
2002-03-27,-0.971062958240509
2002-03-28,-0.9865968823432922
2002-03-29,-0.992432713508606
2002-03-30,-0.998933494091034
2002-03-31,-1.0027928352355957
2002-04-01,-1.0061472654342651
2002-04-02,-1.00837504863739
2002-04-03,-1.0057464838027954
2002-04-04,-1.010355830192566
2002-04-05,-1.0101779699325562
2002-04-06,-1.0187324285507202
2002-04-07,-1.0256751775741575
2002-04-08,-1.0289112329483032
2002-04-09,-1.037842869758606
2002-04-10,-1.0468932390213013
2002-04-11,-1.045399188995361
2002-04-12,-1.0425829887390137
2002-04-13,-1.036825180053711
2002-04-14,-1.025334119796753
2002-04-15,-1.0142472982406616
2002-04-16,-1.0038626194000244
2002-04-17,-0.989918887615204
2002-04-18,-0.98589289188385
2002-04-19,-0.9891540408134459
2002-04-20,-0.9997358322143556
2002-04-21,-1.0183337926864624
2002-04-22,-1.0332797765731812
2002-04-23,-1.0462788343429563
2002-04-24,-1.0555496215820312
2002-04-25,-1.0776762962341309
2002-04-26,-1.0912315845489502
2002-04-27,-1.107719659805298
2002-04-28,-1.1119674444198608
2002-04-29,-1.1171036958694458
2002-04-30,-1.112157106399536
2002-05-01,-1.103703498840332
2002-05-02,-1.0985554456710815
2002-05-03,-1.0880147218704224
2002-05-04,-1.0812439918518066
2002-05-05,-1.082546591758728
2002-05-06,-1.090748906135559
2002-05-07,-1.0970224142074585
2002-05-08,-1.0996259450912476
2002-05-09,-1.0994831323623655
2002-05-10,-1.103804111480713
2002-05-11,-1.1021806001663208
2002-05-12,-1.0935934782028198
2002-05-13,-1.0815364122390747
2002-05-14,-1.0687234401702879
2002-05-15,-1.0583320856094358
2002-05-16,-1.0453510284423828
2002-05-17,-1.0352805852890017
2002-05-18,-1.0280694961547852
2002-05-19,-1.0268925428390503
2002-05-20,-1.0292571783065796
2002-05-21,-1.033708572387695
2002-05-22,-1.0400234460830688
2002-05-23,-1.0458555221557615
2002-05-24,-1.0507546663284302
2002-05-25,-1.0560004711151123
2002-05-26,-1.060440182685852
2002-05-27,-1.063423752784729
2002-05-28,-1.0605243444442751
