fit preprocessing,fit full time,predict preprocessing,predict full time,pipeline structure
0.159577,7.9563,0.034415,0.089268,no preprocessing operations
0.13863,0.208762,0.037965,0.044641,no preprocessing operations
0.134668,6.383597,0.036903,0.109707,no preprocessing operations
0.135807,6.326856,0.035474,0.107316,no preprocessing operations
0.133679,0.211099,0.035906,0.042191,no preprocessing operations
0.140139,0.901179,0.036441,0.060375,no preprocessing operations
0.147577,14.413589,0.042914,0.127165,no preprocessing operations
0.135666,6.390226,0.036934,0.110737,no preprocessing operations
0.132644,2.483033,0.035904,0.076342,no preprocessing operations
0.138736,0.210178,0.036407,0.042663,no preprocessing operations
0.1386,0.209411,0.036902,0.042921,no preprocessing operations
0.13316,6.322467,0.034967,0.107738,no preprocessing operations
0.14577,6.425701,0.03787,0.111733,no preprocessing operations
0.139228,6.430532,0.036965,0.110739,no preprocessing operations
0.141854,6.525794,0.058844,0.136695,no preprocessing operations
0.176762,0.344086,0.036898,0.043852,no preprocessing operations
0.141621,0.863125,0.037464,0.221486,no preprocessing operations
0.135639,0.206802,0.035935,0.042397,no preprocessing operations
0.143617,6.439221,0.036902,0.109708,no preprocessing operations
0.139784,6.449438,0.039894,0.113696,no preprocessing operations
0.147115,0.646466,0.039867,0.047845,no preprocessing operations
0.138629,0.209423,0.035902,0.041887,no preprocessing operations
0.156119,6.450583,0.036902,0.10922,no preprocessing operations
0.13464,0.204482,0.043429,0.052406,no preprocessing operations
0.166591,2.300889,0.048875,0.147582,no preprocessing operations
0.138629,0.209491,0.038894,0.045876,no preprocessing operations
0.144201,6.439045,0.039954,0.116719,no preprocessing operations
0.14662,0.224368,0.037903,0.043887,no preprocessing operations
0.147665,13.145939,0.039893,0.185641,no preprocessing operations
0.14421,11.7344,0.040402,0.116199,no preprocessing operations
0.13863,6.376558,0.037874,0.110704,no preprocessing operations
0.14318,0.693637,0.039924,0.083343,no preprocessing operations
0.141652,6.331659,0.037899,0.109711,no preprocessing operations
0.133642,0.584464,0.035904,0.040947,no preprocessing operations
0.136636,6.335599,0.038897,0.111702,no preprocessing operations
0.146147,14.279912,0.041917,0.127688,no preprocessing operations
0.145181,6.374357,0.037898,0.113695,no preprocessing operations
0.145671,6.330638,0.035909,0.108707,no preprocessing operations
0.142618,6.381041,0.038926,0.11728,no preprocessing operations
0.140622,6.399378,0.038897,0.115254,['simple_imputation']
0.138657,6.368071,0.036902,0.111702,no preprocessing operations
0.145121,11.627791,0.039894,0.116687,no preprocessing operations
0.133677,6.323547,0.0379,0.111701,no preprocessing operations
0.143124,1.738609,0.039924,0.124039,no preprocessing operations
0.137639,6.594771,0.043883,0.119187,no preprocessing operations
0.150103,0.247842,0.037926,0.04391,no preprocessing operations
0.16855,7.056124,0.03641,0.110722,no preprocessing operations
0.171572,6.683473,0.035904,0.1142,no preprocessing operations
0.166063,0.413908,0.041887,0.056847,no preprocessing operations
0.171049,4.388601,0.090758,0.138629,no preprocessing operations
0.162579,6.868812,0.035875,0.112671,no preprocessing operations
0.143616,14.456668,0.038899,0.117109,no preprocessing operations
0.139714,6.307259,0.035904,0.115691,no preprocessing operations
0.140598,6.474393,0.039406,0.114206,no preprocessing operations
0.144183,14.198152,0.042886,0.128224,no preprocessing operations
0.136634,14.025688,0.039459,0.11877,no preprocessing operations
0.147115,14.163524,0.041905,0.127246,no preprocessing operations
0.150162,15.648364,0.045878,0.201459,no preprocessing operations
0.146608,0.882197,0.041916,0.082294,['simple_imputation']
0.140624,6.386391,0.038896,0.115257,['simple_imputation']
0.145642,14.066645,0.040896,0.120677,no preprocessing operations
0.144619,3.249952,0.038923,0.080799,no preprocessing operations
0.152486,4.922404,0.039451,0.091299,no preprocessing operations
0.143584,2.053528,0.038896,0.085445,no preprocessing operations
0.141622,5.18233,0.038433,0.085337,no preprocessing operations
0.142126,7.513118,0.038896,0.090757,no preprocessing operations
0.143644,2.221648,0.038164,0.089216,no preprocessing operations
0.138903,2.25944,0.037927,0.080814,no preprocessing operations
0.215323,2.764124,0.038896,0.092752,no preprocessing operations
0.139661,0.932373,0.038896,0.081786,no preprocessing operations
0.142652,3.940772,0.039864,0.084821,no preprocessing operations
0.144615,1.26201,0.037901,0.082779,no preprocessing operations
0.14262,6.878262,0.040399,0.094285,no preprocessing operations
0.146685,1.260272,0.037871,0.084949,no preprocessing operations
0.147633,2.254144,0.0379,0.088161,no preprocessing operations
0.141621,1.731754,0.037899,0.083776,no preprocessing operations
0.14262,2.941364,0.039894,0.087798,no preprocessing operations
0.14225,0.925954,0.038896,0.081753,no preprocessing operations
0.143678,5.469537,0.039928,0.085804,no preprocessing operations
0.210731,2.370198,0.038896,0.101391,no preprocessing operations
0.148574,6.050965,0.038899,0.10173,no preprocessing operations
0.140563,6.272827,0.040186,0.08706,no preprocessing operations
0.145309,6.936814,0.037934,0.085336,no preprocessing operations
0.147904,5.870942,0.03853,0.085402,no preprocessing operations
0.147482,4.977418,0.039136,0.085632,no preprocessing operations
0.140923,7.442326,0.040891,0.096489,no preprocessing operations
0.14454,6.979467,0.038901,0.08976,no preprocessing operations
0.142283,7.492289,0.038525,0.084373,no preprocessing operations
0.147118,4.92132,0.040891,0.089791,no preprocessing operations
0.206587,6.002882,0.040892,0.092864,no preprocessing operations
0.144745,7.127521,0.039893,0.087823,no preprocessing operations
0.138634,5.064286,0.038896,0.090456,no preprocessing operations
0.146635,7.593266,0.038898,0.090788,no preprocessing operations
