fit preprocessing,fit full time,predict preprocessing,predict full time,pipeline structure
0.02194,8.109918,0.009117,0.092347,"['one_hot_encoding', 'simple_imputation']"
0.019945,0.237872,0.009545,0.051401,"['one_hot_encoding', 'simple_imputation']"
0.024934,6.423805,0.008976,0.109706,"['one_hot_encoding', 'simple_imputation']"
0.021941,6.421766,0.009974,0.113761,"['one_hot_encoding', 'simple_imputation']"
0.021942,0.255757,0.009482,0.042417,"['one_hot_encoding', 'simple_imputation']"
0.017492,6.323167,0.007984,0.10472,"['one_hot_encoding', 'simple_imputation']"
0.139653,6.52076,0.037927,0.132105,['one_hot_encoding']
0.031915,6.456268,0.008976,0.109249,"['one_hot_encoding', 'simple_imputation']"
0.020944,6.372471,0.009972,0.111703,"['one_hot_encoding', 'simple_imputation']"
0.02842,0.333737,0.012963,0.073772,"['one_hot_encoding', 'simple_imputation']"
0.091758,0.202027,0.026901,0.043087,"['one_hot_encoding', 'simple_imputation']"
0.019944,6.368464,0.008977,0.108741,"['one_hot_encoding', 'simple_imputation']"
0.083808,6.425237,0.023667,0.106477,['simple_imputation']
0.087782,6.46665,0.022966,0.102783,['simple_imputation']
0.021909,8.845988,0.008978,0.111528,"['one_hot_encoding', 'simple_imputation']"
0.020377,0.51806,0.008976,0.046874,"['one_hot_encoding', 'simple_imputation']"
0.083283,0.156342,0.021941,0.030889,['simple_imputation']
0.020944,0.23537,0.008976,0.04224,"['one_hot_encoding', 'simple_imputation']"
0.138691,8.834745,0.038869,0.117657,no preprocessing operations
0.028517,11.742602,0.012966,0.147637,"['one_hot_encoding', 'simple_imputation']"
0.019944,0.227772,0.008977,0.040891,"['one_hot_encoding', 'simple_imputation']"
0.021941,0.229076,0.008977,0.040892,"['one_hot_encoding', 'simple_imputation']"
0.025929,6.394118,0.008976,0.110735,"['one_hot_encoding', 'simple_imputation']"
0.019919,0.228274,0.009975,0.042791,"['one_hot_encoding', 'simple_imputation']"
0.138629,6.476746,0.037466,0.13022,['one_hot_encoding']
0.080354,6.303706,0.021942,0.099766,['simple_imputation']
0.1496,8.095937,0.041206,0.124567,"['simple_imputation', 'one_hot_encoding']"
0.142623,8.825569,0.037878,0.115357,no preprocessing operations
0.019966,6.303442,0.007979,0.106715,"['one_hot_encoding', 'simple_imputation']"
0.021453,0.232907,0.009179,0.041888,"['one_hot_encoding', 'simple_imputation']"
0.084774,6.336622,0.02297,0.103754,['simple_imputation']
0.080755,6.337872,0.024934,0.112207,['one_hot_encoding']
0.078789,6.324656,0.020941,0.0983,['simple_imputation']
0.025931,6.494552,0.010975,0.131895,"['one_hot_encoding', 'simple_imputation']"
0.086825,11.61929,0.027923,0.132213,['one_hot_encoding']
0.019944,6.38957,0.008976,0.110704,"['one_hot_encoding', 'simple_imputation']"
0.020971,0.226587,0.008972,0.041857,"['one_hot_encoding', 'simple_imputation']"
0.082836,5.485455,0.020654,0.069813,['simple_imputation']
