,Date,Height,U-component,V-component,gap,gap_center
0,2003-01-01,0.6657000000000001,-0.0757,0.0409,0.6657000000000001,0.6657000000000001
1,2003-01-02,0.6659,-0.0756,0.0383,0.6659,0.6659
2,2003-01-03,0.6682,-0.0713,0.0333,0.6682,0.6682
3,2003-01-04,0.6689,-0.0631,0.0448,0.6689,0.6689
4,2003-01-05,0.6687000000000001,-0.0505,0.0501,0.6687000000000001,0.6687000000000001
5,2003-01-06,0.6716000000000001,-0.0418,0.0345,0.6716000000000001,0.6716000000000001
6,2003-01-07,0.6729999999999999,-0.0412,0.0277,0.6729999999999999,0.6729999999999999
7,2003-01-08,0.6733,-0.0273,0.022,0.6733,0.6733
8,2003-01-09,0.6755,-0.0256,0.0128,0.6755,0.6755
9,2003-01-10,0.6773,-0.0157,0.0179,0.6773,0.6773
10,2003-01-11,0.6808000000000001,-0.0124,0.0215,0.6808000000000001,0.6808000000000001
11,2003-01-12,0.6823,0.0015,0.0244,0.6823,0.6823
12,2003-01-13,0.6854,0.0007,0.0342,0.6854,0.6854
13,2003-01-14,0.6851,-0.0059,0.0268,0.6851,0.6851
14,2003-01-15,0.6872,0.0086,0.0291,0.6872,0.6872
15,2003-01-16,0.6912,0.0003,0.0349,0.6912,0.6912
16,2003-01-17,0.6907,-0.0059,0.0296,0.6907,0.6907
17,2003-01-18,0.6907,-0.0126,0.029,0.6907,0.6907
18,2003-01-19,0.6937,-0.0142,0.0354,0.6937,0.6937
19,2003-01-20,0.6954,-0.0303,0.0342,0.6954,0.6954
20,2003-01-21,0.6979000000000001,-0.0462,0.0393,0.6979000000000001,0.6979000000000001
21,2003-01-22,0.6978000000000001,-0.0481,0.0207,0.6978000000000001,0.6978000000000001
22,2003-01-23,0.7000000000000001,-0.0609,0.0294,0.7000000000000001,0.7000000000000001
23,2003-01-24,0.7019000000000001,-0.0769,0.031,0.7019000000000001,0.7019000000000001
24,2003-01-25,0.7017,-0.0707,0.0286,0.7017,0.7017
25,2003-01-26,0.7052,-0.0836,0.0374,0.7052,0.7052
26,2003-01-27,0.7057,-0.0782,0.0334,0.7057,0.7057
27,2003-01-28,0.7078,-0.0935,0.0353,0.7078,0.7078
28,2003-01-29,0.7115,-0.1116,0.037,0.7115,0.7115
29,2003-01-30,0.7127,-0.1072,0.0321,0.7127,0.7127
30,2003-01-31,0.7152000000000001,-0.0987,0.0376,0.7152000000000001,0.7152000000000001
31,2003-02-01,0.7196,-0.0934,0.0413,0.7196,0.7196
32,2003-02-02,0.7231000000000001,-0.0871,0.0395,0.7231000000000001,0.7231000000000001
33,2003-02-03,0.7258,-0.083,0.043,0.7258,0.7258
34,2003-02-04,0.73,-0.0834,0.0431,0.73,0.73
35,2003-02-05,0.7324,-0.0696,0.049,0.7324,0.7324
36,2003-02-06,0.7369,-0.0633,0.0531,0.7369,0.7369
37,2003-02-07,0.7393000000000001,-0.0527,0.0506,0.7393000000000001,0.7393000000000001
38,2003-02-08,0.7453000000000001,-0.0715,0.0625,0.7453000000000001,0.7453000000000001
39,2003-02-09,0.7499,-0.0615,0.0627,0.7499,0.7499
40,2003-02-10,0.755,-0.0522,0.0653,0.755,0.755
41,2003-02-11,0.7588,-0.0502,0.0828,0.7588,0.7588
42,2003-02-12,0.7621,-0.0372,0.0867,0.7621,0.7621
43,2003-02-13,0.7651,-0.0403,0.0873,0.7651,0.7651
44,2003-02-14,0.7637,-0.0192,0.0965,0.7637,0.7637
45,2003-02-15,0.7686000000000001,-0.0101,0.1127,0.7686000000000001,0.7686000000000001
46,2003-02-16,0.7716000000000001,-0.0056,0.1162,0.7716000000000001,0.7716000000000001
47,2003-02-17,0.7746000000000001,-0.0166,0.114,0.7746000000000001,0.7746000000000001
48,2003-02-18,0.7774000000000001,-0.0058,0.1204,0.7774000000000001,0.7774000000000001
49,2003-02-19,0.7807000000000001,-0.0198,0.1249,0.7807000000000001,0.7807000000000001
50,2003-02-20,0.7853,-0.0253,0.1297,0.7853,0.7853
51,2003-02-21,0.7888000000000001,-0.0419,0.1316,0.7888000000000001,0.7888000000000001
52,2003-02-22,0.79,-0.0744,0.1209,0.79,0.79
53,2003-02-23,0.7883,-0.1099,0.1087,0.7883,0.7883
54,2003-02-24,0.7914,-0.1618,0.099,0.7914,0.7914
55,2003-02-25,0.7933,-0.1943,0.092,0.7933,0.7933
56,2003-02-26,0.7915000000000001,-0.2268,0.0632,0.7915000000000001,0.7915000000000001
57,2003-02-27,0.7898000000000001,-0.2617,0.0481,0.7898000000000001,0.7898000000000001
58,2003-02-28,0.7896000000000001,-0.2879,0.0417,0.7896000000000001,0.7896000000000001
59,2003-03-01,0.7903,-0.3165,0.0353,0.7903,0.7903
60,2003-03-02,0.7897000000000001,-0.3423,0.0321,0.7897000000000001,0.7897000000000001
61,2003-03-03,0.7881,-0.3531,0.0204,0.7881,0.7881
62,2003-03-04,0.7869,-0.3758,0.0084,0.7869,0.7869
63,2003-03-05,0.7842,-0.3676,0.0187,0.7842,0.7842
64,2003-03-06,0.7859,-0.3595,0.0103,0.7859,0.7859
65,2003-03-07,0.7859999999999999,-0.3518,0.0091,0.7859999999999999,0.7859999999999999
66,2003-03-08,0.7843,-0.3341,0.0097,0.7843,0.7843
67,2003-03-09,0.7824,-0.3229999999999999,0.0028,0.7824,0.7824
68,2003-03-10,0.7844,-0.3055,-0.0014,0.7844,0.7844
69,2003-03-11,0.7831,-0.2854,-0.0064,0.7831,0.7831
70,2003-03-12,0.7822,-0.2684,0.0016,0.7822,0.7822
71,2003-03-13,0.7812,-0.2458,0.0058,0.7812,0.7812
72,2003-03-14,0.782,-0.2226,0.013,0.782,0.782
73,2003-03-15,0.7834,-0.2129,0.0149,0.7834,0.7834
74,2003-03-16,0.7834,-0.1935,0.012,0.7834,0.7834
75,2003-03-17,0.7841,-0.1766,0.0105,0.7841,0.7841
76,2003-03-18,0.7821,-0.1745,0.0055,0.7821,0.7821
77,2003-03-19,0.7797000000000001,-0.1527,0.0005,0.7797000000000001,0.7797000000000001
78,2003-03-20,0.7766000000000001,-0.1489,-0.0008,0.7766000000000001,0.7766000000000001
79,2003-03-21,0.7787000000000001,-0.1581,0.0048,0.7787000000000001,0.7787000000000001
80,2003-03-22,0.7767000000000001,-0.1756,0.0096,0.7767000000000001,0.7767000000000001
81,2003-03-23,0.7774000000000001,-0.1759,0.0252,0.7774000000000001,0.7774000000000001
82,2003-03-24,0.7786000000000001,-0.1835,0.0378,0.7786000000000001,0.7786000000000001
83,2003-03-25,0.7777000000000001,-0.1955,0.0495,0.7777000000000001,0.7777000000000001
84,2003-03-26,0.7753,-0.2059,0.069,0.7753,0.7753
85,2003-03-27,0.777,-0.2139,0.0817,0.777,0.777
86,2003-03-28,0.7778,-0.2276,0.0891,0.7778,0.7778
87,2003-03-29,0.7783,-0.2368,0.113,0.7783,0.7783
88,2003-03-30,0.7803,-0.2322,0.1303,0.7803,0.7803
89,2003-03-31,0.785,-0.2417,0.1677,0.785,0.785
90,2003-04-01,0.7901,-0.2581,0.1918,0.7901,0.7901
91,2003-04-02,0.7941,-0.2772,0.1964,0.7941,0.7941
