"Date","Height","series_id","gap","gap_center"
"2016-10-01 00:00:00",1195,"traffic_volume",1195,1195
"2016-10-01 01:00:00",776,"traffic_volume",776,776
"2016-10-01 02:00:00",666,"traffic_volume",666,666
"2016-10-01 03:00:00",448,"traffic_volume",448,448
"2016-10-01 04:00:00",512,"traffic_volume",512,512
"2016-10-01 05:00:00",958,"traffic_volume",958,958
"2016-10-01 06:00:00",1655,"traffic_volume",1655,1655
"2016-10-01 07:00:00",2535,"traffic_volume",2535,2535
"2016-10-01 08:00:00",3462,"traffic_volume",3462,3462
"2016-10-01 09:00:00",3758,"traffic_volume",3758,3758
"2016-10-01 10:00:00",4089,"traffic_volume",4089,4089
"2016-10-01 11:00:00",4432,"traffic_volume",4432,4432
"2016-10-01 12:00:00",4557,"traffic_volume",4557,4557
"2016-10-01 13:00:00",4421,"traffic_volume",4421,4421
"2016-10-01 14:00:00",4289,"traffic_volume",4289,4289
"2016-10-01 15:00:00",4361,"traffic_volume",4361,4361
"2016-10-01 16:00:00",4109,"traffic_volume",4109,4109
"2016-10-01 17:00:00",3927,"traffic_volume",3927,3927
"2016-10-01 18:00:00",3800,"traffic_volume",3800,3800
"2016-10-01 19:00:00",3434,"traffic_volume",3434,3434
"2016-10-01 20:00:00",2937,"traffic_volume",2937,2937
"2016-10-01 21:00:00",2787,"traffic_volume",2787,2787
"2016-10-01 22:00:00",2981,"traffic_volume",2981,2981
"2016-10-01 23:00:00",2165,"traffic_volume",2165,2165
"2016-10-02 00:00:00",1794,"traffic_volume",1794,1794
"2016-10-02 01:00:00",776,"traffic_volume",776,776
"2016-10-02 02:00:00",666,"traffic_volume",666,666
"2016-10-02 03:00:00",413,"traffic_volume",413,413
"2016-10-02 04:00:00",380,"traffic_volume",380,380
"2016-10-02 05:00:00",550,"traffic_volume",550,550
"2016-10-02 06:00:00",910,"traffic_volume",910,910
"2016-10-02 07:00:00",1324,"traffic_volume",1324,1324
"2016-10-02 08:00:00",2008,"traffic_volume",2008,2008
"2016-10-02 09:00:00",2734,"traffic_volume",2734,2734
