File,Metric,gap,gap_center
Synthetic.csv,MAE,0.307289841163659,1.1259970651900182
Synthetic.csv,RMSE,0.4456193587915339,1.3428653803594777
Synthetic.csv,MedAE,0.14309706323116966,1.2773924306161224
Synthetic.csv,MAPE,18.1407453283764,64.69786631198984
Synthetic.csv,Min gap value,1.284883950501781,1.284883950501781
Synthetic.csv,Max gap value,2.509816958568578,2.5065127599756964
Sea_hour.csv,MAE,2.455178621666114,8.983374396546996
Sea_hour.csv,RMSE,2.9647224459197687,11.037922343244913
Sea_hour.csv,MedAE,2.3607785051724504,8.077311394443415
Sea_hour.csv,MAPE,294.1499184608981,992.7232154170907
Sea_hour.csv,Min gap value,0.36,0.5
Sea_hour.csv,Max gap value,1.51,1.4
Sea_10_240.csv,MAE,100.66486529100528,100.63911066666668
Sea_10_240.csv,RMSE,100.66491601076325,100.63915185227414
Sea_10_240.csv,MedAE,100.66395,100.64185
Sea_10_240.csv,MAPE,15505.87390020117,16081.148730609599
Sea_10_240.csv,Min gap value,0.4046,0.4046
Sea_10_240.csv,Max gap value,0.9887,0.9831
Temperature.csv,MAE,29.230211919238204,91.17293631225101
Temperature.csv,RMSE,37.18658567614782,101.01875520224526
Temperature.csv,MedAE,24.611891494077497,104.24033217601102
Temperature.csv,MAPE,10.71041011771008,33.6536664524384
Temperature.csv,Min gap value,243.39,248.66
Temperature.csv,Max gap value,300.89,289.78
Traffic.csv,MAE,25690.416732596255,42476.27133440186
Traffic.csv,RMSE,35206.26408626075,48117.46094300939
Traffic.csv,MedAE,15527.34883984445,47091.294125243105
Traffic.csv,MAPE,1862.3211133471139,3091.5434651920523
Traffic.csv,Min gap value,216.0,216.0
Traffic.csv,Max gap value,7065.0,7280.0
