Date,Height,gap_1,gap_2,gap_3,gap_4,gap_5,gap_6,gap_7,gap
2015-04-14 12:00:00,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
2015-04-14 13:00:00,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
2015-04-14 14:00:00,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
2015-04-14 15:00:00,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
2015-04-14 16:00:00,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
2015-04-14 17:00:00,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87
2015-04-14 18:00:00,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83
2015-04-14 19:00:00,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78
2015-04-14 20:00:00,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
2015-04-14 21:00:00,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72
2015-04-14 22:00:00,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71
2015-04-14 23:00:00,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
2015-04-15 00:00:00,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78
2015-04-15 01:00:00,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82
2015-04-15 02:00:00,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87
2015-04-15 03:00:00,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
2015-04-15 04:00:00,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91
2015-04-15 05:00:00,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
2015-04-15 06:00:00,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83
2015-04-15 07:00:00,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77
2015-04-15 08:00:00,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69
2015-04-15 09:00:00,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63
2015-04-15 10:00:00,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59
2015-04-15 11:00:00,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57
2015-04-15 12:00:00,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59
2015-04-15 13:00:00,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63
2015-04-15 14:00:00,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68
2015-04-15 15:00:00,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73
2015-04-15 16:00:00,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76
2015-04-15 17:00:00,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77
2015-04-15 18:00:00,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2015-04-15 19:00:00,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
2015-04-15 20:00:00,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65
2015-04-15 21:00:00,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
2015-04-15 22:00:00,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56
2015-04-15 23:00:00,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56
2015-04-16 00:00:00,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58
2015-04-16 01:00:00,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62
2015-04-16 02:00:00,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68
2015-04-16 03:00:00,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2015-04-16 04:00:00,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79
2015-04-16 05:00:00,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81
2015-04-16 06:00:00,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
2015-04-16 07:00:00,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
2015-04-16 08:00:00,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67
2015-04-16 09:00:00,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58
2015-04-16 10:00:00,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51
2015-04-16 11:00:00,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47
2015-04-16 12:00:00,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46
2015-04-16 13:00:00,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48
2015-04-16 14:00:00,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54
2015-04-16 15:00:00,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61
2015-04-16 16:00:00,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68
2015-04-16 17:00:00,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
2015-04-16 18:00:00,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76
2015-04-16 19:00:00,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2015-04-16 20:00:00,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71
2015-04-16 21:00:00,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65
2015-04-16 22:00:00,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59
