,Date,Open,High,Low,Close,Volume,Height,gap,gap_center
0,2015-04-01 16:00:00,40.6,40.76,40.31,40.72,36865322,40.72,40.72,40.72
1,2015-04-02 16:00:00,40.66,40.74,40.12,40.29,37487476,40.29,40.29,40.29
2,2015-04-06 16:00:00,40.34,41.78,40.18,41.55,39223692,41.55,41.55,41.55
3,2015-04-07 16:00:00,41.61,41.91,41.31,41.53,28809375,41.53,41.53,41.53
4,2015-04-08 16:00:00,41.48,41.69,41.04,41.42,24753438,41.42,41.42,41.42
5,2015-04-09 16:00:00,41.25,41.62,41.25,41.48,25723861,41.48,41.48,41.48
6,2015-04-10 16:00:00,41.63,41.95,41.41,41.72,28022002,41.72,41.72,41.72
7,2015-04-13 16:00:00,41.4,42.06,41.39,41.76,30276692,41.76,41.76,41.76
8,2015-04-14 16:00:00,41.8,42.03,41.39,41.65,24244382,41.65,41.65,41.65
9,2015-04-15 16:00:00,41.76,42.46,41.68,42.26,27343581,42.26,42.26,42.26
10,2015-04-16 16:00:00,41.95,42.34,41.82,42.16,22509652,42.16,42.16,42.16
11,2015-04-17 16:00:00,41.67,41.74,41.16,41.62,42387608,41.62,41.62,41.62
12,2015-04-20 16:00:00,41.73,43.17,41.68,42.91,46057733,42.91,42.91,42.91
13,2015-04-21 16:00:00,43.0,43.15,42.53,42.64,26013844,42.64,42.64,42.64
14,2015-04-22 16:00:00,42.67,43.13,42.55,42.99,25064273,42.99,42.99,42.99
15,2015-04-23 16:00:00,42.85,43.61,42.8,43.34,46309530,43.34,43.34,43.34
16,2015-04-24 16:00:00,45.66,48.14,45.65,47.87,130933665,47.87,47.87,47.87
17,2015-04-27 16:00:00,47.23,48.13,47.22,48.03,59248172,48.03,48.03,48.03
18,2015-04-28 16:00:00,47.78,49.21,47.7,49.16,60730778,49.16,49.16,49.16
19,2015-04-29 16:00:00,48.72,49.31,48.5,49.06,47804562,49.06,49.06,49.06
20,2015-04-30 16:00:00,48.7,49.54,48.6,48.64,64725457,48.64,48.64,48.64
21,2015-05-01 16:00:00,48.58,48.88,48.4,48.66,38937336,48.66,48.66,48.66
22,2015-05-04 16:00:00,48.37,48.87,48.18,48.24,34039485,48.24,48.24,48.24
23,2015-05-05 16:00:00,47.82,48.16,47.31,47.6,50369191,47.6,47.6,47.6
24,2015-05-06 16:00:00,47.57,47.77,46.02,46.28,52433020,46.28,46.28,46.28
25,2015-05-07 16:00:00,46.27,47.09,46.16,46.7,32971654,46.7,46.7,46.7
26,2015-05-08 16:00:00,47.55,47.98,47.52,47.75,35364911,47.75,47.75,47.75
27,2015-05-11 16:00:00,47.55,47.91,47.37,47.37,24609416,47.37,47.37,47.37
28,2015-05-12 16:00:00,46.85,47.68,46.42,47.35,29928264,47.35,47.35,47.35
29,2015-05-13 16:00:00,48.19,48.32,47.57,47.63,34184613,47.63,47.63,47.63
30,2015-05-14 16:00:00,48.03,48.82,48.03,48.72,32980892,48.72,48.72,48.72
31,2015-05-15 16:00:00,48.87,48.91,48.05,48.3,28642694,48.3,48.3,48.3
32,2015-05-18 16:00:00,47.98,48.22,47.61,48.01,24136502,48.01,48.01,48.01
33,2015-05-19 16:00:00,47.62,47.81,47.18,47.58,28574813,47.58,47.58,47.58
34,2015-05-20 16:00:00,47.39,47.93,47.27,47.58,25047919,47.58,47.58,47.58
35,2015-05-21 16:00:00,47.28,47.6,47.01,47.42,22410698,47.42,47.42,47.42
36,2015-05-22 16:00:00,47.3,47.35,46.82,46.9,25720583,46.9,46.9,46.9
37,2015-05-26 16:00:00,46.83,46.88,46.19,46.59,29581860,46.59,46.59,46.59
38,2015-05-27 16:00:00,46.82,47.77,46.62,47.61,27335639,47.61,47.61,47.61
39,2015-05-28 16:00:00,47.5,48.02,47.39,47.45,19283666,47.45,47.45,47.45
40,2015-05-29 16:00:00,47.43,47.57,46.59,46.86,36519594,46.86,46.86,46.86
41,2015-06-01 16:00:00,47.06,47.77,46.62,47.23,28837332,47.23,47.23,47.23
42,2015-06-02 16:00:00,46.95,47.35,46.62,46.92,21498326,46.92,46.92,46.92
43,2015-06-03 16:00:00,47.37,47.74,46.82,46.85,28002154,46.85,46.85,46.85
44,2015-06-04 16:00:00,46.79,47.16,46.2,46.36,27745512,46.36,46.36,46.36
45,2015-06-05 16:00:00,46.31,46.52,45.84,46.14,25438086,46.14,46.14,46.14
46,2015-06-08 16:00:00,46.3,46.43,45.67,45.73,22121634,45.73,45.73,45.73
47,2015-06-09 16:00:00,45.76,45.94,45.46,45.65,24406057,45.65,45.65,45.65
48,2015-06-10 16:00:00,45.79,46.83,45.69,46.61,28417405,46.61,46.61,46.61
49,2015-06-11 16:00:00,46.66,46.92,46.13,46.44,27347758,46.44,46.44,46.44
50,2015-06-12 16:00:00,46.2,46.47,45.9,45.97,23930972,45.97,45.97,45.97
51,2015-06-15 16:00:00,45.45,45.65,45.02,45.48,33254517,45.48,45.48,45.48
52,2015-06-16 16:00:00,45.35,46.24,45.3,45.83,27070306,45.83,45.83,45.83
53,2015-06-17 16:00:00,45.73,46.07,45.36,45.97,28704061,45.97,45.97,45.97
54,2015-06-18 16:00:00,46.22,46.8,46.17,46.72,32658343,46.72,46.72,46.72
55,2015-06-19 16:00:00,46.79,46.83,45.99,46.1,63837036,46.1,46.1,46.1
56,2015-06-22 16:00:00,46.33,46.72,46.16,46.23,20318055,46.23,46.23,46.23
57,2015-06-23 16:00:00,46.13,46.28,45.62,45.91,25896473,45.91,45.91,45.91
58,2015-06-24 16:00:00,45.68,46.25,45.55,45.64,34890901,45.64,45.64,45.64
59,2015-06-25 16:00:00,46.03,46.06,45.5,45.65,20615995,45.65,45.65,45.65
60,2015-06-26 16:00:00,45.65,46.28,45.03,45.26,49835287,45.26,45.26,45.26
61,2015-06-29 16:00:00,45.04,45.23,44.36,44.37,34081746,44.37,44.37,44.37
62,2015-06-30 16:00:00,44.71,44.72,43.94,44.15,35945384,44.15,44.15,44.15
63,2015-07-01 16:00:00,44.49,45.23,44.1,44.45,28343907,44.45,44.45,44.45
64,2015-07-02 16:00:00,44.48,44.75,44.06,44.4,21752013,44.4,44.4,44.4
65,2015-07-06 16:00:00,43.96,44.48,43.95,44.39,23033961,44.39,44.39,44.39
66,2015-07-07 16:00:00,44.34,44.49,43.32,44.3,36435827,44.3,44.3,44.3
67,2015-07-08 16:00:00,44.44,44.9,44.03,44.24,39785901,44.24,44.24,44.24
68,2015-07-09 16:00:00,44.75,45.22,44.5,44.52,32424672,44.52,44.52,44.52
69,2015-07-10 16:00:00,45.01,45.14,44.57,44.61,25465757,44.61,44.61,44.61
70,2015-07-13 16:00:00,44.98,45.62,44.95,45.54,28178329,45.54,45.54,45.54
71,2015-07-14 16:00:00,45.45,45.96,45.31,45.62,22880260,45.62,45.62,45.62
72,2015-07-15 16:00:00,45.68,45.89,45.43,45.76,26629615,45.76,45.76,45.76
73,2015-07-16 16:00:00,46.01,46.69,45.97,46.66,26271673,46.66,46.66,46.66
74,2015-07-17 16:00:00,46.55,46.78,46.26,46.62,29467107,46.62,46.62,46.62
75,2015-07-20 16:00:00,46.65,47.13,46.44,46.92,30631905,46.92,46.92,46.92
76,2015-07-21 16:00:00,46.78,47.33,46.48,47.28,42781899,47.28,47.28,47.28
77,2015-07-22 16:00:00,45.44,46.93,45.2,45.54,59152427,45.54,45.54,45.54
78,2015-07-23 16:00:00,45.27,46.23,45.1,46.11,33934010,46.11,46.11,46.11
79,2015-07-24 16:00:00,45.91,46.32,45.8,45.94,32333244,45.94,45.94,45.94
80,2015-07-27 16:00:00,45.94,46.01,45.25,45.35,39701420,45.35,45.35,45.35
81,2015-07-28 16:00:00,45.58,45.64,44.79,45.34,34328948,45.34,45.34,45.34
82,2015-07-29 16:00:00,45.4,46.78,45.26,46.29,40945864,46.29,46.29,46.29
83,2015-07-30 16:00:00,46.26,47.4,45.93,46.88,39777883,46.88,46.88,46.88
84,2015-07-31 16:00:00,47.29,47.37,46.5,46.7,31201480,46.7,46.7,46.7
85,2015-08-03 16:00:00,46.98,47.0,46.45,46.81,24125886,46.81,46.81,46.81
86,2015-08-04 16:00:00,46.75,47.71,46.68,47.54,33403916,47.54,47.54,47.54
87,2015-08-05 16:00:00,47.98,48.41,47.54,47.58,26959655,47.58,47.58,47.58
88,2015-08-06 16:00:00,47.71,47.77,46.33,46.62,27368000,46.62,46.62,46.62
89,2015-08-07 16:00:00,46.39,46.78,46.26,46.74,19163038,46.74,46.74,46.74
90,2015-08-10 16:00:00,46.95,47.49,46.84,47.33,23079870,47.33,47.33,47.33
91,2015-08-11 16:00:00,46.82,46.94,45.9,46.41,29237402,46.41,46.41,46.41
92,2015-08-12 16:00:00,46.19,46.9,45.71,46.74,30198532,46.74,46.74,46.74
93,2015-08-13 16:00:00,47.06,47.1,46.49,46.73,22627241,46.73,46.73,46.73
94,2015-08-14 16:00:00,46.53,47.1,46.52,47.0,21473402,47.0,47.0,47.0
95,2015-08-17 16:00:00,46.81,47.45,46.57,47.32,21099746,47.32,47.32,47.32
96,2015-08-18 16:00:00,46.84,47.43,46.7,47.27,23574104,47.27,47.27,47.27
97,2015-08-19 16:00:00,46.78,47.08,46.3,46.61,31485511,46.61,46.61,46.61
98,2015-08-20 16:00:00,46.07,46.47,45.66,45.66,36238227,45.66,45.66,45.66
99,2015-08-21 16:00:00,45.3,45.48,43.07,43.07,70053084,43.07,43.07,43.07
100,2015-08-24 16:00:00,40.45,43.31,39.72,41.68,88753660,41.68,41.68,41.68
101,2015-08-25 16:00:00,42.57,43.24,40.39,40.47,70616597,40.47,40.47,40.47
102,2015-08-26 16:00:00,42.01,42.84,41.06,42.71,63407996,42.71,42.71,42.71
103,2015-08-27 16:00:00,43.23,43.95,42.93,43.9,50943211,43.9,43.9,43.9
104,2015-08-28 16:00:00,43.4,44.15,43.39,43.93,28246725,43.93,43.93,43.93
105,2015-08-31 16:00:00,43.56,43.93,43.1,43.52,34441662,43.52,43.52,43.52
106,2015-09-01 16:00:00,42.17,42.59,41.66,41.82,49688896,41.82,41.82,41.82
107,2015-09-02 16:00:00,42.36,43.38,41.88,43.36,37671518,43.36,43.36,43.36
108,2015-09-03 16:00:00,43.41,43.98,43.28,43.5,28285205,43.5,43.5,43.5
109,2015-09-04 16:00:00,42.81,43.04,42.2,42.61,37138775,42.61,42.61,42.61
110,2015-09-08 16:00:00,43.3,44.0,43.2,43.89,32469766,43.89,43.89,43.89
111,2015-09-09 16:00:00,44.21,44.4,42.91,43.07,33469485,43.07,43.07,43.07
112,2015-09-10 16:00:00,43.12,43.79,42.75,43.29,31366630,43.29,43.29,43.29
113,2015-09-11 16:00:00,43.14,43.59,42.94,43.48,27132527,43.48,43.48,43.48
114,2015-09-14 16:00:00,43.43,43.44,42.86,43.04,23656048,43.04,43.04,43.04
115,2015-09-15 16:00:00,43.19,44.29,43.08,43.98,28882206,43.98,43.98,43.98
116,2015-09-16 16:00:00,43.97,44.38,43.84,44.3,23372162,44.3,44.3,44.3
117,2015-09-17 16:00:00,44.29,45.0,44.08,44.25,32768161,44.25,44.25,44.25
118,2015-09-18 16:00:00,43.5,43.99,43.33,43.48,63143684,43.48,43.48,43.48
119,2015-09-21 16:00:00,43.62,44.47,43.6,44.11,26177224,44.11,44.11,44.11
120,2015-09-22 16:00:00,43.38,44.05,43.31,43.9,28085903,43.9,43.9,43.9
121,2015-09-23 16:00:00,43.93,44.17,43.51,43.87,17145238,43.87,43.87,43.87
122,2015-09-24 16:00:00,43.45,44.13,43.27,43.91,27905607,43.91,43.91,43.91
123,2015-09-25 16:00:00,44.48,44.73,43.76,43.94,29384601,43.94,43.94,43.94
124,2015-09-28 16:00:00,43.83,44.09,43.21,43.29,27613785,43.29,43.29,43.29
125,2015-09-29 16:00:00,43.37,43.57,43.05,43.44,32763557,43.44,43.44,43.44
126,2015-09-30 16:00:00,43.88,44.3,43.66,44.26,34958880,44.26,44.26,44.26
127,2015-10-01 16:00:00,44.75,44.75,43.75,44.61,28657859,44.61,44.61,44.61
128,2015-10-02 16:00:00,44.27,45.57,43.92,45.57,41839035,45.57,45.57,45.57
129,2015-10-05 16:00:00,45.75,46.89,45.7,46.63,34369286,46.63,46.63,46.63
130,2015-10-06 16:00:00,46.33,47.18,46.22,46.75,27510808,46.75,46.75,46.75
131,2015-10-07 16:00:00,47.1,47.35,45.95,46.8,27711492,46.8,46.8,46.8
132,2015-10-08 16:00:00,46.56,47.52,46.5,47.45,33772709,47.45,47.45,47.45
133,2015-10-09 16:00:00,47.45,47.54,46.92,47.11,28600632,47.11,47.11,47.11
134,2015-10-12 16:00:00,46.98,47.07,46.5,47.0,19769066,47.0,47.0,47.0
