Date,Open,High,Low,Close,Height,Volume,gap,gap_center
2005-01-01,43.099998,46.099998,41.25,45.43,45.43,483296,45.43,45.43
2005-01-08,45.599998,48.650002,44.950001,48.380001,48.380001,528432,48.380001,48.380001
2005-01-15,48.599998,49.5,46.400002,48.529999,48.529999,379833,48.529999,48.529999
2005-01-22,48.880001,49.75,46.700001,47.18,47.18,469107,47.18,47.18
2005-01-29,46.68,48.25,45.75,46.48,46.48,422216,46.48,46.48
2005-02-05,46.32,47.48,44.599998,47.16,47.16,534432,47.16,47.16
2005-02-12,47.049999,48.650002,46.599998,48.349998,48.349998,348602,48.349998,48.349998
2005-02-19,48.369999,52.049999,48.369999,51.490002,51.490002,411083,51.490002,51.490002
2005-02-26,51.799999,55.200001,50.650002,53.779999,53.779999,507548,53.779999,53.779999
2005-03-05,53.560001,55.650002,52.5,54.43,54.43,539680,54.43,54.43
2005-03-12,54.450001,57.599998,52.25,56.720001,56.720001,399603,56.720001,56.720001
2005-03-19,56.68,57.580002,53.099998,54.84,54.84,442081,54.84,54.84
2005-03-26,54.439999,57.700001,52.5,57.27,57.27,482841,57.27,57.27
2005-04-02,57.150002,58.279999,52.700001,53.32,53.32,522295,53.32,53.32
2005-04-09,53.259998,54.049999,49.75,50.490002,50.490002,572731,50.490002,50.490002
2005-04-16,50.43,55.900002,49.66,55.389999,55.389999,464296,55.389999,55.389999
2005-04-23,55.150002,56.0,49.5,49.720001,49.720001,524379,49.720001,49.720001
2005-04-30,49.279999,52.23,48.799999,50.959999,50.959999,569860,50.959999,50.959999
2005-05-07,51.279999,53.099998,47.75,48.669998,48.669998,558245,48.669998,48.669998
2005-05-14,48.669998,49.349998,46.200001,46.799999,46.799999,437250,46.799999,46.799999
2005-05-21,48.25,52.0,48.049999,51.849998,51.849998,473239,51.849998,51.849998
2005-05-28,51.98,55.400002,50.900002,55.029999,55.029999,424281,55.029999,55.029999
2005-06-04,55.200001,55.549999,52.220001,53.540001,53.540001,532188,53.540001,53.540001
2005-06-11,53.43,58.599998,53.049999,58.470001,58.470001,451885,58.470001,58.470001
2005-06-18,58.509998,60.25,57.849998,59.84,59.84,456312,59.84,59.84
2005-06-25,59.900002,60.950001,55.900002,58.75,58.75,627507,58.75,58.75
2005-07-02,58.889999,62.099998,57.200001,59.630001,59.630001,449606,59.630001,59.630001
2005-07-09,59.400002,61.299999,57.25,58.09,58.09,587901,58.09,58.09
2005-07-16,58.0,58.98,56.099998,58.650002,58.650002,497194,58.650002,58.650002
2005-07-23,58.75,61.049999,57.650002,60.57,60.57,442987,60.57,60.57
2005-07-30,60.509998,62.5,60.509998,62.310001,62.310001,484311,62.310001,62.310001
2005-08-06,62.310001,67.099998,62.209999,66.860001,66.860001,615953,66.860001,66.860001
2005-08-13,66.849998,67.0,62.25,65.349998,65.349998,462291,65.349998,65.349998
2005-08-20,65.400002,68.0,64.650002,66.129997,66.129997,453272,66.129997,66.129997
2005-08-27,68.599998,70.849998,66.300003,67.57,67.57,678358,67.57,67.57
2005-09-03,66.599998,67.559998,63.099998,64.08000200000001,64.08000200000001,457288,64.08000200000001,64.08000200000001
2005-09-10,64.150002,65.660004,62.549999,63.0,63.0,537308,63.0,63.0
