backend,category,operation,size_label,rows,cols,mean_s,median_s,min_s,max_s,file_size_bytes
cpu,hasher,hash_raw_features,small,1000,32,9.339079260826111e-05,9.232386946678162e-05,8.970964699983597e-05,9.927432984113693e-05,
cpu,hasher,hash_tensor_data,small,1000,32,0.00020963232964277267,0.000211973674595356,0.00020014028996229172,0.0002145683392882347,
cpu,hasher,hash_raw_features,medium,10000,128,0.00022657439112663269,0.00022660847753286362,0.0002237195149064064,0.00023117754608392715,
cpu,hasher,hash_tensor_data,medium,10000,128,0.0005104564130306244,0.0005114860832691193,0.0004515480250120163,0.0005694553256034851,
cpu,hasher,hash_raw_features,large,100000,128,0.0002243170514702797,0.00022249016910791397,0.00021821539849042892,0.00023436173796653748,
cpu,hasher,hash_tensor_data,large,100000,128,0.001086975447833538,0.0011201649904251099,0.0009611742570996284,0.0012001367285847664,
cpu,hasher,hash_raw_features,xlarge,1000000,128,0.00021693315356969834,0.0002214564010500908,0.00018788687884807587,0.00023467931896448135,
cpu,hasher,hash_tensor_data,xlarge,1000000,128,0.006628561019897461,0.006592931225895882,0.0065533313900232315,0.006812574341893196,
cpu,saver,save_tensor_data,small,1000,32,0.0008508751168847084,0.0008497936651110649,0.0008118301630020142,0.0008772658184170723,134908
cpu,saver,save_tensor_data,medium,10000,128,0.004219123721122741,0.004216941073536873,0.004120960831642151,0.004303816705942154,5163132
cpu,saver,save_tensor_data,large,100000,128,0.045524603500962255,0.04566000122576952,0.04438422713428736,0.04692765511572361,51603132
cpu,saver,save_tensor_data,xlarge,1000000,128,0.46179402284324167,0.4601871417835355,0.45979960914701223,0.4673408819362521,516003132
cpu,loader,load_tensor_data,small,1000,32,0.0006892845034599304,0.0006662895902991295,0.0006517544388771057,0.0007867822423577309,134908
cpu,loader,load_tensor_data,medium,10000,128,0.0024209603667259215,0.001734570600092411,0.0016050823032855988,0.0036771027371287346,5163132
cpu,loader,load_tensor_data,large,100000,128,0.02735305279493332,0.027607154101133347,0.026215901598334312,0.027857186272740364,51603132
cpu,loader,load_tensor_data,xlarge,1000000,128,0.25692884121090176,0.2572514219209552,0.25521872844547033,0.25823204033076763,516003132
cpu,cacher,cache_tensor_data,small,1000,32,0.009254988096654416,0.004504662938416004,0.004450570791959763,0.02830018848180771,
cpu,cacher,load_tensor_data,small,1000,32,0.0011625057086348534,0.0011643832549452782,0.0011504925787448883,0.0011702077463269234,
cpu,cacher,cache_tensor_data,medium,10000,128,0.008920792117714882,0.008968609385192394,0.00877824891358614,0.00905805453658104,
cpu,cacher,load_tensor_data,medium,10000,128,0.002975357882678509,0.0022719837725162506,0.0020985864102840424,0.004259158857166767,
cpu,cacher,cache_tensor_data,large,100000,128,0.050833463110029696,0.0501445671543479,0.04975491389632225,0.05224835965782404,
cpu,cacher,load_tensor_data,large,100000,128,0.028308173827826976,0.02878117747604847,0.0257980115711689,0.02954841870814562,
cpu,cacher,cache_tensor_data,xlarge,1000000,128,0.4678617430850863,0.4670729208737612,0.466771611943841,0.4711625808849931,
cpu,cacher,load_tensor_data,xlarge,1000000,128,0.2582771576941013,0.25868849735707045,0.25453301426023245,0.26113939099013805,
cuda:2,hasher,hash_raw_features,small,1000,32,0.00037939175963401793,0.00037579238414764404,0.0003626607358455658,0.00040665268898010254,
cuda:2,hasher,hash_tensor_data,small,1000,32,0.00034019853919744494,0.00033737532794475555,0.0003085462376475334,0.00039213988929986954,
cuda:2,hasher,hash_raw_features,medium,10000,128,0.0004458818584680557,0.00044748280197381973,0.00043815746903419495,0.00045310333371162415,
cuda:2,hasher,hash_tensor_data,medium,10000,128,0.0005240621045231819,0.000518355518579483,0.0005092313513159752,0.0005479250103235245,
cuda:2,hasher,hash_raw_features,large,100000,128,0.0004457045346498489,0.00044167228043079376,0.00043239817023277283,0.0004704706370830536,
cuda:2,hasher,hash_tensor_data,large,100000,128,0.001202896796166897,0.0011742813512682915,0.0011663446202874184,0.0013139909133315086,
cuda:2,hasher,hash_raw_features,xlarge,1000000,128,0.0004516586661338806,0.0004516215994954109,0.0004359399899840355,0.00046766921877861023,
cuda:2,hasher,hash_tensor_data,xlarge,1000000,128,0.008711496181786061,0.007855206727981567,0.007436529733240604,0.011332734487950802,
cuda:2,saver,save_tensor_data,small,1000,32,0.0009779974818229676,0.0009686639532446861,0.0009602624922990799,0.0010085618123412132,134908
cuda:2,saver,save_tensor_data,medium,10000,128,0.007627684250473976,0.008154071867465973,0.005707897245883942,0.008216898888349533,5163132
cuda:2,saver,save_tensor_data,large,100000,128,0.07529627066105604,0.07523224875330925,0.0739744957536459,0.07713570352643728,51603132
cuda:2,saver,save_tensor_data,xlarge,1000000,128,0.7535756403580308,0.7525499016046524,0.7485793652012944,0.7619943479076028,516003132
cuda:2,loader,load_tensor_data,small,1000,32,0.0009166600182652473,0.0008916947990655899,0.0008778264746069908,0.0010297410190105438,134908
cuda:2,loader,load_tensor_data,medium,10000,128,0.002776704914867878,0.002767789177596569,0.0027452362701296806,0.0028125066310167313,5163132
cuda:2,loader,load_tensor_data,large,100000,128,0.03659764491021633,0.03633967787027359,0.036201540380716324,0.03722398728132248,51603132
cuda:2,loader,load_tensor_data,xlarge,1000000,128,0.3816178239881992,0.3808017233386636,0.3788937162607908,0.38657846860587597,516003132
cuda:2,cacher,cache_tensor_data,small,1000,32,0.0051231998950243,0.005041308701038361,0.0049454281106591225,0.0053558023646473885,
cuda:2,cacher,load_tensor_data,small,1000,32,0.0016236418858170509,0.0016195960342884064,0.0016035623848438263,0.0016627926379442215,
cuda:2,cacher,cache_tensor_data,medium,10000,128,0.01268351823091507,0.012780047953128815,0.011446034535765648,0.013454620726406574,
cuda:2,cacher,load_tensor_data,medium,10000,128,0.004194732382893562,0.003675280138850212,0.003506799228489399,0.00540951918810606,
cuda:2,cacher,cache_tensor_data,large,100000,128,0.08203435782343149,0.08132655918598175,0.08074626512825489,0.08370620850473642,
cuda:2,cacher,load_tensor_data,large,100000,128,0.03815829958766699,0.037979830987751484,0.03773974161595106,0.03864484094083309,
cuda:2,cacher,cache_tensor_data,xlarge,1000000,128,0.7695100378245116,0.7649448271840811,0.7628422705456614,0.7890477748587728,
cuda:2,cacher,load_tensor_data,xlarge,1000000,128,0.3741588810458779,0.37322521209716797,0.37037925608456135,0.3774321461096406,
