backend,case,use_cache,size_label,rows,cols,mean_s,median_s,min_s,max_s
cpu,no_cache,False,small,1000,32,0.004675056599080562,0.004684893414378166,0.004643114283680916,0.0047067152336239815
cpu,cache_write,True,small,1000,32,0.011664305813610554,0.01086657028645277,0.010336939245462418,0.015126440674066544
cpu,cache_read,True,small,1000,32,0.007543374970555306,0.007631177082657814,0.006493544206023216,0.008660927414894104
cpu,no_cache,False,medium,10000,128,0.02867172807455063,0.029506471008062363,0.025069634430110455,0.03193793538957834
cpu,cache_write,True,medium,10000,128,0.05010921414941549,0.05048671178519726,0.04537593387067318,0.053660714998841286
cpu,cache_read,True,medium,10000,128,0.021618968062102794,0.02140679396688938,0.019571078941226006,0.023915713652968407
cpu,no_cache,False,large,100000,128,0.18213660698384046,0.18349653203040361,0.16200074460357428,0.20421121176332235
cpu,cache_write,True,large,100000,128,0.33283597733825443,0.34278554283082485,0.30068856105208397,0.3469246905297041
cpu,cache_read,True,large,100000,128,0.1603195834904909,0.15890732873231173,0.11508265044540167,0.21013569459319115
cpu,no_cache,False,xlarge,1000000,128,0.9579024270176888,0.959750447422266,0.9518184326589108,0.962652463465929
cpu,cache_write,True,xlarge,1000000,128,1.4519156413152814,1.4186658784747124,1.398890160024166,1.559691509231925
cpu,cache_read,True,xlarge,1000000,128,1.1229639071971178,1.0603943383321166,1.0457068914547563,1.3348884396255016
cuda:2,no_cache,False,small,1000,32,0.030467973835766316,0.030512966215610504,0.02992212027311325,0.031102363020181656
cuda:2,cache_write,True,small,1000,32,0.03473160769790411,0.03425366524606943,0.034151896834373474,0.036588977091014385
cuda:2,cache_read,True,small,1000,32,0.026709185913205147,0.026621408760547638,0.026332770474255085,0.02721140719950199
cuda:2,no_cache,False,medium,10000,128,0.09925930295139551,0.0991442808881402,0.09855576511472464,0.1004509124904871
cuda:2,cache_write,True,medium,10000,128,0.17062587346881627,0.17450829036533833,0.11414626706391573,0.20503393281251192
cuda:2,cache_read,True,medium,10000,128,0.2814744360744953,0.28084276616573334,0.25034078676253557,0.30832628812640905
cuda:2,no_cache,False,large,100000,128,0.23193403109908103,0.2655081292614341,0.13873448222875595,0.2925817919895053
cuda:2,cache_write,True,large,100000,128,0.23394852448254824,0.21472886390984058,0.19134574104100466,0.3167421827092767
cuda:2,cache_read,True,large,100000,128,0.13804125972092152,0.1383346114307642,0.136400755494833,0.14037623163312674
cuda:2,no_cache,False,xlarge,1000000,128,0.15804883390665053,0.15650117490440607,0.15606108400970697,0.16303276177495718
cuda:2,cache_write,True,xlarge,1000000,128,0.9242135846987367,0.9072676822543144,0.9024865906685591,0.9954696334898472
cuda:2,cache_read,True,xlarge,1000000,128,0.5613622836768627,0.5197829212993383,0.5181396454572678,0.7157434485852718
