Date,Open,High,Low,Close,Volume,OpenInt
2015-06-03,24.31,24.349,24.31,24.349,208,0
2015-06-04,24.069,24.069,24.069,24.069,1038,0
2015-06-05,23.866,23.953,23.866,23.953,1661,0
2015-06-08,23.953,23.953,23.953,23.953,103,0
2015-06-09,23.732,23.77,23.732,23.77,1038,0
2015-06-10,23.935,23.935,23.935,23.935,103,0
2015-06-11,24.137,24.137,24.098,24.098,831,0
2015-06-12,24.098,24.098,24.098,24.098,103,0
2015-06-15,23.78,23.935,23.78,23.935,3634,0
2015-06-16,23.906,23.935,23.886,23.935,934,0
2015-06-18,24.185,24.242,24.127,24.242,519,0
2015-06-19,24.195,24.271,24.195,24.271,2492,0
2015-06-22,24.453,24.463,24.407,24.444,4465,0
2015-06-23,24.453,24.453,24.453,24.453,2092,0
2015-06-24,24.281,24.291,24.281,24.291,2595,0
2015-06-26,24.176,24.176,24.176,24.176,1964,0
2015-06-29,23.305,23.953,23.305,23.759,5582,0
2015-06-30,23.818,23.818,23.818,23.818,351,0
2015-07-02,23.788,23.788,23.779,23.779,414,0
2015-07-07,23.392,23.479,23.392,23.479,4238,0
2015-07-08,22.995,23.005,22.995,22.995,930,0
2015-07-09,22.995,22.995,22.995,22.995,103,0
2015-07-10,24.137,24.137,24.137,24.137,207,0
2015-07-13,24.137,24.137,24.137,24.137,103,0
2015-07-17,24.011,24.011,24.011,24.011,207,0
2015-07-20,24.011,24.011,24.011,24.011,103,0
2015-07-22,24.011,24.011,24.011,24.011,103,0
2015-07-24,23.43,23.43,23.382,23.382,723,0
2015-07-29,23.382,23.382,23.382,23.382,103,0
2015-08-03,23.634,23.769,23.537,23.712,7234,0
2015-08-04,23.702,23.702,23.702,23.702,1034,0
2015-08-06,23.702,23.702,23.702,23.702,135,0
2015-08-10,23.982,23.982,23.953,23.953,827,0
2015-08-17,23.702,23.702,23.634,23.634,1758,0
2015-08-18,23.934,23.934,23.934,23.934,310,0
2015-08-21,22.715,22.715,22.366,22.396,1344,0
2015-08-24,21.312,23.315,21.312,21.573,4263,0
2015-08-25,22.115,22.115,21.922,21.922,930,0
2015-08-27,22.454,22.464,22.454,22.464,3101,0
2015-08-31,22.308,22.337,22.308,22.337,827,0
2015-09-01,21.67,21.728,21.67,21.728,517,0
2015-09-09,21.728,21.728,21.728,21.728,103,0
2015-09-10,21.728,21.728,21.728,21.728,40,0
2015-09-11,22.075,22.232,22.075,22.232,2067,0
2015-09-15,22.444,22.444,22.444,22.444,103,0
2015-09-16,22.444,22.444,22.444,22.444,207,0
2015-09-18,22.405,22.415,22.405,22.405,1137,0
2015-09-23,21.882,21.882,21.882,21.882,827,0
2015-09-28,21.447,21.447,21.254,21.254,2987,0
2015-09-29,21.274,21.274,21.274,21.274,2274,0
2015-09-30,21.583,21.583,21.583,21.583,930,0
2015-10-01,21.544,21.544,21.544,21.544,2067,0
2015-10-05,22.308,22.328,22.308,22.328,955,0
2015-10-06,22.405,22.405,22.232,22.27,827,0
2015-10-13,22.27,22.27,22.27,22.27,103,0
2015-10-16,22.802,22.802,22.802,22.802,310,0
2015-10-21,22.686,22.686,22.686,22.686,207,0
2015-10-27,22.985,22.995,22.899,22.947,1447,0
2015-10-28,23.122,23.122,23.034,23.122,2170,0
2015-11-02,23.208,23.296,23.208,23.296,1344,0
2015-11-03,23.325,23.325,23.325,23.325,1240,0
2015-11-04,23.218,23.228,23.218,23.228,1554,0
2015-11-06,23.266,23.266,23.208,23.208,207,0
2015-11-09,22.869,23.025,22.782,22.832,5946,0
2015-11-10,22.879,22.947,22.879,22.937,827,0
2015-11-12,22.802,22.841,22.802,22.841,310,0
2015-11-16,22.483,22.483,22.483,22.483,103,0
2015-11-18,23.286,23.286,23.286,23.286,207,0
2015-11-19,23.286,23.286,23.286,23.286,103,0
2015-11-20,23.14,23.14,23.14,23.14,414,0
2015-11-23,23.073,23.073,23.073,23.073,310,0
2015-11-24,22.975,22.975,22.975,22.975,620,0
2015-11-25,23.132,23.218,23.132,23.218,1860,0
2015-11-30,23.112,23.112,23.112,23.112,723,0
2015-12-01,23.218,23.459,23.218,23.45,36537,0
2015-12-03,23.102,23.122,22.86,22.86,7143,0
2015-12-09,22.889,23.015,22.609,22.715,40521,0
2015-12-10,22.686,22.686,22.686,22.686,414,0
2015-12-11,22.415,22.415,22.328,22.376,1860,0
2015-12-14,22.251,22.251,22.251,22.251,1034,0
2015-12-15,22.444,22.502,22.435,22.435,4134,0
2015-12-16,22.619,22.628,22.521,22.55,10750,0
2015-12-17,22.454,22.454,22.347,22.435,5789,0
2015-12-18,22.115,22.328,22.115,22.318,4134,0
2015-12-21,22.4,22.409,22.332,22.361,5762,0
2015-12-22,22.458,22.458,22.419,22.419,206,0
2015-12-23,22.419,22.419,22.419,22.419,103,0
2015-12-28,22.555,22.768,22.555,22.735,3163,0
2015-12-29,22.954,23.051,22.954,22.962,981,0
2015-12-30,23.226,23.226,22.925,22.925,952,0
2015-12-31,22.749,22.749,22.749,22.749,206,0
2016-01-04,22.185,22.185,22.185,22.185,246,0
2016-01-05,22.108,22.108,21.943,21.943,1556,0
2016-01-07,21.525,21.525,21.525,21.525,1100,0
2016-01-08,21.651,21.651,21.379,21.379,2308,0
2016-01-11,20.971,20.971,20.709,20.709,2471,0
2016-01-12,21.505,21.505,21.165,21.194,4872,0
2016-01-13,20.883,20.883,20.883,20.883,103,0
2016-01-15,20.184,20.315,20.164,20.164,3794,0
2016-01-19,20.689,20.689,20.524,20.534,926,0
2016-01-20,19.669,20.116,19.65,20.086,10110,0
2016-01-21,20.408,20.408,20.408,20.408,402,0
2016-01-22,20.66,20.66,20.66,20.66,242,0
2016-01-25,20.544,20.544,20.544,20.544,578,0
2016-01-26,20.592,20.725,20.582,20.719,2141,0
2016-01-28,20.544,20.544,20.534,20.534,1131,0
2016-02-01,20.718,20.873,20.718,20.873,1992,0
2016-02-02,20.854,20.854,20.699,20.699,3730,0
2016-02-03,21.087,21.087,20.485,20.573,4523,0
2016-02-04,20.747,20.893,20.709,20.893,1532,0
2016-02-08,20.067,20.475,19.853,19.912,9471,0
2016-02-09,19.902,20.029,19.892,20.009,8639,0
2016-02-10,20.174,20.203,20.126,20.193,2404,0
2016-02-11,20.009,20.026,19.679,19.679,8066,0
2016-02-16,20.489,20.489,20.489,20.489,128,0
2016-02-17,20.883,20.893,20.864,20.864,6474,0
2016-02-18,20.951,20.951,20.951,20.951,302,0
2016-02-22,21.117,21.146,21.117,21.127,3361,0
2016-02-29,21.107,21.146,20.836,20.881,7877,0
2016-03-01,21.457,21.457,21.457,21.457,128,0
2016-03-02,21.321,21.438,21.263,21.438,6657,0
2016-03-15,21.807,21.807,21.768,21.768,790,0
2016-03-22,22.264,22.264,22.264,22.264,617,0
2016-03-23,22.332,22.332,22.235,22.235,217,0
2016-03-28,22.108,22.108,22.108,22.108,159,0
2016-03-31,22.467,22.467,22.467,22.467,206,0
2016-04-01,22.185,22.185,22.185,22.185,549,0
2016-04-13,22.716,22.716,22.716,22.716,216,0
2016-04-14,22.701,22.71,22.701,22.71,4423,0
2016-04-15,22.652,22.681,22.652,22.681,1191,0
2016-04-19,23.012,23.012,23.012,23.012,617,0
2016-04-20,22.944,23.041,22.944,23.009,11555,0
2016-04-21,22.802,22.802,22.802,22.802,103,0
2016-04-26,22.789,22.856,22.789,22.856,12916,0
2016-04-28,22.827,22.837,22.614,22.614,1423,0
2016-05-11,22.225,22.235,22.225,22.235,940,0
2016-05-13,22.195,22.195,22.078,22.078,550,0
2016-05-16,22.118,22.235,22.118,22.235,3695,0
2016-05-17,21.991,22.031,21.976,22.031,2368,0
2016-05-18,21.981,22.04,21.894,22.04,902,0
2016-05-19,21.837,21.845,21.797,21.845,875,0
2016-05-20,22.088,22.128,22.088,22.128,1048,0
2016-05-23,22.108,22.108,22.06,22.06,1075,0
2016-05-24,22.278,22.278,22.254,22.259,1029,0
2016-05-25,22.467,22.467,22.438,22.438,4939,0
2016-05-26,22.477,22.497,22.477,22.497,967,0
2016-05-27,22.516,22.516,22.516,22.516,1091,0
2016-05-31,22.633,22.633,22.516,22.516,926,0
2016-06-03,22.633,22.633,22.633,22.633,1029,0
2016-06-06,22.768,22.823,22.768,22.818,1335,0
2016-06-07,22.954,22.977,22.944,22.96,9958,0
2016-06-14,21.904,21.904,21.904,21.904,189,0
2016-06-15,22.13,22.13,22.13,22.13,720,0
2016-06-20,22.594,22.594,22.594,22.594,246,0
2016-06-21,22.604,22.604,22.604,22.604,412,0
2016-06-22,22.63,22.631,22.614,22.63,2547,0
2016-06-23,22.906,22.974,22.906,22.974,6623,0
2016-06-24,22.093,22.093,22.093,22.093,1822,0
2016-06-29,21.966,22.101,21.966,22.101,1195,0
2016-06-30,22.071,22.185,22.071,22.184,15380,0
2016-07-01,22.474,22.483,22.474,22.483,586,0
2016-07-06,21.885,21.885,21.85,21.85,403,0
2016-07-07,22.229,22.248,22.101,22.101,3936,0
2016-07-13,22.788,22.808,22.778,22.798,2905,0
2016-07-15,22.847,23.033,22.847,23.033,8304,0
2016-07-19,23.308,23.308,23.033,23.116,2501,0
2016-07-21,23.024,23.063,22.935,22.964,2751,0
2016-07-22,22.985,22.985,22.985,22.985,133,0
2016-07-28,23.337,23.337,23.269,23.337,509,0
2016-08-03,22.896,23.072,22.896,23.072,1000,0
2016-08-04,23.082,23.237,23.082,23.082,333,0
2016-08-11,23.749,23.749,23.749,23.749,306,0
2016-08-12,23.577,23.577,23.577,23.577,152,0
2016-08-24,23.623,23.623,23.623,23.623,142,0
2016-08-29,23.509,23.58,23.509,23.58,2755,0
2016-08-30,23.515,23.515,23.515,23.515,2325,0
