Pipeline,Iteration,SMAPE before tuning,SMAPE after tuning,"Time, sec."
A,0,56.169801122111615,52.82412106278969,1.721556168049574
A,1,56.169801122111615,52.925127439509446,1.762590877711773
A,2,56.169801122111615,53.79022496472625,1.6591003760695457
A,3,56.169801122111615,52.96909102783778,1.8923657163977623
A,4,56.169801122111615,52.85595159152233,1.8085825853049755
A,5,56.169801122111615,52.92329766081811,1.7946685291826725
A,6,56.169801122111615,52.560501510401785,1.7840435542166233
A,7,56.169801122111615,52.63872137515774,1.7853460870683193
A,8,56.169801122111615,52.63872137515774,1.8986425511538982
A,9,56.169801122111615,52.659491603195725,1.7987493053078651
A,10,56.169801122111615,52.823739550487346,1.7396914027631283
A,11,56.169801122111615,53.494270151806596,1.5915523581206799
A,12,56.169801122111615,52.63872137515774,1.7495599910616875
A,13,56.169801122111615,52.979538833687634,2.123540695756674
A,14,56.169801122111615,52.843243115483645,1.9859768934547901
A,15,56.169801122111615,52.843243115483645,1.9170209988951683
A,16,56.169801122111615,52.63872137515774,1.6816643811762333
A,17,56.169801122111615,52.78765411862353,1.5393852479755878
A,18,56.169801122111615,53.79022496472625,1.5518414415419102
A,19,56.169801122111615,52.82412106278969,1.8434727638959885
A,20,56.169801122111615,52.63872137515774,1.657223142683506
A,21,56.169801122111615,52.925197915863066,1.8128256797790527
A,22,56.169801122111615,52.954225660418835,1.9744296073913574
A,23,56.169801122111615,54.11673270098259,1.763892076909542
A,24,56.169801122111615,52.823739550487346,1.9602932706475258
A,25,56.169801122111615,52.82225501166203,1.7069396562874317
A,26,56.169801122111615,52.834991128415815,1.472551766782999
A,27,56.169801122111615,52.63872137515774,1.7573545277118683
A,28,56.169801122111615,54.03964010763018,1.8859380036592484
A,29,56.169801122111615,52.85595159152233,1.7681469321250916
B,0,62.718635059926235,59.35672256946046,12.63934064283967
B,1,63.31064607672303,59.59148273534355,13.392951250076294
B,2,63.38230473700859,59.477125379792895,13.717682737857103
B,3,61.377438126775054,58.950996725176374,15.206296477466822
B,4,61.056858746328274,59.32720968359077,15.864444255828857
B,5,64.54344719921255,59.38132436732658,13.089743468910456
B,6,60.31764575033765,59.65715902787112,12.906420107930899
B,7,64.16792905631593,59.387551110092666,12.77652307599783
B,8,59.1319732448541,59.62804400489074,14.736271020025015
B,9,63.751669103185115,59.019853299187986,15.013930257409811
B,10,63.95724272287227,59.00787980935992,15.513357378542423
B,11,61.638794850349115,59.531596781049195,12.69901604577899
B,12,63.70127011129882,59.04424293939744,12.714969269931316
B,13,64.851857164156,60.10212064076028,16.138159714639187
B,14,60.3574475390265,59.50455804837742,12.378514736890793
B,15,61.19534901932404,59.98070883977399,12.455006543546915
B,16,63.05059401122343,60.05795852001046,17.469253569841385
B,17,63.52615726279311,60.2327088073346,14.11228970438242
B,18,64.40785633326743,59.023731680440896,12.884687263518572
B,19,63.72884846938477,59.385641195526745,14.703828480094671
B,20,63.05167412335431,59.13486384997151,15.419796139001846
B,21,63.02079953514459,59.38842539684623,14.603530183434486
B,22,61.41855006681768,60.059084341922066,16.6459285505116
B,23,62.85123946462851,58.91798882078703,15.877602469176054
B,24,62.9391940679371,59.15080893659062,15.164036877453327
B,25,63.48502849834768,59.7871086597163,15.497192524373531
B,26,62.40388614683482,59.465428841917856,16.079849380999804
B,27,62.556766556432905,58.265001993178046,15.70760552957654
B,28,64.07150742854522,59.42124101752132,13.39845184609294
B,29,61.46618936265076,59.292184086649385,13.312928773462772
C,0,73.9949355255148,63.500879618544644,23.355346143245697
C,1,73.8590667048704,62.40068323342639,24.63362193480134
C,2,73.92546299179594,62.129434440613835,24.998081233352423
C,3,73.98701984216355,59.39004407978882,24.167153008282185
C,4,74.03912981891143,71.20364986851162,27.31554852798581
C,5,73.94366863442946,65.72145427560217,25.41484133154154
C,6,73.93805752147138,79.89776975454203,15.46832999959588
C,7,73.98850594032774,61.50508930740963,24.595092196017504
C,8,73.97750155234607,62.58821471166246,25.95154222473502
C,9,74.13064768280978,63.229534728648645,25.411875758320093
C,10,73.98648140254862,62.00179148853386,24.842736031860113
C,11,73.9962652312696,70.91595208622422,24.70826167240739
C,12,74.01008579873321,60.927988283517095,23.08703665062785
C,13,73.97085323399031,58.89874677646953,23.992673080414534
C,14,74.010430494374,68.44031028365919,25.18339080736041
C,15,74.00185491551657,61.21125192767835,15.736482214182615
C,16,73.96892730809373,59.99794560966986,24.435196295380592
C,17,73.98613295779494,61.55460481710921,26.257254548370838
C,18,73.97804130722247,61.57473081763575,23.19622130692005
C,19,74.06263540455261,62.0175960634959,24.34402445331216
C,20,73.97851866020555,69.00313801824454,24.389738969504833
C,21,74.1014919572574,61.971118300291415,17.77179867401719
C,22,73.39031617545103,60.54841597381924,25.641152877360582
C,23,73.95666262412061,63.808565186934814,26.905795637518167
C,24,74.02472801756765,60.74589893642371,25.53100625425577
C,25,73.93041545700152,64.05358227985853,26.39011574536562
C,26,73.96101676777671,63.581915596743215,26.09678365662694
C,27,73.98766688621976,58.986108221193675,24.870457977056503
C,28,74.04806056335477,62.410780544114765,24.32882371917367
C,29,73.91200089719449,61.76617082233356,26.07330308482051
