Pipeline,Iteration,SMAPE before tuning,SMAPE after tuning,"Time, sec."
A,0,56.169801122111615,53.26949896157702,22.95995983481407
A,1,56.169801122111615,53.2700023540076,22.525107834488153
A,2,56.169801122111615,53.26845205284896,22.491137467324734
A,3,56.169801122111615,53.27008787804558,22.926687087863684
A,4,56.169801122111615,53.26988669758722,23.0342470780015
A,5,56.169801122111615,53.2685473240256,22.642117511481047
A,6,56.169801122111615,53.03527713977554,22.317722268402576
A,7,56.169801122111615,53.268893194882494,22.676833007484674
A,8,56.169801122111615,53.2689691526438,22.615071028470993
A,9,56.169801122111615,53.27040660170199,22.782227739691734
A,10,56.169801122111615,53.26990838141941,22.305868823081255
A,11,56.169801122111615,53.26920424836049,22.78401841595769
A,12,56.169801122111615,53.26954528163199,22.762982953339815
A,13,56.169801122111615,53.03463804254465,23.455542612820864
A,14,56.169801122111615,53.034249143768506,22.620538659393787
A,15,56.169801122111615,53.035060700966476,22.967495515942574
A,16,56.169801122111615,53.034545479739855,22.907655466347933
A,17,56.169801122111615,53.26988659705179,22.398914832621813
A,18,56.169801122111615,53.26966337425106,22.461985606700182
A,19,56.169801122111615,53.26990545723299,22.22932445257902
A,20,56.169801122111615,53.26990734789335,22.363061029464006
A,21,56.169801122111615,53.04012984579007,22.674097910523415
A,22,56.169801122111615,53.269208931235966,23.598512712866068
A,23,56.169801122111615,53.03542915442259,22.682310823351145
A,24,56.169801122111615,53.26987939745539,22.619274280965328
A,25,56.169801122111615,53.26977200978287,22.989573046565056
A,26,56.169801122111615,53.269081341261106,22.225678123533726
A,27,56.169801122111615,53.26986077040091,22.354155734181404
A,28,56.169801122111615,53.26979713061981,22.429919868707657
A,29,56.169801122111615,53.26924274915136,22.427207231521606
B,0,62.954687591970526,59.29767050054553,77.47345169633627
B,1,62.793879836515565,59.35872840203753,78.28865160793066
B,2,63.06445786911365,59.41548970110272,77.75788343697786
B,3,62.163908939171606,59.310830055428966,77.26451829448342
B,4,62.24336158626092,59.2816022314314,77.6561901718378
B,5,64.50989566607802,59.40685410138529,77.60200480744243
B,6,63.108580571533864,59.318746497163545,77.74283818528056
B,7,62.31394442321455,59.33407530129424,76.54726276546717
B,8,64.66326527047705,59.37816179837986,77.7859808318317
B,9,63.033530346808526,58.950543492084286,76.87458036094904
B,10,63.17420809531193,59.20514432176838,77.60550105571747
B,11,63.66377055277439,59.238472932677055,77.47488386556506
B,12,64.20986247547162,58.4860586557192,79.04482075944543
B,13,64.73510999257265,59.01526630441435,77.47881211340427
B,14,62.522547194859875,59.35258561207761,77.00447404384613
B,15,62.19195020967704,59.12657870244846,77.15396554023027
B,16,63.418554789796815,59.3279928144926,77.16164208948612
B,17,60.397576565031954,59.23418488178692,76.59140738472342
B,18,63.08598985375827,57.78690660650377,80.85085292905569
B,19,64.16494455896867,59.40721902134035,77.0298108458519
B,20,62.884748607551465,59.25216756582204,77.57169631868601
B,21,60.88595302684735,59.28901826828794,76.41550815477967
B,22,60.677655386772244,58.00271735154499,77.02241680771112
B,23,63.927088732489466,58.61778496705315,77.26175142452121
B,24,63.55988051219251,58.922373815580855,78.12582981586456
B,25,61.32517241163634,58.2992056688186,77.4977000579238
B,26,62.2589430102069,59.21823211067619,77.05884048715234
B,27,63.78170755653185,59.35689202276161,77.76812810078263
B,28,63.46597763606445,59.33295995289567,76.7818348146975
B,29,63.73227101372891,59.403300159851085,77.32041610777378
C,0,74.12900872307044,58.961408226966654,130.4442706629634
C,1,73.99615016422673,58.917318657843666,131.02020590379834
C,2,74.05516769637653,58.41496143187743,128.8909034356475
C,3,74.04933497592648,58.923938358833105,124.48843324184418
C,4,74.08543903411577,58.91833335634336,124.34053863957524
C,5,73.88496734285354,58.861839193945066,130.72544219717383
C,6,73.9649130013858,58.95669694028714,125.88723864778876
C,7,74.02006781403495,58.84222580364646,128.4926264435053
C,8,73.98209082523593,58.86830553586683,122.10401345789433
C,9,74.03837583809864,58.89859679170928,125.7555246911943
C,10,73.97998443008831,58.72600208065266,128.11202673986554
C,11,74.01901188777099,58.773940681708396,124.40179171785712
C,12,73.97947241545087,58.98613413839912,130.54686484113336
C,13,73.85681170024037,58.93763397062686,126.04921560361981
C,14,74.13642321394863,58.99206945294324,123.21675722673535
C,15,74.03013837916431,58.91791785565689,125.0183341614902
C,16,73.97375700857526,58.86285009362403,125.33731146529317
C,17,73.95388926668956,58.959318109982725,126.07067518681288
C,18,73.95344522416907,58.83907332193716,126.02177094295621
C,19,74.05285805605081,58.77759476405641,127.74085734039545
C,20,73.93138297535629,58.93384972497369,128.5685954540968
C,21,73.92090740711946,58.39792684050503,124.6721112318337
C,22,74.13077417613366,59.07764875952207,126.81945304200053
C,23,74.0097529278486,58.700185253724676,128.48774768412113
C,24,74.201575607349,58.81605485357275,125.97658905014396
C,25,73.91729066666907,58.971704059370595,123.78005377575755
C,26,74.28571385976605,58.96103971164487,128.05332281813025
C,27,74.10344116206369,59.06581298490152,125.30315432697535
C,28,73.86648377029127,58.87329262847176,126.66944175586104
C,29,74.03812541174703,58.92157308333762,125.19597185775638
