Pipeline,Iteration,ROC AUC before tuning,ROC AUC after tuning,"Time, sec."
A,0,0.7940718671087523,0.8522479057904387,13.364774506539106
A,1,0.7992800901676962,0.8558050108616202,13.91010169684887
A,2,0.7889916777811503,0.8328615804196666,15.05858488380909
A,3,0.7936413552819586,0.8578508161096478,13.791138283908367
A,4,0.7930925177187431,0.8608670059216204,13.562901489436626
A,5,0.7968209351215731,0.8430347807881627,13.585882753133774
A,6,0.7989869878696862,0.8436742606876699,14.819320745766163
A,7,0.7961005828853545,0.8552123695040528,14.036340337246656
A,8,0.7962407575056145,0.8554945694980518,15.88039205595851
A,9,0.7876877210217811,0.8590134823980881,15.141210049390793
A,10,0.7913212597936606,0.8612346515726397,15.183202132582664
A,11,0.7900367597492971,0.8594402614372486,15.74327141046524
A,12,0.7874373118089049,0.859659117444336,15.373308129608631
A,13,0.804328143522303,0.8568493812359881,14.988476820290089
A,14,0.793959363508642,0.8480858417623915,12.81262968480587
A,15,0.7998534485502257,0.8553201698155778,13.937783610075712
A,16,0.7931227993603068,0.8498421451670903,14.80385034903884
A,17,0.799876061804923,0.8526141262209771,14.763110179454088
A,18,0.7906452087364816,0.8588248183536917,13.7331711538136
A,19,0.8010084791730288,0.8529921503765102,13.163597982376814
A,20,0.792460734157887,0.8525902912276815,14.950712323188782
A,21,0.7975039440884416,0.8541021161120378,14.472224440425634
A,22,0.8059036212002967,0.8440287883572279,14.137330923229456
A,23,0.7930276091860909,0.8531835655841867,14.822052128612995
A,24,0.7966044377630477,0.8464879522079782,14.633551374077797
A,25,0.7994568878818316,0.8582631290540439,14.128757376223803
A,26,0.7945410100358115,0.8429107675018352,15.594355165958405
A,27,0.7851755977411748,0.8566212396102462,13.598520129919052
A,28,0.7986865832057528,0.8617569389167439,13.804561696946621
A,29,0.7969001846441539,0.8513554050665025,14.248460531234741
B,0,0.6954285097688631,0.8390616271003077,20.493775464594364
B,1,0.6723960373513231,0.8488809020283872,18.520241480320692
B,2,0.6917466830034343,0.8399824483320785,17.658807296305895
B,3,0.6985185901772086,0.8504035909863623,20.130068134516478
B,4,0.686471724477838,0.8530572169241817,19.087879311293364
B,5,0.6763576891601988,0.8492521672378066,19.501794312149286
B,6,0.6665576674638707,0.8516649514659687,19.172660667449236
B,7,0.6708554181533473,0.8574476019673302,18.158011369407177
B,8,0.7145667203148279,0.8521354320494211,19.60750586912036
B,9,0.6783762765047306,0.8524706714944207,19.807196628302336
B,10,0.681982253467425,0.8375673026595581,15.930968336760998
B,11,0.6846120489774616,0.8506918870461255,20.170290172100067
B,12,0.6907609528758308,0.8564683225500254,18.632468301802874
B,13,0.6968151340635729,0.8376907270459893,18.569399777799845
B,14,0.6800580846041161,0.8490080798857704,16.001035284250975
B,15,0.6860198229685424,0.8490368575858064,17.460451740771532
B,16,0.6755457687178514,0.8465449998777539,18.868920266628265
B,17,0.6678436988974734,0.8493777354702343,18.873996004462242
B,18,0.6871330903393087,0.8536657460069923,19.419315055012703
B,19,0.6914679476526533,0.8501648737661526,18.089164309203625
B,20,0.7202563321150981,0.8584995488075918,19.41086382046342
B,21,0.6768478013242851,0.8488181397223744,18.085554286837578
B,22,0.6827586255462758,0.8510273869552952,18.320554845035076
B,23,0.6883908505866634,0.8415497130293417,17.99612060561776
B,24,0.7135631457539998,0.8463322884360034,19.152947522699833
B,25,0.6814239636488363,0.8561017062255212,20.607187811285257
B,26,0.7009659790476335,0.8480774307241372,20.079917684197426
B,27,0.6839578275145435,0.8555416406163703,19.54003730043769
B,28,0.6839214878806772,0.8494006202933024,17.761313408613205
B,29,0.6644867192767172,0.8462033196047795,19.159127786755562
C,0,0.7377433635048155,0.7677371230150765,411.69299555942416
C,1,0.7363462972250874,0.8069459250340456,349.11864179745317
C,2,0.7510001277453138,0.7812715739253686,397.61739334464073
C,3,0.7632380344575237,0.7332119859637917,403.49917383119464
C,4,0.7508761652801087,0.7282280412923215,495.07158621028066
C,5,0.751957083286643,0.770338390683317,315.9221111945808
C,6,0.7476601708785497,0.7549039854644157,499.92707785218954
C,7,0.7395084487374213,0.7503597128770584,386.9974999986589
C,8,0.7453305829127161,0.7185144228821372,410.2594492100179
C,9,0.7554290440498531,0.7620876147089328,440.92980778217316
C,10,0.7409560220153062,0.7583865648266123,356.23799614980817
C,11,0.7322642848535418,0.7663460242641734,214.75709450244904
C,12,0.7337529250520516,0.8276513801016014,296.94896560534835
C,13,0.7708542128473195,0.7690826576153069,261.3473165370524
C,14,0.7390296928886695,0.7399799166654624,391.8152717128396
C,15,0.7259093839521695,0.8042063575785672,413.207936514169
C,16,0.715600505461573,0.78767265353837,427.2961181625724
C,17,0.7519037796999877,0.7817580951912423,385.8260796777904
C,18,0.7524042209381789,0.8114603973602048,395.0819029957056
C,19,0.7644541442133559,0.7914181694434043,486.08534474670887
C,20,0.7475736152638132,0.8133328056937413,408.70295502617955
C,21,0.7551896268298827,0.7626074684547834,342.85062561929226
C,22,0.7380235767338013,0.754913778311487,491.21322140470147
C,23,0.7297858557397848,0.7770422036976198,363.82744915410876
C,24,0.7385676613012906,0.7504076996194613,435.91859249025583
C,25,0.761877825841822,0.7670696790263423,414.61501355469227
C,26,0.7345035850073879,0.7647917344824016,285.54607193917036
C,27,0.7579874872081673,0.7371618915442736,356.68098086863756
C,28,0.7331228097979251,0.7433504080638639,367.1269494853914
C,29,0.7392743260000935,0.8006600228896954,510.6635779067874
